사업장명칭,사업장소재지(지번),사업장소재지(도로명),사육두수
정*농장,전라남도 여수시 소라면 사곡리 200번지 1호  ,전라남도 여수시 소라면 상사길 58-18,25
하*농장,전라남도 여수시 율촌면 월산리 1448번지 6호  ,전라남도 여수시 율촌면 서부로 1828-27,36
기*축사,전라남도 여수시 해산동 407번지  ,전라남도 여수시 해지길 33 (해산동),20
해*라기농장,전라남도 여수시 율촌면 가장리 265번지  ,전라남도 여수시 율촌면 상평길 58-2,10
재*농장,전라남도 여수시 화양면 나진리 160번지 1호  ,,21
한*농원,전라남도 여수시 돌산읍 우두리 21번지 3호  ,전라남도 여수시 돌산읍 상하동길 238-43,15
대*농장,전라남도 여수시 봉계동 102번지 1호  ,전라남도 여수시 좌수영로 812-21 (봉계동),6
상*농장,전라남도 여수시 소라면 죽림리 528번지 1호  ,,93
덕*농장,전라남도 여수시 소라면 덕양리 378번지 1호  ,전라남도 여수시 소라면 조산로 199,18
한*리2농장,전라남도 여수시 소라면 현천리 39번지  ,전라남도 여수시 소라면 마륜길 64-32,69
안*농장,전라남도 여수시 소라면 죽림리 76번지 1호  ,전라남도 여수시 소라면 안심산길 60-35,50
청*한우농장,전라남도 여수시 율촌면 가장리 1382번지  ,전라남도 여수시 율촌면 서부로 1399,62
남*1농장,전라남도 여수시 소라면 봉두리 918번지 2호  ,전라남도 여수시 소라면 운암길 69,32
소*산농장,전라남도 여수시 소라면 복산리 670번지 6호  ,,12
원*농장,전라남도 여수시 화양면 장수리 1257번지  ,,20
오*농장,전라남도 여수시 오림동 14번지 1호  ,전라남도 여수시 영은문길 37 (오림동),5
윤*농장,전라남도 여수시 소라면 복산리 산 448번지 5호  ,전라남도 여수시 소라면 달천길 67,21
수*농장,전라남도 여수시 율촌면 가장리 101번지  ,전라남도 여수시 율촌면 중산길 75-1,85
순*농장,전라남도 여수시 율촌면 가장리 1437번지  ,전라남도 여수시 율촌면 서부로 1876,13
우*농장,전라남도 여수시 율촌면 가장리 897번지  ,전라남도 여수시 율촌면 난화길 24-24,17
용*위농장,전라남도 여수시 낙포동 788번지 1호  ,,41
목*축사,전라남도 여수시 묘도동 924번지 8호  ,,14
작*축산,전라남도 여수시 돌산읍 금성리 793번지  ,전라남도 여수시 돌산읍 돌산로 666-38,10
난*목장,전라남도 여수시 율촌면 가장리 902번지  ,전라남도 여수시 율촌면 난화길 10-11,10
삼*농장,전라남도 여수시 소라면 현천리 649번지  ,전라남도 여수시 소라면 오룡길 43-45,20
봉*골농장,전라남도 여수시 돌산읍 둔전리 산 247번지 7호  ,,600
새*년농장,전라남도 여수시 화양면 화동리 154번지  ,전라남도 여수시 화양면 안골길 22,6
용*농장,전라남도 여수시 화양면 화동리 153번지 3호  ,전라남도 여수시 화양면 안골길 20,5
용*농장,전라남도 여수시 화양면 화동리 142번지  ,전라남도 여수시 화양면 안골길 16-5,3
주*농장,전라남도 여수시 돌산읍 신복리 996번지  ,전라남도 여수시 돌산읍 돌산로 972-56,25
신*농장,전라남도 여수시 돌산읍 신복리 978번지  ,전라남도 여수시 돌산읍 돌산로 888-30,5
푸*축산,전라남도 여수시 율촌면 가장리 1152번지  ,전라남도 여수시 율촌면 하평길 85,9
다*농장,전라남도 여수시 돌산읍 죽포리 1238번지 2호  ,전라남도 여수시 돌산읍 돌산로 2010-50,102
세*농장,전라남도 여수시 화양면 안포리 69번지  ,전라남도 여수시 화양면 화양로 158,16
오*이어농장,전라남도 여수시 화양면 안포리 721번지  ,전라남도 여수시 화양면 셋돔길 22-18,3
장*농장,전라남도 여수시 화양면 나진리 284번지  ,전라남도 여수시 화양면 소장길 51-15,1
배*농장,전라남도 여수시 화양면 서촌리 1158번지  ,전라남도 여수시 화양면 화서로 693-3,2
충*농장,전라남도 여수시 화양면 서촌리 557번지 2호  ,전라남도 여수시 화양면 화서로 725-1,2
봉*축산,전라남도 여수시 화양면 장수리 439번지  ,,60
서*호농장,전라남도 여수시 화양면 용주리 1326번지  ,전라남도 여수시 화양면 꽃다리길 59-10,2
성*농장,전라남도 여수시 화양면 안포리 431번지  ,전라남도 여수시 화양면 새터물길 16-11,23
현*장,전라남도 여수시 화양면 안포리 420번지 1호  ,전라남도 여수시 화양면 새터물길 10-3,2
형*농장,전라남도 여수시 화양면 용주리 1335번지  ,전라남도 여수시 화양면 꽃다리길 65,2
우*농장,전라남도 여수시 소라면 봉두리 1106번지  ,전라남도 여수시 소라면 갬실길 17-17,6
종*농장,전라남도 여수시 소라면 봉두리 1293번지  ,전라남도 여수시 소라면 의곡길 413,14
한*축산,전라남도 여수시 율촌면 봉전리 193번지 1호  ,전라남도 여수시 율촌면 봉전길 303,8
봉*농장,전라남도 여수시 돌산읍 금봉리 677번지 1호  ,전라남도 여수시 돌산읍 봉양길 87-52,30
피*농장,전라남도 여수시 돌산읍 금봉리 산 230번지  ,,0
믿*농장,전라남도 여수시 율촌면 상봉리 99번지  ,전라남도 여수시 율촌면 내리길 24-15,8
청*사슴농원,전라남도 여수시 율촌면 월산리 1065번지 1호  ,전라남도 여수시 율촌면 청대길 126-12,20
사*농장,전라남도 여수시 율촌면 상봉리 1043번지  ,,1000
우*농장(진달래축산),전라남도 여수시 소라면 덕양리 1297번지 1호  ,전라남도 여수시 소라면 덕양로 451,500
유*농장,전라남도 여수시 화양면 옥적리 1773번지  ,전라남도 여수시 화양면 마상길 156-13,10
이*장,전라남도 여수시 율촌면 신풍리 2번지 29호  ,전라남도 여수시 율촌면 산돌길 133,8
종*농장,전라남도 여수시 율촌면 가장리 1724번지 3호  ,전라남도 여수시 율촌면 연화길 118-3,2
승*농장,전라남도 여수시 율촌면 가장리 1746번지  ,,2
승*농장,전라남도 여수시 화양면 서촌리 969번지 4호  ,전라남도 여수시 화양면 석교로 71-132,500
창*리축산,전라남도 여수시 화양면 창무리 325번지 5호  ,,3
아*농장,전라남도 여수시 화양면 창무리 255번지 1호  ,전라남도 여수시 화양면 창무1길 49,6
영*농장,전라남도 여수시 화양면 서촌리 926번지  ,,16
제*농장,전라남도 여수시 소라면 복산리 419번지  ,전라남도 여수시 소라면 서부로 280-7,18
상*농장,전라남도 여수시 화양면 옥적리 424번지  ,,6
성*농장,전라남도 여수시 율촌면 산수리 288번지 1호  ,전라남도 여수시 율촌면 산수봉두1길 5-9,29
광*농원,전라남도 여수시 율촌면 상봉리 415번지  ,전라남도 여수시 율촌면 해룡로 42,8
