사업장명칭,주사육업종,사업장소재지
대*농장,한우,경상북도 경산시 와촌면 대동
조*목장,한우,경상북도 경산시 내동
덕*농장,돼지,경상북도 경산시 압량읍 가일리
백*농장,한우,경상북도 경산시 남천면 구일리
백*번식우농장,한우,경상북도 경산시 자인면 북사리
키*농장,한우,경상북도 경산시 남천면 구일리
백*농장,"한우, 육우",경상북도 경산시 남천면 구일리
뚝*농장,한우,경상북도 경산시 진량읍 선화리
종*농장,한우,경상북도 경산시 와촌면 상암리
천*은,한우,경상북도 경산시 용성면 대종리
김*근,한우,경상북도 경산시 용성면 용천리
현*목장,한우,경상북도 경산시 진량읍 현내리
대*농장,한우,경상북도 경산시 진량읍 대원리
대*목장,한우,경상북도 경산시 자인면 남신리
화*목장,젖소,경상북도 경산시 용성면 고죽리
상*농장,한우,경상북도 경산시 진량읍 다문리
영*목장,육우,경상북도 경산시 진량읍 평사(坪)리
필*농장,한우,경상북도 경산시 와촌면 계전리
박*농장,한우,경상북도 경산시 와촌면 용천리
에*목장,한우,경상북도 경산시 자인면 울옥리
곡*농장,한우,경상북도 경산시 용성면 곡란리
석*농장,한우,경상북도 경산시 용성면 외촌리
산*목장,한우,경상북도 경산시 용성면 송림리
병*목장,한우,경상북도 경산시 용성면 대종리
대*목장,젖소,경상북도 경산시 남산면 경리
재*농장,한우,경상북도 경산시 남천면 흥산리
상*농장,한우,경상북도 경산시 남천면 협석리
하*농장,한우,경상북도 경산시 남천면 하도리
성*농장,한우,경상북도 경산시 남천면 신방리
종*농장,한우,경상북도 경산시 남천면 신방리
신*목장,한우,경상북도 경산시 남천면 신방리
장*환농장,한우,경상북도 경산시 남천면 신방리
득*농장,한우,경상북도 경산시 여천동
봉*농장,돼지,경상북도 경산시 압량읍 신월리
음*목장,한우,경상북도 경산시 와촌면 음양리
수*목장2,육우,경상북도 경산시 압량읍 신월리
원*농장,한우,경상북도 경산시 남천면 대명리
벽*축산,한우,경상북도 경산시 남천면 송백리
새*농장,한우,경상북도 경산시 용성면 송림리
이*농장,한우,경상북도 경산시 자인면 계남리
승*농장,한우,경상북도 경산시 자인면 남신리
양*농장,한우,경상북도 경산시 남천면 구일리
태*농장,한우,경상북도 경산시 남산면 남곡리
최*수농장,한우,경상북도 경산시 남산면 흥정리
한*농장,한우,경상북도 경산시 남천면 송백리
수*농장,한우,경상북도 경산시 와촌면 박사리
최*호농장,한우,경상북도 경산시 용성면 도덕리
성*농장,한우,경상북도 경산시 와촌면 박사리
도*세태농장,한우,경상북도 경산시 용성면 도덕리
구*농장,한우,경상북도 경산시 남천면 구일리
오*농장(1),한우,경상북도 경산시 남산면 연하리
오*농장(2),한우,경상북도 경산시 남산면 안심리
순*농장,육우,경상북도 경산시 압량읍 내리
이*농장,한우,경상북도 경산시 용성면 송림리
그*농장,돼지,경상북도 경산시 압량읍 신월리
신*성농장,한우,경상북도 경산시 남산면 흥정리
박*극농장,한우,경상북도 경산시 진량읍 황제리
신*농장,한우,경상북도 경산시 신천동
윤*만농장,한우,경상북도 경산시 용성면 도덕리
신*철농장,한우,경상북도 경산시 진량읍 부기리
대*농장,한우,경상북도 경산시 압량읍 금구리
서*춘농장,한우,경상북도 경산시 용성면 부일리
최*백농장,한우,경상북도 경산시 자인면 남촌리
최*수농장,한우,경상북도 경산시 남산면 사월리
최*달농장,한우,경상북도 경산시 신천동
김*원농장,한우,경상북도 경산시 진량읍 보인리
김*달농장,한우,경상북도 경산시 용성면 부제리
절*농장,한우,경상북도 경산시 남천면 송백리
대*농장,한우,경상북도 경산시 자인면 울옥리
마*틴농장,한우,경상북도 경산시 와촌면 계전리
화*농장,한우,경상북도 경산시 남산면 우검리
인*농원,오리,경상북도 경산시 자인면 읍천리
성*농장,한우,경상북도 경산시 하양읍 양지리
두*한우농장,한우,경상북도 경산시 용성면 외촌리
한*농장,한우,경상북도 경산시 하양읍 대곡리
명*농장,한우,경상북도 경산시 남천면 산전리
대*농장,한우,경상북도 경산시 자인면 일언리
태*농장,한우,경상북도 경산시 자인면 일언리
가*농장,한우,경상북도 경산시 남산면 우검리
손*목장,한우,경상북도 경산시 용성면 고죽리
기*농장,한우,경상북도 경산시 진량읍 평사(平)리
화*농장,한우,경상북도 경산시 용성면 부제리
평*농장,한우,경상북도 경산시 남산면 평기리
은*농장,한우,경상북도 경산시 남산면 흥정리
재*농장,한우,경상북도 경산시 남산면 사림리
기*농장,한우,경상북도 경산시 남산면 경리
경*농장,한우,경상북도 경산시 남천면 구일리
성*농장,한우,경상북도 경산시 남천면 구일리
금*목장,한우,경상북도 경산시 남천면 구일리
광*목장,한우,경상북도 경산시 남천면 삼성리
농*,돼지,경상북도 경산시 압량읍 가일리
대*농장,한우,경상북도 경산시 남천면 구일리
화*농장,한우,경상북도 경산시 하양읍 대조리
상*농장,한우,경상북도 경산시 진량읍 부기리
대*농장,한우,경상북도 경산시 하양읍 대곡리
김*환농장,한우,경상북도 경산시 하양읍 사기리
성*농장,한우,경상북도 경산시 남천면 신방리
춘*농장,한우,경상북도 경산시 남산면 사림리
도*농장,한우,경상북도 경산시 하양읍 도리
주*농장,한우,경상북도 경산시 와촌면 계전리
성*농장,한우,경상북도 경산시 와촌면 시천리
가*농장,한우,경상북도 경산시 용성면 대종리
소*농장,한우,경상북도 경산시 용성면 미산리
해*농장,한우,경상북도 경산시 용성면 가척리
우*농장,한우,경상북도 경산시 용성면 곡란리
경*농장,한우,경상북도 경산시 남산면 안심리
재*농장,한우,경상북도 경산시 남산면 사림리
영*농장,한우,경상북도 경산시 남산면 하대리
종*농장,한우,경상북도 경산시 남산면 하대리
자*농장,한우,경상북도 경산시 압량읍 신월리
대*농장,한우,경상북도 경산시 압량읍 금구리
인*농장,한우,경상북도 경산시 진량읍 평사(平)리
정*농장,한우,경상북도 경산시 자인면 계남리
예*한우농장,한우,경상북도 경산시 용성면 송림리
만*농장,한우,경상북도 경산시 진량읍 문천리
현*농장,한우,경상북도 경산시 진량읍 현내리
부*농장,한우,경상북도 경산시 용성면 부일리
서*농장,한우,경상북도 경산시 용성면 용천리
매*농장,한우,경상북도 경산시 용성면 대종리
동*농장,한우,경상북도 경산시 용성면 덕천리
공*목장,한우,경상북도 경산시 용성면 송림리
동*농장,한우,경상북도 경산시 남산면 흥정리
대*농장,한우,경상북도 경산시 남산면 흥정리
오*농장,한우,경상북도 경산시 남산면 사림리
마*농장,한우,경상북도 경산시 진량읍 마곡리
태*농장,한우,경상북도 경산시 남산면 사림리
덕*농장,한우,경상북도 경산시 남산면 우검리
신*농장,한우,경상북도 경산시 자인면 북사리
혁*농장,한우,경상북도 경산시 압량읍 현흥리
대*목장,한우,경상북도 경산시 하양읍 대곡리
흥*농장,한우,경상북도 경산시 와촌면 계전리
희*농장,한우,경상북도 경산시 진량읍 다문리
기*농장,한우,경상북도 경산시 자인면 북사리
동*목장,한우,경상북도 경산시 용성면 고죽리
행*농장,한우,경상북도 경산시 남천면 신방리
속*농장,한우,경상북도 경산시 진량읍 속초리
신*농원,한우,경상북도 경산시 남산면 송내리
경*농장,"한우, 육계",경상북도 경산시 압량읍 신월리
훈*축산,한우,경상북도 경산시 압량읍 당리
녹*농장,한우,경상북도 경산시 용성면 부제리
환*농장,한우,경상북도 경산시 하양읍 환상리
문*농장,한우,경상북도 경산시 진량읍 문천리
