사업장명칭,등록축종,사업장(축사)소재지,사육마리수,데이터기준일자
박**농장,한우,경상북도 청도군 금천면 임당리 ,70,2026-05-11
기**농장,한우,경상북도 청도군 금천면 임당리 ,20,2026-05-11
영**농장,한우,경상북도 청도군 금천면 임당리 ,60,2026-05-11
종**농장,한우,경상북도 청도군 금천면 임당리 ,20,2026-05-11
부**농장,한우,경상북도 청도군 금천면 임당리 ,50,2026-05-11
미**농장,한우,경상북도 청도군 금천면 임당리 ,30,2026-05-11
동**농장,한우,경상북도 청도군 금천면 임당리 ,38,2026-05-11
부**목장,한우,경상북도 청도군 금천면 임당리 ,80,2026-05-11
천**농장,한우,경상북도 청도군 금천면 임당리 ,110,2026-05-11
왕**농장,한우,경상북도 청도군 금천면 임당리 ,100,2026-05-11
최**농장,한우,경상북도 청도군 금천면 임당리 ,15,2026-05-11
김**목장,한우,경상북도 청도군 금천면 임당리 ,1,2026-05-11
박**농장,한우,경상북도 청도군 금천면 임당리 ,3,2026-05-11
박**농장,한우,경상북도 청도군 금천면 임당리 ,11,2026-05-11
정**농장,한우,경상북도 청도군 금천면 임당리 ,6,2026-05-11
전**농장,한우,경상북도 청도군 금천면 임당리 ,4,2026-05-11
정**농장,한우,경상북도 청도군 금천면 임당리 ,19,2026-05-11
박**농장,한우,경상북도 청도군 금천면 임당리 ,11,2026-05-11
최**농장,한우,경상북도 청도군 금천면 임당리 ,4,2026-05-11
구**농장,한우,경상북도 청도군 금천면 임당리 ,1,2026-05-11
손**농장,한우,경상북도 청도군 금천면 임당리 ,25,2026-05-11
최**농장,한우,경상북도 청도군 금천면 임당리 ,2,2026-05-11
최**농장,한우,경상북도 청도군 금천면 임당리 ,1,2026-05-11
김**농장,한우,경상북도 청도군 금천면 임당리 ,4,2026-05-11
서**농장,한우,경상북도 청도군 금천면 임당리 ,3,2026-05-11
최**호근,한우,경상북도 청도군 금천면 임당리 ,2,2026-05-11
이**농장,한우,경상북도 청도군 금천면 임당리 ,2,2026-05-11
김**농장,한우,경상북도 청도군 금천면 임당리 ,1,2026-05-11
임**목장,한우,경상북도 청도군 금천면 임당리 ,0,2026-05-11
영**농장,한우,경상북도 청도군 금천면 임당리 ,0,2026-05-11
부**농장,한우,경상북도 청도군 금천면 임당리 ,0,2026-05-11
부**농장1-1,한우,경상북도 청도군 금천면 임당리 ,0,2026-05-11
박**농장,한우,경상북도 청도군 금천면 임당리 ,0,2026-05-11
이**농장,한우,경상북도 청도군 매전면 관하리 ,35,2026-05-11
이**농장,한우,경상북도 청도군 매전면 관하리 ,90,2026-05-11
참**농장,한우,경상북도 청도군 매전면 관하리 ,50,2026-05-11
정**농장,한우,경상북도 청도군 매전면 관하리 ,32,2026-05-11
종**농장,한우,경상북도 청도군 매전면 관하리 ,14,2026-05-11
이**농장,한우,경상북도 청도군 매전면 관하리 ,4,2026-05-11
김**농장,한우,경상북도 청도군 매전면 관하리 ,3,2026-05-11
이**농장,한우,경상북도 청도군 매전면 관하리 ,14,2026-05-11
순**농장,한우,경상북도 청도군 매전면 관하리 ,2,2026-05-11
박**농장,한우,경상북도 청도군 매전면 구촌리 ,8,2026-05-11
이**농장,한우,경상북도 청도군 매전면 금곡리 ,90,2026-05-11
기**농장,한우,경상북도 청도군 매전면 금곡리 ,50,2026-05-11
곽**농장,한우,경상북도 청도군 매전면 금곡리 ,15,2026-05-11
금**농장,한우,경상북도 청도군 매전면 금곡리 ,25,2026-05-11
곽**농장,한우,경상북도 청도군 매전면 금곡리 ,57,2026-05-11
박**농장,한우,경상북도 청도군 매전면 금곡리 ,23,2026-05-11
기**목장,한우,경상북도 청도군 매전면 금곡리 ,8,2026-05-11
호**농장,한우,경상북도 청도군 매전면 금천리 ,20,2026-05-11
양**농장,한우,경상북도 청도군 매전면 금천리 ,13,2026-05-11
D**농장,한우,경상북도 청도군 매전면 남양리 ,37,2026-05-11
순**농장,한우,경상북도 청도군 매전면 남양리 ,80,2026-05-11
태**농장,한우,경상북도 청도군 매전면 남양리 ,30,2026-05-11
동**농장,한우,경상북도 청도군 매전면 남양리 ,21,2026-05-11
주**농장,한우,경상북도 청도군 매전면 남양리 ,11,2026-05-11
이**농장,한우,경상북도 청도군 매전면 남양리 ,15,2026-05-11
만**축산,한우,경상북도 청도군 매전면 남양리 ,23,2026-05-11
이**농장,한우,경상북도 청도군 매전면 남양리 ,2,2026-05-11
조**농장,한우,경상북도 청도군 매전면 남양리 ,2,2026-05-11
김**농장,한우,경상북도 청도군 매전면 남양리 ,2,2026-05-11
장**농장,한우,경상북도 청도군 매전면 남양리 ,0,2026-05-11
순**농장,한우,경상북도 청도군 매전면 남양리 ,0,2026-05-11
이**농장,한우,경상북도 청도군 매전면 남양리 ,50,2026-05-11
