사업장명칭,주사육업종,사업장소재지,적정사육두수
이형일농장,한우,전라남도 보성군 겸백면 ,31
안만태농장,한우,전라남도 보성군 겸백면 ,60
박석곤농장,한우,전라남도 보성군 겸백면 ,19
노정재농장,한우,전라남도 보성군 회천면 ,67
박동호농장,한우,전라남도 보성군 득량면 ,64
박정재농장,한우,전라남도 보성군 복내면 ,10
정해성농장,한우,전라남도 보성군 율어면 ,52
장형훈농장,한우,전라남도 보성군 율어면 ,49
오점열농장,한우,전라남도 보성군 겸백면 ,11
손윤근농장,한우,전라남도 보성군 노동면 ,30
서문농장,한우,전라남도 보성군 벌교읍 ,63
이경하농장,한우,전라남도 보성군 보성읍 ,72
경란농장,한우,전라남도 보성군 보성읍 ,90
가족농장,한우,전라남도 보성군 노동면 ,22
문경창농장,한우,전라남도 보성군 보성읍 ,28
일품농장,한우,전라남도 보성군 보성읍 ,91
선해민농장,한우,전라남도 보성군 보성읍 ,7
김진순농장,한우,전라남도 보성군 보성읍 ,4
배상선농장,한우,전라남도 보성군 벌교읍 ,66
당우농장,한우,전라남도 보성군 회천면 ,20
백순경농장,한우,전라남도 보성군 웅치면 ,167
박흥수농장,한우,전라남도 보성군 벌교읍 ,15
박무일농장,한우,전라남도 보성군 벌교읍 ,27
임종오농장,한우,전라남도 보성군 율어면 ,20
정창래농장,한우,전라남도 보성군 보성읍 ,95
동승목장2,한우,전라남도 보성군 득량면 ,32
구정한우농장,한우,전라남도 보성군 벌교읍 ,43
전덕배농장,한우,전라남도 보성군 보성읍 ,9
산들농장,한우,전라남도 보성군 보성읍 ,76
형제농장,한우,전라남도 보성군 보성읍 ,131
황남룡농장,한우,전라남도 보성군 벌교읍 ,19
서권홍농장,한우,전라남도 보성군 벌교읍 ,24
전정열농장,한우,전라남도 보성군 벌교읍 ,20
박갑수농장,한우,전라남도 보성군 보성읍 ,35
안종후농장,한우,전라남도 보성군 보성읍 ,16
배태욱농장,한우,전라남도 보성군 보성읍 ,10
윤정부농장,한우,전라남도 보성군 벌교읍 ,5
송증수농장,한우,전라남도 보성군 벌교읍 ,3
양철추농장,한우,전라남도 보성군 벌교읍 ,32
동뫼농장,한우,전라남도 보성군 노동면 ,34
유성농장,한우,전라남도 보성군 노동면 ,38
셋터농장,한우,전라남도 보성군 노동면 ,27
정준채농장,한우,전라남도 보성군 겸백면 ,6
임태수농장,한우,전라남도 보성군 율어면 ,11
채미자농장,한우,전라남도 보성군 복내면 ,27
박해기농장,한우,전라남도 보성군 복내면 ,102
김지연농장,한우,전라남도 보성군 문덕면 ,8
금송농장,한우,전라남도 보성군 조성면 ,18
임판모농장,한우,전라남도 보성군 득량면 ,19
박종철농장,한우,전라남도 보성군 득량면 ,45
웅치대농축산,한우,전라남도 보성군 웅치면 ,120
김백순농장,한우,전라남도 보성군 보성읍 ,6
강학수농장,한우,전라남도 보성군 벌교읍 ,24
박영선농장,한우,전라남도 보성군 벌교읍 ,14
임석규농장,한우,전라남도 보성군 벌교읍 ,14
정성주농장,한우,전라남도 보성군 미력면 ,9
임홍식농장,한우,전라남도 보성군 조성면 ,7
지승연농장,한우,전라남도 보성군 득량면 ,55
김진수농장,한우,전라남도 보성군 웅치면 ,42
유성 농장,한우,전라남도 보성군 보성읍 ,9
김선태농장,한우,전라남도 보성군 보성읍 ,35
박운용농장,한우,전라남도 보성군 문덕면 ,55
노부흥농장,한우,전라남도 보성군 조성면 ,115
손병석농장,한우,전라남도 보성군 노동면 ,19
대운농장,한우,전라남도 보성군 복내면 ,51
최명호농장,한우,전라남도 보성군 벌교읍 ,9
안병순농장,한우,전라남도 보성군 벌교읍 ,19
윤석주농장,한우,전라남도 보성군 율어면 ,43
박국주,한우,전라남도 보성군 겸백면 ,34
신천농장,한우,전라남도 보성군 노동면 ,93
부용농장,한우,전라남도 보성군 벌교읍 ,157
무지개농장,한우,전라남도 보성군 벌교읍 ,166
전동농장,한우,전라남도 보성군 벌교읍 ,5
박수영농장,한우,전라남도 보성군 보성읍 ,20
이연배농장,한우,전라남도 보성군 보성읍 ,9
소수영농장,한우,전라남도 보성군 복내면 ,3
이기춘농장,한우,전라남도 보성군 보성읍 ,13
이준호농장,한우,전라남도 보성군 조성면 ,10
김기수농장,한우,전라남도 보성군 벌교읍 ,22
선인수농장,한우,전라남도 보성군 득량면 ,75
박장근농장,한우,전라남도 보성군 미력면 ,14
김동환농장,한우,전라남도 보성군 조성면 ,9
곰바우골 농장,한우,전라남도 보성군 득량면 ,29
임채문농장,한우,전라남도 보성군 복내면 ,18
정형주농장,한우,전라남도 보성군 겸백면 ,17
강대성농장,한우,전라남도 보성군 보성읍 ,4
안병관농장,한우,전라남도 보성군 보성읍 ,12
안옥혁농장,한우,전라남도 보성군 보성읍 ,6
박태호농장,한우,전라남도 보성군 보성읍 ,17
안동섭농장,한우,전라남도 보성군 보성읍 ,11
최상식농장,한우,전라남도 보성군 조성면 ,5
박광순농장,한우,전라남도 보성군 조성면 ,6
이영래농장,한우,전라남도 보성군 미력면 ,7
김진철,한우,전라남도 보성군 벌교읍 ,6
김금수농장,한우,전라남도 보성군 벌교읍 ,24
장장로농장,한우,전라남도 보성군 벌교읍 ,40
김순곤농장,한우,전라남도 보성군 벌교읍 ,32
박기동농장,한우,전라남도 보성군 보성읍 ,48
임경문농장,한우,전라남도 보성군 보성읍 ,5
임병인농장,한우,전라남도 보성군 조성면 ,6
김재필농장,한우,전라남도 보성군 득량면 ,11
박진우농장,한우,전라남도 보성군 득량면 ,15
정정숙농장,한우,전라남도 보성군 득량면 ,10
정동만농장,한우,전라남도 보성군 득량면 ,19
이재천농장,한우,전라남도 보성군 득량면 ,6
손석근농장,한우,전라남도 보성군 득량면 ,19
양일록농장,한우,전라남도 보성군 벌교읍 ,6
박상식농장,한우,전라남도 보성군 벌교읍 ,10
김정림농장,한우,전라남도 보성군 보성읍 ,18
양은희농장,한우,전라남도 보성군 보성읍 ,7
이대봉농장,한우,전라남도 보성군 조성면 ,6
정선태농장,산양,전라남도 보성군 득량면 ,0
양금승농장,한우,전라남도 보성군 겸백면 ,8
김성수농장,한우,전라남도 보성군 조성면 ,43
정상현농장,한우,전라남도 보성군 보성읍 ,2
정담래농장,한우,전라남도 보성군 득량면 ,33
박종기농장,한우,전라남도 보성군 벌교읍 ,28
김지호농장,한우,전라남도 보성군 득량면 ,64
이종덕농장,한우,전라남도 보성군 득량면 ,21
수남농장,한우,전라남도 보성군 겸백면 ,22
김영수농장,한우,전라남도 보성군 노동면 ,21
정유정농장,한우,전라남도 보성군 조성면 ,12
서종열농장,한우,전라남도 보성군 보성읍 ,10
위종채농장,한우,전라남도 보성군 보성읍 ,6
김귀자농장,한우,전라남도 보성군 율어면 ,40
승평농장,한우,전라남도 보성군 벌교읍 ,5
강대식농장,한우,전라남도 보성군 보성읍 ,7
배점심농장,한우,전라남도 보성군 벌교읍 ,31
보금농장,한우,전라남도 보성군 득량면 ,131
정찬증농장,한우,전라남도 보성군 미력면 ,36
명량목장,한우,전라남도 보성군 득량면 ,70
노강산한우,한우,전라남도 보성군 벌교읍 ,177
박동철농장,한우,전라남도 보성군 보성읍 ,50
전영운농장,한우,전라남도 보성군 웅치면 ,28
산양농장,한우,전라남도 보성군 보성읍 ,28
천하팜1 농장,한우,전라남도 보성군 노동면 ,55
임은희 농장,한우,전라남도 보성군 보성읍 ,9
김종운농장,한우,전라남도 보성군 조성면 ,40
한결농장,한우,전라남도 보성군 득량면 ,28
김정순농장,한우,전라남도 보성군 웅치면 ,64
보림농장,한우,전라남도 보성군 노동면 ,75
즐거운 농장,오리,전라남도 보성군 웅치면 ,9825
마산골농장,한우,전라남도 보성군 회천면 ,54
대박농장,오리,전라남도 보성군 조성면 ,11463
보성2농장,한우,전라남도 보성군 보성읍 ,49
김문수농장,한우,전라남도 보성군 보성읍 ,8
소태영농장,한우,전라남도 보성군 미력면 ,103
매화농장,한우,전라남도 보성군 보성읍 ,247
박금채농장,한우,전라남도 보성군 득량면 ,19
양왈재농장,한우,전라남도 보성군 겸백면 ,16
갈마농장,오리,전라남도 보성군 보성읍 ,18605
최병현농장,한우,전라남도 보성군 벌교읍 ,7
삼영축산,한우,전라남도 보성군 조성면 ,159
녹향축산,한우,전라남도 보성군 벌교읍 ,113
