연번,사업장명칭,주사육업종,사육두수,데이터기준일자
320,한솔농장,한우,15,2026-01-26
321,김진관농장,한우,41,2026-01-26
322,김홍식농장,한우,4,2026-01-26
323,창구농장,한우,17,2026-01-26
324,덕포농장,한우,44,2026-01-26
325,내농장,한우,13,2026-01-26
326,적석로농장,한우,7,2026-01-26
327,삼거리농장,한우,4,2026-01-26
328,수담농장,한우,3,2026-01-26
329,용기목장,한우,4,2026-01-26
330,내토로농장,한우,13,2026-01-26
331,선림2농장,한우,8,2026-01-26
332,마골길농장,한우,7,2026-01-26
333,화식한우영농법인,한우,274,2026-01-26
334,소망축산,한우,4,2026-01-26
335,경일농장,한우,12,2026-01-26
336,현석농장,한우,24,2026-01-26
337,은행축산,한우,6,2026-01-26
338,종철축산,한우,40,2026-01-26
339,번영농장,한우,5,2026-01-26
340,송학축산,한우,24,2026-01-26
341,이태종,한우,45,2026-01-26
342,현암농장,한우,8,2026-01-26
343,고명목장,한우,12,2026-01-26
344,송화농장2,한우,49,2026-01-26
345,동건농장,한우,18,2026-01-26
346,재호농장,한우,2,2026-01-26
347,요골농장,한우,11,2026-01-26
348,YK농장,한우,20,2026-01-26
349,중앙농장,한우,13,2026-01-26
350,대장농원,한우,2,2026-01-26
351,황기농장,한우,108,2026-01-26
352,미래농장,한우,11,2026-01-26
353,영환농장,한우,5,2026-01-26
354,진성농장,한우,48,2026-01-26
355,송학축산,한우,59,2026-01-26
356,미라농장,한우,27,2026-01-26
357,도담농장,한우,41,2026-01-26
358,청풍농장,한우,13,2026-01-26
359,도현농장,한우,4,2026-01-26
360,럭키농장,한우,18,2026-01-26
361,우리농장,한우,28,2026-01-26
362,새터농장,한우,2,2026-01-26
363,희망농장,한우,8,2026-01-26
364,큰칠농장,한우,8,2026-01-26
365,강소농장,한우,14,2026-01-26
366,석남농장,한우,10,2026-01-26
367,정명농장,한우,18,2026-01-26
368,햇빛농장,한우,17,2026-01-26
369,삼선농장,한우,18,2026-01-26
370,종주농장,한우,11,2026-01-26
371,하마농장,한우,10,2026-01-26
372,국봉축사,한우,70,2026-01-26
373,싸리재농장,한우,3,2026-01-26
374,수호농장,한우,30,2026-01-26
375,연풍농장,한우,21,2026-01-26
376,양지농장,한우,17,2026-01-26
377,석정농장,한우,70,2026-01-26
378,적덕농장,한우,16,2026-01-26
379,대박농장,한우,9,2026-01-26
380,월림농장,한우,25,2026-01-26
381,우진축산,한우,38,2026-01-26
382,봉수축산,한우,20,2026-01-26
383,훈민축산,한우,20,2026-01-26
384,부자농장,한우,49,2026-01-26
385,민선농장,한우,4,2026-01-26
386,용두산농장,한우,9,2026-01-26
387,대흥농장,한우,13,2026-01-26
388,JJ농장,한우,26,2026-01-26
389,삼원농장,한우,5,2026-01-26
390,미소농장,한우,5,2026-01-26
391,우리농장,한우,8,2026-01-26
392,송일목장,한우,10,2026-01-26
393,명도2농장,한우,100,2026-01-26
394,새마을농장,한우,18,2026-01-26
395,바산목장,한우,33,2026-01-26
396,찬우물농장,한우,9,2026-01-26
397,성암농장,한우,1,2026-01-26
398,정민농장,한우,59,2026-01-26
399,오미농장,한우,37,2026-01-26
400,우성축산,한우,35,2026-01-26
401,음메농장,한우,60,2026-01-26
402,섭이농장,한우,12,2026-01-26
403,만수농장,한우,2,2026-01-26
404,산수농장,한우,8,2026-01-26
405,상호농장,한우,13,2026-01-26
406,설림농장,한우,5,2026-01-26
407,신동목장,한우,11,2026-01-26
408,동부농장,한우,54,2026-01-26
409,지방농장,한우,2,2026-01-26
410,고운농장,한우,2,2026-01-26
411,평동농장,한우,8,2026-01-26
412,성실제1농장,한우,100,2026-01-26
413,전원농장,한우,30,2026-01-26
414,엘림축산,한우,104,2026-01-26
415,상상농장,한우,40,2026-01-26
416,태성농장,한우,20,2026-01-26
417,무지개농장,한우,11,2026-01-26
418,유봉농장,한우,6,2026-01-26
419,박달재 프레시 팜,한우,64,2026-01-26
420,성진농장,한우,30,2026-01-26
421,화식한우,한우,33,2026-01-26
422,소드레 농장,한우,70,2026-01-26
423,별이농장,한우,43,2026-01-26
424,장평농장,한우,87,2026-01-26
425,육림,한우,23,2026-01-26
426,올래농장,한우,32,2026-01-26
427,진영농원,한우,23,2026-01-26
428,중범농장,한우,16,2026-01-26
429,선형농장,한우,13,2026-01-26
430,제일농장,한우,18,2026-01-26
431,기성목장,한우,19,2026-01-26
432,상진농장,한우,53,2026-01-26
433,류가농장,한우,20,2026-01-26
434,금실농장,한우,12,2026-01-26
435,원목장,한우,137,2026-01-26
436,태환농장,한우,15,2026-01-26
437,사리골농장,한우,7,2026-01-26
438,왕암농장,한우,6,2026-01-26
439,경원농장,한우,77,2026-01-26
440,재형농장,한우,84,2026-01-26
441,중앙유통농장,한우,77,2026-01-26
442,황도한우목장,한우,59,2026-01-26
443,장평2농장,한우,48,2026-01-26
444,영호농장,한우,21,2026-01-26
445,푸른농장2,한우,10,2026-01-26
446,우리한우농장,한우,15,2026-01-26
447,두학2목장,육우,16,2026-01-26
448,좋소목장,육우,1,2026-01-26
449,창만목장,젖소,21,2026-01-26
450,송포목장,젖소,13,2026-01-26
451,두학목장,젖소,21,2026-01-26
452,이시돌목장,젖소,47,2026-01-26
453,무릉농장,육계,25000,2026-01-26
454,농업회사법인 히즈팜(주) 제천지점,종계/산란계,79600,2026-01-26
455,송제농원,산란육성계,150000,2026-01-26
456,율지농장,육계,45000,2026-01-26
457,꼬끼오농장,육계,80000,2026-01-26
458,거성농장,육계,10000,2026-01-26
459,보성농장,육계,43000,2026-01-26
460,포전2농장,육계,15000,2026-01-26
461,상남농장,육계,90000,2026-01-26
462,꼬꼬마니,육계,72000,2026-01-26
463,우정농장,육계,31000,2026-01-26
464,도화축산,육계,15000,2026-01-26
465,강희농장,종계/산란계,5000,2026-01-26
466,농업회사법인(주)동일농장,종계/산란계,65000,2026-01-26
467,제천축산,육계,500,2026-01-26
468,올계농장,종계/산란계,11500,2026-01-26
469,제천송한시골농장,육계,656,2026-01-26
470,큰마을 농장,육계,100,2026-01-26
471,황금농장,육계,30,2026-01-26
472,(주)올계농업회사법인,종계/산란계,18000,2026-01-26
473,언제나방목닭민박농장,종계/산란계,100,2026-01-26
474,탄지축산,종계/산란계,170,2026-01-26
475,한수농장,종계/산란계,70,2026-01-26
476,선한부자농장,종계/산란계,18000,2026-01-26
477,청풍호산딸기농원,종계/산란계,300,2026-01-26
478,청계농장,종계/산란계,19,2026-01-26
479,도화양계장,종계/산란계,16000,2026-01-26
480,근원농장,염소,3,2026-01-26
481,큰칠농장,염소,50,2026-01-26
482,푸른농장,염소,5,2026-01-26
483,중앙흑염소농장,산양,100,2026-01-26
484,솔미농장,산양,80,2026-01-26
485,팔도농장,산양,100,2026-01-26
486,두리축산,산양,100,2026-01-26
487,무진농장,산양,50,2026-01-26
488,현대농장,산양,60,2026-01-26
489,박달재흑염소농원,염소,70,2026-01-26
490,국사봉농장,산양,150,2026-01-26
491,영돈농장,산양,15,2026-01-26
492,병봉농장,산양,70,2026-01-26
493,서당골농장,산양,40,2026-01-26
494,소사창,산양,4,2026-01-26
495,책읽는 염소목장,산양,34,2026-01-26
496,엄지농장,염소,20,2026-01-26
497,봉자농장,염소,30,2026-01-26
498,행복농장,염소,14,2026-01-26
499,약초흑염소농장,염소,250,2026-01-26
500,금실흑염소농장,염소,49,2026-01-26
501,은행나무농장,염소,49,2026-01-26
502,의왕농장,염소,25,2026-01-26
503,허용진,염소,22,2026-01-26
504,래희축산,염소,20,2026-01-26
505,가실골농장,염소,46,2026-01-26
506,우주농장,염소,50,2026-01-26
507,푸른농장,염소,20,2026-01-26
508,월악산자연농장,염소,40,2026-01-26
509,부자농장,염소,40,2026-01-26
510,소망축산,염소,40,2026-01-26
511,태희농장,염소,22,2026-01-26
512,산아래농장,염소,30,2026-01-26
513,수산농장,염소,140,2026-01-26
514,대월농장,염소,30,2026-01-26
515,,염소,10,2026-01-26
516,바람개비농장,염소,60,2026-01-26
517,천은농장,염소,20,2026-01-26
518,염소야놀자,염소,60,2026-01-26
519,삼팔종합농장1,염소,5,2026-01-26
520,성암농장,염소,20,2026-01-26
521,오티농장,염소,50,2026-01-26
522,효농장,염소,4,2026-01-26
523,김명제농장,염소,5,2026-01-26
524,녹우사슴농장,사슴,290,2026-01-26
525,재은농장,사슴,15,2026-01-26
526,장생사슴농장,사슴,9,2026-01-26
527,재호축산,사슴,4,2026-01-26
528,위림사슴목장,사슴,23,2026-01-26
529,산들농장,사슴,30,2026-01-26
530,산곡사슴농장,사슴,26,2026-01-26
531,모답,사슴,58,2026-01-26
532,경안사슴농장,사슴,10,2026-01-26
