가축종,지번주소,도로명주소,사육두수,축산면적,데이터기준일자
한우,경상남도 남해군 남면 당항리 891번지 1호  ,경상남도 남해군 남면 두양로 166-41,3 ,99 ,2022-11-07
한우,경상남도 남해군 남면 당항리 850번지  ,경상남도 남해군 남면 두양로150번길 10,3 ,64 ,2022-11-07
한우,경상남도 남해군 고현면 대곡리 955번지 0003호  ,,20 ,336 ,2022-11-07
한우,경상남도 남해군 이동면 다정리 2963번지  ,,5 ,70 ,2022-11-07
돼지,경상남도 남해군 삼동면 영지리 2963번지  ,경상남도 남해군 삼동면 죽방로 651,260 ,781 ,2022-11-07
한우,경상남도 남해군 고현면 갈화리 50번지 0004호  ,,13 ,969 ,2022-11-07
한우,경상남도 남해군 서면 작장리 583번지  ,경상남도 남해군 서면 남서대로2003번길 36,21 ,284 ,2022-11-07
한우,경상남도 남해군 서면 대정리 83번지  ,경상남도 남해군 서면 고실로 255,2 ,627 ,2022-11-07
한우,경상남도 남해군 남면 덕월리 726번지  ,경상남도 남해군 남면 남서대로1202번길 34,25 ,489 ,2022-11-07
산양,경상남도 남해군 상주면 상주리 689번지  ,경상남도 남해군 상주면 남해대로678번길 18-29,140 ,374 ,2022-11-07
한우,경상남도 남해군 고현면 오곡리 442번지  ,경상남도 남해군 고현면 고설로83번길 57,134 ,1048 ,2022-11-07
육계,경상남도 남해군 삼동면 봉화리 1961번지 1호 외 1필지 ,경상남도 남해군 삼동면 금암로370번길 67 (외 1필지),50000 ,2650 ,2022-11-07
한우,경상남도 남해군 남면 당항리 306번지 1호  ,경상남도 남해군 남면 두양로52번길 9-32,140 ,1703 ,2022-11-07
한우,경상남도 남해군 서면 대정리 198번지 외 1필지 ,경상남도 남해군 서면 고실로 302-16 (외 1필지),55 ,1579 ,2022-11-07
돼지,경상남도 남해군 고현면 도마리 산 70번지 2호  ,경상남도 남해군 고현면 질개로177번길 135,910 ,2573 ,2022-11-07
한우,경상남도 남해군 서면 남상리 1180번지 외 1필지 ,경상남도 남해군 서면 남서대로 2179-50 (외 1필지),70 ,800 ,2022-11-07
한우,경상남도 남해군 창선면 가인리 712번지  ,경상남도 남해군 창선면 흥선로 264-24,38 ,557 ,2022-11-07
한우,경상남도 남해군 서면 작장리 1327번지 105호  ,경상남도 남해군 서면 남서대로2197번길 148,139 ,1509 ,2022-11-07
한우,경상남도 남해군 서면 서상리 1596번지 1호  ,경상남도 남해군 서면 남서대로 1805-3,45 ,620 ,2022-11-07
한우,경상남도 남해군 서면 서호리 899번지  ,,28 ,352 ,2022-11-07
한우,경상남도 남해군 이동면 초음리 2113번지 2호  ,경상남도 남해군 이동면 강진만로 200-6,61 ,751 ,2022-11-07
한우,경상남도 남해군 고현면 대사리 1238번지 4호  ,경상남도 남해군 고현면 남해대로3628번길 33-4,35 ,800 ,2022-11-07
한우,경상남도 남해군 창선면 옥천리 321번지  ,경상남도 남해군 창선면 옥천로146번길 6-3,24 ,331 ,2022-11-07
한우,경상남도 남해군 남면 덕월리 102번지 10호  ,경상남도 남해군 남면 남서대로 1145-19,90 ,1916 ,2022-11-07
한우,경상남도 남해군 고현면 포상리 676번지 외 1필지 ,경상남도 남해군 고현면 삼봉로235번길 23-5 (외 1필지),1 ,29 ,2022-11-07
돼지,경상남도 남해군 남해읍 평리 470번지  ,경상남도 남해군 남해읍 당넘로247번길 135,1310 ,1178 ,2022-11-07
돼지,경상남도 남해군 이동면 무림리 738번지 1호  ,경상남도 남해군 이동면 난음로7번길 76,3400 ,1835 ,2022-11-07
돼지,경상남도 남해군 남해읍 평리 474번지  ,경상남도 남해군 남해읍 당넘로247번길 125-5,510 ,525 ,2022-11-07
돼지,경상남도 남해군 남해읍 평리 461번지  ,경상남도 남해군 남해읍 당넘로247번길 156-6,500 ,392 ,2022-11-07
한우,경상남도 남해군 고현면 이어리 49번지  ,경상남도 남해군 고현면 남해대로 3108-47,10 ,638 ,2022-11-07
한우,경상남도 남해군 설천면 금음리 1259번지 1호  ,경상남도 남해군 설천면 설천로 577-34,13 ,323 ,2022-11-07
