시군명,농장명,축종명,사육두수,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
포천시,나라청산,돼지,600,경기도 포천시 신북면 간자동길 93-41,경기도 포천시 신북면 삼정리 79번지  ,,,2025-01-13
포천시,황토농장,돼지,500,경기도 포천시 이동면 새낭로 424,"경기도 포천시 이동면 노곡리 1022번지 5호 , 756-2, -4 ",,,2025-01-13
포천시,농업회사법인 주식회사 브니엘농장,돼지,740,경기도 포천시 신북면 깊이울로1길 12-17,경기도 포천시 신북면 심곡리 630번지  ,,,2025-01-13
포천시,브니엘농장,돼지,1750,경기도 포천시 영중면 가영로 464-17,경기도 포천시 영중면 영송리 573번지  ,,,2025-01-13
포천시,나라축산,돼지,2300,경기도 포천시 관인면 창동로1173번길 87,"경기도 포천시 관인면 삼율리 322번지 322-1, -2, -3 번지 등 4필지 ",,,2025-01-13
포천시,농업회사법인(주)더함께,돼지,5000,경기도 포천시 이동면 새낭로 490,경기도 포천시 이동면 노곡리 1043번지 1호  ,,,2025-01-13
포천시,동암영농조합법인(청람농장),돼지,15000,경기도 포천시 영중면 가영로 436-55 (외10필지),경기도 포천시 영중면 영송리 612번지 외10필지 ,,,2025-01-13
포천시,금호영농조합법인,돼지,11888,경기도 포천시 창수면 옥수로327번길 44,경기도 포천시 창수면 주원리 500번지  ,,,2025-01-13
포천시,동암영농조합법인(효성농장),돼지,12000,경기도 포천시 창수면 옥수로 372 (외3필지),경기도 포천시 창수면 주원리 468번지 외3필지 ,,,2025-01-13
포천시,낭유농장,돼지,700,경기도 포천시 이동면 새낭로420번길 59,"경기도 포천시 이동면 노곡리 734번지 3호 , -1, -8, -11, 733-1, -2, 736-2, 742-4 ",,,2025-01-13
포천시,경인농장,돼지,770,경기도 포천시 이동면 새낭로 466,경기도 포천시 이동면 노곡리 1042번지 3호  ,,,2025-01-13
포천시,-,돼지,350,경기도 포천시 이동면 새낭로 466,경기도 포천시 이동면 노곡리 1041번지 1호  ,,,2025-01-13
포천시,혜선농장,돼지,900,경기도 포천시 이동면 성장로 818-85,경기도 포천시 이동면 노곡리 867번지 2호  ,,,2025-01-13
포천시,선경농장,돼지,1800,경기도 포천시 신북면 삼성당4길 77,경기도 포천시 신북면 삼성당리 185번지 1호  ,,,2025-01-13
포천시,한결농장,돼지,2000,경기도 포천시 이동면 화동로1908번길 141,경기도 포천시 이동면 연곡리 40번지 1호  ,,,2025-01-13
포천시,한돈농장,돼지,3000,경기도 포천시 창수면 옥수로 383,경기도 포천시 창수면 주원리 484번지 1호  ,,,2025-01-13
포천시,보림농장,돼지,1200,경기도 포천시 창수면 옥수로298번길 68-19,경기도 포천시 창수면 주원리 86번지  ,,,2025-01-13
포천시,천그린농장,돼지,1200,경기도 포천시 창수면 옥수로298번길 78,경기도 포천시 창수면 주원리 82번지  ,,,2025-01-13
포천시,도유축산,돼지,1300,경기도 포천시 신북면 신평로16번길 188,경기도 포천시 신북면 만세교리 118번지 .-5.-7.119.-3 ,,,2025-01-13
포천시,진우농장,돼지,1300,경기도 포천시 창수면 옥수로327번길 51 (외1필지(626)),경기도 포천시 창수면 주원리 517번지 외1필지(626) ,,,2025-01-13
