농장명,축종명,사육두수,소재지도로명주소,소재지지번주소
씨프로팜,돼지,2750,경기도 안성시 보개면 내방상삼로 216-11,"경기도 안성시 보개면 상삼리 168번지 외 4필지(상삼리 439,440,441,445번지) "
찬식농장,돼지,900,경기도 안성시 일죽면 장암로 167-53,경기도 안성시 일죽면 장암리 351번지 3호  
장성골농장,돼지,4273,경기도 안성시 일죽면 일생로 356,경기도 안성시 일죽면 금산리 89번지 3호 (외12필지) 
해성농장,돼지,850,경기도 안성시 보개면 북좌길 43-31,경기도 안성시 보개면 북좌리 196번지  
한결양돈영농조합법인,돼지,0,경기도 안성시 고삼면 범골길 70,경기도 안성시 고삼면 신창리 279번지 외 7필지 
농업회사법인 (주)안성,돼지,20000,경기도 안성시 일죽면 화곡리 209번지 1호  ,경기도 안성시 일죽면 화곡리 209번지 1호  
녹지농장,돼지,400,경기도 안성시 일죽면 일생로 22-11,경기도 안성시 일죽면 화봉리 377번지 1호  
해성농장,돼지,950,경기도 안성시 죽산면 칠장로 168-9,경기도 안성시 죽산면 칠장리 259번지  
(주)엑스피바이오,돼지,630,경기도 안성시 일죽면 화곡길 147-34,"경기도 안성시 일죽면 화곡리 869번지 4호 , 869-5번지 "
한성농장,돼지,1457,경기도 안성시 원곡면 행골길 216-61,경기도 안성시 원곡면 산하리 54번지  
해오름농장,돼지,3000,"경기도 안성시 서운면 서운로 241-45 (외 4필지(서운면 신촌리 253-9, 253-10, 253-11, 산9-4))","경기도 안성시 서운면 신촌리 253번지 6호 외 4필지(서운면 신촌리 253-9, 253-10, 253-11, 산9-4) "
율곡농산,돼지,9000,경기도 안성시 삼죽면 밤고개안길 168-74,경기도 안성시 삼죽면 율곡리 산 16번지 1호  
산마을 농장,돼지,1000,경기도 안성시 삼죽면 미장리 40번지 4호  ,경기도 안성시 삼죽면 미장리 40번지 4호  
바우농장,돼지,1000,경기도 안성시 일죽면 노성로 193-27,경기도 안성시 일죽면 신흥리 326번지 1호 외 5필지 
영구농장,돼지,2450,경기도 안성시 미양면 서변1길 84,경기도 안성시 미양면 강덕리 175번지 1호  
방은농장,돼지,1920,경기도 안성시 일죽면 한다리길 36-13,경기도 안성시 일죽면 방초리 1107번지 5호  
대광축산,돼지,600,경기도 안성시 삼죽면 삼백로 167,"경기도 안성시 삼죽면 덕산리 560번지 , 561-1, 739-3 "
다인농장,돼지,2400,경기도 안성시 일죽면 죽화로 22-9,경기도 안성시 일죽면 고은리 1141번지 1호  
구성농장,돼지,7543,경기도 안성시 일죽면 장암로 127-33,경기도 안성시 일죽면 장암리 436번지 외 8필지 
함박농장,돼지,390,경기도 안성시 죽산면 걸미로 723-10,"경기도 안성시 죽산면 장계리 35번지 1호 , 35-2 "
한아름농장,돼지,2200,경기도 안성시 죽산면 장계길 14-102,경기도 안성시 죽산면 장계리 329번지  
엑스피농장,돼지,70,경기도 안성시 일죽면 화곡길 147-34,경기도 안성시 일죽면 화곡리 869번지 6호  
대유농장,돼지,1600,경기도 안성시 양성면 양성로 345,경기도 안성시 양성면 산정리 48번지 1호  
태기농장,돼지,550,경기도 안성시 일죽면 죽화로 431,경기도 안성시 일죽면 신흥리 689번지  
에이스 안성팜,돼지,400,경기도 안성시 미양면 안골길 66,경기도 안성시 미양면 갈전리 16번지  
현득농장,돼지,2400,"경기도 안성시 일죽면 죽화로 112-84 (외 2필지(1177-5,1177-6))","경기도 안성시 일죽면 고은리 1176번지 4호 외 2필지(1177-5,1177-6) "
오광농장,돼지,1300,경기도 안성시 일죽면 한다리길 35-12,경기도 안성시 일죽면 방초리 1119번지 3호  
다물농장,돼지,700,경기도 안성시 일죽면 일죽신흥로 159-27,경기도 안성시 일죽면 화곡리 209번지 8호  
농업회사법인(유)미래에이엠씨,돼지,7000,경기도 안성시 일죽면 서동대로 7219-56 (외 4필지),경기도 안성시 일죽면 월정리 1440번지 외 4필지 
태광농장,돼지,1120,경기도 안성시 대덕면 선인장길 13,경기도 안성시 대덕면 명당리 195번지 1호  
해돈농장,돼지,2000,경기도 안성시 보개면 보개산로 145-16 (외 1필(338)),경기도 안성시 보개면 북좌리 337번지 외 1필(338) 
명성농장,돼지,1800,경기도 안성시 일죽면 오방길 38,경기도 안성시 일죽면 고은리 1152번지 13호  
성돈농장,돼지,3210,경기도 안성시 일죽면 한다리길 28,경기도 안성시 일죽면 방초리 1108번지 5호  
