농장명,농장주,축종명,사육두수(두),농장소재지
자연농장,유*열,한우,45,전라남도 순천시 황전면 내구리
동윤농장,이*백,한우,50,전라남도 순천시 황전면 내구리
김*동농장,김*동,한우,20,전라남도 순천시 황전면 비촌리
성천축산,신*호,한우,68,전라남도 순천시 낙안면 창녕리
순천대학교 농업생명과학대학 실습장,순천대학교,젖소,750,전라남도 순천시 서면 지본리
승주우드림목장,순천광양축산업협동조합,한우,427,전라남도 순천시 승주읍 도정리
신영축산,강*진,돼지,2800,전라남도 순천시 월등면 송천리
대길농장,조*현,한우,80,전라남도 순천시 황전면 금평리
조*기오리농장,조*기,오리,15000,전라남도 순천시 황전면 월산리
하사제일농장,최*종,한우,18,전라남도 순천시 해룡면 하사리
서*희 농장,서*희,한우,60,전라남도 순천시 해룡면 농주리
하도목장,이*택,한우,10,전라남도 순천시 야흥동
하늘농장,성*석,한우,65,전라남도 순천시 황전면 내구리
윤*배 농장,윤*배,한우,7,전라남도 순천시 외서면 도신리
재진농장,유*수,한우,22,전라남도 순천시 황전면 내구리
정*호 농장,정*호,한우,31,전라남도 순천시 상사면 쌍지리
청미래 농장,유*모,한우,40,전라남도 순천시 월등면 송천리
인후 농장,유*갑,한우,120,전라남도 순천시 황전면 회룡리
천리향 농장,유*환,한우,72,전라남도 순천시 황전면 죽청리
조*호농장,조*호,한우,10,전라남도 순천시 상사면 마륜리
오봉농장,김*모,한우,5,전라남도 순천시 낙안면 내운리
동만축산,김*수,젖소,80,전라남도 순천시 월등면 월용리
연우 농장,정*균,한우,26,전라남도 순천시 황전면 덕림리
삼일농장,강*선,한우,290,전라남도 순천시 낙안면 창녕리
안산농장,유*구,한우,25,전라남도 순천시 황전면 회룡리
시온농장,노*철,오리,13400,전라남도 순천시 황전면 월산리
이*근 농장,이*근,한우,30,전라남도 순천시 외서면 신덕리
채*선 농장,채*선,한우,20,전라남도 순천시 오천동
채*홍 농장,채*홍,한우,10,전라남도 순천시 교량동
이*근 농장,이*근,한우,7,전라남도 순천시 외서면 신덕리
순천만 메추리,서*석,육계,45000,전라남도 순천시 교량동
행복한 한우농장,배*섭,한우,45,전라남도 순천시 낙안면 검암리
순천 우진 농장,신*일,육계,85000,전라남도 순천시 별량면 대룡리
정*화 농장,정*화,육계,50000,전라남도 순천시 별량면 대룡리
대성농장,김*선,한우,52,전라남도 순천시 황전면 회룡리
정구농장,서*구,한우,80,전라남도 순천시 황전면 덕림리
만남농장,남*희,한우,10,전라남도 순천시 황전면 황학리
승평농장,김*열,한우,17,전라남도 순천시 황전면 평촌리
부해농장,문*주,한우,80,전라남도 순천시 낙안면 교촌리
매곡 축산,이*순,한우,47,전라남도 순천시 서면 운평리
남일농장,남*영,한우,20,전라남도 순천시 월등면 갈평리
황일농장,윤*권,한우,12,전라남도 순천시 황전면 황학리
신기농장,이*철,한우,12,전라남도 순천시 황전면 회룡리
나*영 농장,나*영,한우,11,전라남도 순천시 별량면 봉림리
태산농장,신*선,한우,46,전라남도 순천시 월등면 대평리
김*수 농장,김*수,한우,37,전라남도 순천시 해룡면 용전리
명래축산,문*래,한우,14,전라남도 순천시 황전면 회룡리
산저골 축산,강*진,한우,30,전라남도 순천시 낙안면 검암리
장*석 축사,장*석,한우,15,전라남도 순천시 승주읍 도정리
화평몽희축산,서*희,한우,15,전라남도 순천시 황전면 덕림리
순천한우 농장,순천한우 영농조합법인,한우,70,전라남도 순천시 외서면 월암리
조*래농장,조*래,한우,29,전라남도 순천시 월등면 월용리
최*철 농장,최*철,한우,33,전라남도 순천시 월등면 농선리
주암오리농장,강*숙,오리,8000,전라남도 순천시 주암면 대구리
산골농장,염*출,오리,23000,전라남도 순천시 낙안면 하송리
박귀전 농장,박*전,한우,20,전라남도 순천시 황전면 내구리
복지 농장,이*윤,한우,90,전라남도 순천시 황전면 내구리
장*원 농장,장*원,한우,21,전라남도 순천시 월등면 농선리
하*문 농장,하*문,한우,24,전라남도 순천시 서면 학구리
조*용 농장,최*자,한우,30,전라남도 순천시 황전면 대치리
이*개 농장,이*개,한우,14,전라남도 순천시 황전면 대치리
쌍곡 농장,박*근,한우,20,전라남도 순천시 상사면 쌍지리
김*종 농장,김*종,한우,15,전라남도 순천시 상사면 용암리
하도제2농장,박*선,한우,50,전라남도 순천시 상사면 오곡리
백홍언 농장,백*언,한우,50,전라남도 순천시 황전면 비촌리
우경농장,성*균,한우,45,전라남도 순천시 황전면 내구리
덕천 축산,유*진,한우,25,전라남도 순천시 낙안면 검암리
재영 축산,한*만,한우,4,전라남도 순천시 낙안면 목촌리
