농장명,농장주,축종명,사육두수(두),농장소재지
신화축산,최*용,염소,7,전라남도 순천시 별량면 운천리
낙안 흑염소,서*호,산양,150,전라남도 순천시 낙안면 창녕리
서문농장,황*원,한우,22,전라남도 순천시 낙안면 서내리
두지목장,김*석,젖소,65,전라남도 순천시 외서면 신덕리
황우제2농장,정*균,한우,70,전라남도 순천시 황전면 회룡리
정원농장,박*성,돼지,500,전라남도 순천시 황전면 덕림리
식이네 염소농장,신*식,염소,20,전라남도 순천시 낙안면 창녕리
죽림농장,심*섭,한우,2,전라남도 순천시 월등면 월용리
행운농장,조*용,돼지,1600,전라남도 순천시 주암면 오산리
대형농장,박*순,한우,0,전라남도 순천시 승주읍 신성리
유정목장-2,이*열,젖소,57,전라남도 순천시 낙안면 창녕리
창녕농장,강*현,한우,15,전라남도 순천시 낙안면 창녕리
가음농장,김*덕,육계,40000,전라남도 순천시 주암면 백록리
