사업장명칭,등록축종,사업장소재지(지번),사업장소재지(도로명),사육두수,동수,면적,데이터기준일자
짱구2농장,오리,충청북도 음성군 맹동면 봉현리 694번지  ,충청북도 음성군 맹동면 용촌길 183-50,27512 ,18 ,6768 ,2024-08-24
세움팜스,육계,"충청북도 음성군 대소면 수태리 125번지 외 8필지(122,123,124,맹동면 용촌리 379,379-1,379-2,379-3,379-4) ",,130000 ,4 ,6729 ,2024-08-24
무궁화농장,육계,충청북도 음성군 맹동면 봉현리 678번지  ,충청북도 음성군 맹동면 용촌길 183-78,140000 ,8 ,6769 ,2024-08-24
영모농장,한우,충청북도 음성군 원남면 하노리 728번지  ,,21 ,1 ,810 ,2024-08-24
매일농장,한우,충청북도 음성군 삼성면 상곡리 128번지 1호  ,,33 ,1 ,648 ,2024-08-24
지호농장,육계,충청북도 음성군 맹동면 봉현리 719번지  ,충청북도 음성군 맹동면 봉현로 94-21,190000 ,10 ,8740 ,2024-08-24
대성농장 2농장,육계,충청북도 음성군 맹동면 마산리 290번지  ,충청북도 음성군 맹동면 대동로 264-78,70000 ,4 ,3344 ,2024-08-24
범석축산,한우,충청북도 음성군 소이면 비산리 209번지 1호  ,충청북도 음성군 소이면 소이로 146-9,42 ,1 ,648 ,2024-08-24
찬희농장,한우,충청북도 음성군 맹동면 마산리 495번지  ,충청북도 음성군 맹동면 덕금로235번길 57-40,75 ,2 ,2024 ,2024-08-24
생금,육계,충청북도 음성군 금왕읍 본대리 101번지 7호 외1필지 ,충청북도 음성군 금왕읍 신내로 550-90,100000 ,8 ,5088 ,2024-08-24
시온농장,,충청북도 음성군 대소면 수태리 604번지 1호  ,충청북도 음성군 대소면 수태로106번길 97-40,0 ,1 ,320 ,2024-08-24
환희농장,육계,충청북도 음성군 맹동면 봉현리 693번지  ,충청북도 음성군 맹동면 봉현로 70-9,81800 ,3 ,3600 ,2024-08-24
매봉농장,오리,충청북도 음성군 금왕읍 본대리 산 7번지 4호  ,충청북도 음성군 금왕읍 신내로 550-78,24390 ,7 ,6000 ,2024-08-24
민경농장,한우,충청북도 음성군 소이면 충도리 1050번지 외 1필지 ,,28 ,1 ,300 ,2024-08-24
민욱농장,한우,충청북도 음성군 원남면 하당리 277번지 1호  ,충청북도 음성군 원남면 충청대로 1063-6,25 ,1 ,160 ,2024-08-24
공렬농장,한우,충청북도 음성군 원남면 하당리 57번지 1호 외1필지 ,충청북도 음성군 원남면 충청대로1145번길 24-6,4 ,2 ,536 ,2024-08-24
일성농장,한우,충청북도 음성군 원남면 하당리 57번지 2호  ,충청북도 음성군 원남면 충청대로1145번길 24-6,12 ,1 ,315 ,2024-08-24
(주)팜스코 천평농장,한우,"충청북도 음성군 삼성면 천평리 760번지 6호 외 5필지(760-3, 산139, 760-24,760-4,751-2) ",,807 ,11 ,8070 ,2024-08-24
정원농장,한우,충청북도 음성군 대소면 내산리 344번지  ,충청북도 음성군 대소면 내산길143번길 39,6 ,1 ,640 ,2024-08-24
솔그린농장,육계,충청북도 음성군 감곡면 문촌리 448번지 3호 외 4필지 ,충청북도 음성군 감곡면 가곡로 486,60000 ,1 ,3069 ,2024-08-24
용원농장,육계,충청북도 음성군 맹동면 봉현리 353번지 외 3필지 ,충청북도 음성군 맹동면 봉현로 95-48,70000 ,14 ,6100 ,2024-08-24
정일농장 2농장,오리,충청북도 음성군 맹동면 봉현리 579번지 2호 외 1필지 ,,12000 ,11 ,4976 ,2024-08-24
삼성농장,육계,충청북도 음성군 삼성면 덕정리 1045번지 외 2필지 ,,90000 ,2 ,3775 ,2024-08-24
정우농장,육계,충청북도 음성군 음성읍 초천리 714번지 2호 외 1필지 ,,60000 ,3 ,2711 ,2024-08-24
J·H농장,한우,충청북도 음성군 맹동면 인곡리 20번지  ,,50 ,1 ,314 ,2024-08-24
한삼농장,한우,충청북도 음성군 금왕읍 삼봉리 295번지  ,충청북도 음성군 금왕읍 유삼길50번길 8-23,22 ,1 ,240 ,2024-08-24
현일농장,한우,충청북도 음성군 대소면 부윤리 330번지  ,충청북도 음성군 대소면 대동로 451-25,20 ,1 ,1000 ,2024-08-24
푸른농장,육계,충청북도 음성군 대소면 수태리 126번지 외 3필지 ,충청북도 음성군 대소면 초금로 81,100000 ,16 ,5200 ,2024-08-24
미선농장 2,한우,충청북도 음성군 삼성면 양덕리 315번지 1호 외 4필지 ,충청북도 음성군 삼성면 대양로 158,168 ,4 ,1701 ,2024-08-24
동호농장,한우,충청북도 음성군 소이면 후미리 698번지 2호  ,충청북도 음성군 소이면 장구실길 153,9 ,1 ,256 ,2024-08-24
신일농장,한우,충청북도 음성군 생극면 팔성리 393번지 2호  ,충청북도 음성군 생극면 토끼실길 53-1,32 ,3 ,592 ,2024-08-24
양덕농장,한우,충청북도 음성군 삼성면 양덕리 270번지 2호  ,충청북도 음성군 삼성면 대양로 129,50 ,2 ,425 ,2024-08-24
윤호농장,한우,충청북도 음성군 금왕읍 유포리 166번지 4호  ,충청북도 음성군 금왕읍 버들개길 6,30 ,1 ,320 ,2024-08-24
초원농장2,젖소,충청북도 음성군 감곡면 원당리 260번지  ,충청북도 음성군 감곡면 원당길 101,100 ,1 ,1728 ,2024-08-24
삼정농장2,한우,충청북도 음성군 대소면 삼정리 680번지  ,충청북도 음성군 대소면 오태로116번길 83-11,211 ,3 ,2116 ,2024-08-24
지비천농장 2,,충청북도 음성군 생극면 팔성리 541번지  ,충청북도 음성군 생극면 토끼실길 73-22,0 ,4 ,1258 ,2024-08-24
현대농장,한우,충청북도 음성군 삼성면 선정리 538번지 3호 외 1필지 ,충청북도 음성군 삼성면 선정로 9-21,60 ,3 ,615 ,2024-08-24
한국오리영농조합법인 제2농장,오리,충청북도 음성군 삼성면 용대리 295번지  ,충청북도 음성군 삼성면 덕호로415번길 57,9660 ,5 ,2376 ,2024-08-24
해피그린농장,오리,충청북도 음성군 대소면 성본리 596번지 2호 외 3필지 ,충청북도 음성군 대소면 신내로 213-28,20000 ,16 ,5029 ,2024-08-24
늘푸른농장,오리,충청북도 음성군 맹동면 마산리 465번지  ,,7800 ,4 ,1926 ,2024-08-24
유포농장,한우,충청북도 음성군 금왕읍 유포리 77번지 5호  ,,8 ,1 ,270 ,2024-08-24
예현농장,한우,충청북도 음성군 생극면 팔성리 846번지  ,,14 ,1 ,144 ,2024-08-24
성중목장,사슴,충청북도 음성군 생극면 송곡리 68번지 외1필지 ,충청북도 음성군 생극면 송곡길38번길 205,2 ,1 ,66 ,2024-08-24
호명사슴농장,"산양, 사슴",충청북도 음성군 삼성면 천평리 287번지 1호  ,충청북도 음성군 삼성면 선정로118번길 77-18,68 ,3 ,420 ,2024-08-24
누리농장,종계/산란계,충청북도 음성군 소이면 중동리 1384번지  ,충청북도 음성군 소이면 한불로 799-2,15000 ,8 ,2560 ,2024-08-24
성원농장,한우,충청북도 음성군 소이면 봉전리 126번지 1호  ,,13 ,2 ,250 ,2024-08-24
오복농장,한우,충청북도 음성군 음성읍 초천리 560번지  ,,28 ,1 ,240 ,2024-08-24
용주농장,한우,충청북도 음성군 삼성면 용성리 111번지  ,충청북도 음성군 삼성면 마재길 19-32,60 ,2 ,694 ,2024-08-24
준영농장,,충청북도 음성군 금왕읍 무극리 312번지 1호  ,충청북도 음성군 금왕읍 각구실길 99,0 ,2 ,328 ,2024-08-24
정생목장,,충청북도 음성군 금왕읍 정생리 307번지  ,,0 ,1 ,74 ,2024-08-24
송인농장,한우,충청북도 음성군 음성읍 삼생리 258번지  ,,10 ,1 ,158 ,2024-08-24
자연농장,종계/산란계,충청북도 음성군 생극면 임곡리 100번지 4호 외 1필지 ,충청북도 음성군 생극면 임곡길 224,14697 ,3 ,1633 ,2024-08-24
호수농장,육우,충청북도 음성군 감곡면 단평리 433번지  ,충청북도 음성군 감곡면 성주로 377-10,150 ,2 ,352 ,2024-08-24
안나농원,한우,충청북도 음성군 삼성면 선정리 산 120번지 1호  ,,5 ,1 ,99 ,2024-08-24
전원사슴농장,사슴,충청북도 음성군 소이면 봉전리 490번지 1호  ,충청북도 음성군 소이면 갑산로 98,8 ,2 ,274 ,2024-08-24
삼생농장,한우,충청북도 음성군 음성읍 삼생리 136번지 3호  ,충청북도 음성군 음성읍 덕생로 553,10 ,1 ,170 ,2024-08-24
신동농장,한우,충청북도 음성군 삼성면 양덕리 692번지  ,,36 ,2 ,256 ,2024-08-24
해성농장,한우,충청북도 음성군 음성읍 삼생리 780번지  ,,21 ,1 ,180 ,2024-08-24
생리관광농원,사슴,충청북도 음성군 생극면 생리 산 61번지 10호  ,,4 ,0 ,240 ,2024-08-24
농업회사법인 주식회사 에버그린(금왕지점),메추리,충청북도 음성군 금왕읍 신평리 307번지 외 12필지 ,충청북도 음성군 금왕읍 청평길 266-38,1084800 ,8 ,5933 ,2024-08-24
장섭농장,한우,충청북도 음성군 대소면 태생리 250번지 5호 외1필지 ,충청북도 음성군 대소면 새미실길45번길 3-15,21 ,2 ,241 ,2024-08-24
수정농장,한우,충청북도 음성군 소이면 봉전리 896번지  ,,35 ,2 ,330 ,2024-08-24
남율농장,육계,충청북도 음성군 소이면 문등리 196번지  ,충청북도 음성군 소이면 문등로 164-26,72767 ,3 ,3358 ,2024-08-24
영림축산,돼지,충청북도 음성군 소이면 비산리 699번지  ,충청북도 음성군 소이면 충청대로 1822-15,3000 ,6 ,3175 ,2024-08-24
원남농장,"한우, 메추리",충청북도 음성군 원남면 덕정리 59번지  ,충청북도 음성군 원남면 보덕로 254,70002 ,3 ,978 ,2024-08-24
송문농장,한우,충청북도 음성군 소이면 문등리 409번지 11호  ,충청북도 음성군 소이면 문등로 175-12,2 ,1 ,50 ,2024-08-24
구안리농장,한우,충청북도 음성군 원남면 구안리 416번지  ,충청북도 음성군 원남면 상경로 100-8,15 ,1 ,198 ,2024-08-24
농업회사법인주식회사알부자,종계/산란계,"충청북도 음성군 원남면 하노리 208번지 외2필지(208-1,213) ",충청북도 음성군 원남면 충청대로1226번길 5-32,32000 ,11 ,4068 ,2024-08-24
캡사이신 한우(고추 먹인 소),한우,충청북도 음성군 음성읍 평곡리 92번지  ,충청북도 음성군 음성읍 토계울길69번길 75-14,8 ,4 ,496 ,2024-08-24
대동농장,메추리,충청북도 음성군 소이면 금고리 527번지 1호  ,충청북도 음성군 소이면 한불로 472-13,40000 ,2 ,395 ,2024-08-24
정생목장2,한우,충청북도 음성군 금왕읍 정생리 371번지  ,,11 ,1 ,600 ,2024-08-24
상철농장,산양,충청북도 음성군 금왕읍 백야리 91번지  ,충청북도 음성군 금왕읍 백야로 398,6 ,1 ,64 ,2024-08-24
황금농장,한우,충청북도 음성군 금왕읍 백야리 269번지  ,충청북도 음성군 금왕읍 백야로 538,26 ,1 ,775 ,2024-08-24
다움랩,육계,충청북도 음성군 삼성면 덕정리 38번지 외 5필지 ,충청북도 음성군 삼성면 금일로 751-49,120000 ,5 ,6055 ,2024-08-24
종호농장,한우,충청북도 음성군 삼성면 양덕리 70번지 2호  ,,15 ,1 ,160 ,2024-08-24
형제메추리농장,메추리,충청북도 음성군 원남면 덕정리 194번지  ,충청북도 음성군 원남면 보덕로297번길 33-33,70000 ,2 ,508 ,2024-08-24
정우농장 2,육계,충청북도 음성군 삼성면 대야리 428번지  ,충청북도 음성군 삼성면 대양로 169-42,110000 ,4 ,5595 ,2024-08-24
준농장,한우,충청북도 음성군 대소면 태생리 250번지 4호  ,충청북도 음성군 대소면 새미실길45번길 3-7,14 ,1 ,123 ,2024-08-24
건우농장,,충청북도 음성군 금왕읍 사창리 415번지 3호  ,충청북도 음성군 금왕읍 행제길55번길 111,0 ,2 ,420 ,2024-08-24
무지개농장,한우,충청북도 음성군 삼성면 용대리 408번지 2호  ,,12 ,1 ,119 ,2024-08-24
성원농장,한우,충청북도 음성군 삼성면 천평리 325번지 8호  ,충청북도 음성군 삼성면 대성로 231-4,6 ,3 ,207 ,2024-08-24
대성농장,한우,충청북도 음성군 금왕읍 용계리 354번지 1호  ,,15 ,1 ,288 ,2024-08-24
금고축산,한우,충청북도 음성군 소이면 금고리 750번지 2호  ,,35 ,3 ,380 ,2024-08-24
문수농장,산양,충청북도 음성군 원남면 문암리 377번지  ,충청북도 음성군 원남면 금법길 88-46,11 ,1 ,190 ,2024-08-24
우두사슴목장,"사슴, 염소",충청북도 음성군 대소면 삼호리 683번지 3호  ,,17 ,2 ,120 ,2024-08-24
금고농장,한우,충청북도 음성군 소이면 금고리 483번지  ,,30 ,1 ,288 ,2024-08-24
삼성사슴농장,사슴,충청북도 음성군 삼성면 양덕리 471번지  ,충청북도 음성군 삼성면 금일로 1035-7,4 ,1 ,100 ,2024-08-24
은혜농장2,산양,충청북도 음성군 금왕읍 유촌리 497번지  ,충청북도 음성군 금왕읍 유촌로232번길 32-19,10 ,1 ,64 ,2024-08-24
새빛농장,한우,충청북도 음성군 대소면 태생리 16번지 1호  ,충청북도 음성군 대소면 대금로511번길 149-17,27 ,1 ,256 ,2024-08-24
최용진 농장,한우,충청북도 음성군 음성읍 사정리 125번지 2호  ,,11 ,1 ,112 ,2024-08-24
현인농장,한우,충청북도 음성군 음성읍 한벌리 370번지  ,,38 ,2 ,643 ,2024-08-24
상민농장,한우,충청북도 음성군 금왕읍 본대리 120번지 5호  ,충청북도 음성군 금왕읍 멍심이길 125-29,2 ,1 ,35 ,2024-08-24
상호농장,한우,충청북도 음성군 금왕읍 봉곡리 129번지  ,충청북도 음성군 금왕읍 봉곡길 19-14,10 ,1 ,550 ,2024-08-24
지영농장,한우,충청북도 음성군 금왕읍 본대리 77번지 1호  ,충청북도 음성군 금왕읍 신내로 560-8,4 ,1 ,100 ,2024-08-24
감곡흑염소농장,산양,충청북도 음성군 감곡면 오향리 731번지 6호  ,충청북도 음성군 감곡면 음성로 2536-10,9 ,1 ,160 ,2024-08-24
구레골목장,한우,충청북도 음성군 음성읍 초천리 914번지 외 1필지(914-1) ,,30 ,1 ,600 ,2024-08-24
한빛타조농장,타조,충청북도 음성군 맹동면 봉현리 300번지 외 1필지(250번지) ,충청북도 음성군 맹동면 봉현로 187,53 ,0 ,5700 ,2024-08-24
엄지흑염소농장,산양,충청북도 음성군 금왕읍 삼봉리 37번지 1호  ,,130 ,1 ,660 ,2024-08-24
영환농장,한우,충청북도 음성군 금왕읍 내송리 405번지  ,충청북도 음성군 금왕읍 금일로191번길 21,25 ,2 ,309 ,2024-08-24
영재농장,산양,충청북도 음성군 금왕읍 유포리 493번지  ,충청북도 음성군 금왕읍 초금로 481-9,60 ,1 ,320 ,2024-08-24
그린목장,한우,충청북도 음성군 삼성면 양덕리 483번지  ,충청북도 음성군 삼성면 금일로 1015,13 ,1 ,157 ,2024-08-24
성미농장,한우,충청북도 음성군 삼성면 용성리 229번지 23호  ,충청북도 음성군 삼성면 삼양로249번길 7-4,23 ,2 ,208 ,2024-08-24
승원농장,한우,충청북도 음성군 삼성면 용성리 149번지 1호  ,충청북도 음성군 삼성면 삼양로249번길 24,4 ,1 ,50 ,2024-08-24
성구농장,한우,충청북도 음성군 금왕읍 봉곡리 33번지 2호  ,충청북도 음성군 금왕읍 덕금로790번길 19,13 ,2 ,210 ,2024-08-24
호수축산,한우,충청북도 음성군 감곡면 원당리 659번지 1호  ,충청북도 음성군 감곡면 음성로2089번길 38,99 ,1 ,1377 ,2024-08-24
윤태인농장,한우,충청북도 음성군 대소면 삼호리 94번지 7호  ,충청북도 음성군 대소면 삼양로 700-5,2 ,1 ,32 ,2024-08-24
강원흑염소,산양,충청북도 음성군 금왕읍 도청리 1번지 1호  ,충청북도 음성군 금왕읍 청평길 2-17,50 ,2 ,74 ,2024-08-24
이수영농장,한우,"충청북도 음성군 소이면 후미리 632번지 4호 외2(632-6, 632-12) ",충청북도 음성군 소이면 후삼로 70,32 ,1 ,320 ,2024-08-24
봉전농장,한우,충청북도 음성군 소이면 봉전리 154번지 5호 외 1필지 ,,10 ,2 ,87 ,2024-08-24
상우농장,한우,충청북도 음성군 원남면 하당리 199번지 1호  ,충청북도 음성군 원남면 하당길 4-31,7 ,1 ,96 ,2024-08-24
성우농장,한우,충청북도 음성군 원남면 하당리 492번지 1호  ,충청북도 음성군 원남면 하초로91번길 34-26,13 ,2 ,92 ,2024-08-24
진원농장,한우,충청북도 음성군 원남면 보천리 72번지  ,충청북도 음성군 원남면 양짓말길 54-11,11 ,1 ,96 ,2024-08-24
정윤농장,한우,충청북도 음성군 원남면 문암리 270번지  ,,9 ,1 ,55 ,2024-08-24
병준농장,한우,충청북도 음성군 원남면 문암리 977번지 외 1필지 ,,12 ,1 ,49 ,2024-08-24
중근농장,한우,충청북도 음성군 원남면 마송리 298번지  ,충청북도 음성군 원남면 마송일로 201-12,5 ,1 ,132 ,2024-08-24
마송흑염소농장,산양,충청북도 음성군 원남면 마송리 927번지  ,,50 ,1 ,287 ,2024-08-24
현준농장,한우,충청북도 음성군 원남면 하노리 196번지 1호  ,충청북도 음성군 원남면 상경로255번길 30,26 ,1 ,392 ,2024-08-24
윤병각농장,한우,충청북도 음성군 원남면 하노리 37번지  ,충청북도 음성군 원남면 충청대로1226번길 90,19 ,1 ,160 ,2024-08-24
청해농장,오리,충청북도 음성군 삼성면 용대리 155번지  ,,9000 ,8 ,2312 ,2024-08-24
석옥분농장,육우,충청북도 음성군 생극면 송곡리 115번지 1호  ,충청북도 음성군 생극면 송곡길38번길 212-12,8 ,1 ,68 ,2024-08-24
우영제농장,한우,충청북도 음성군 생극면 관성리 1079번지 외 1필지 ,,7 ,5 ,1473 ,2024-08-24
원창희농장,한우,충청북도 음성군 삼성면 용대리 89번지  ,충청북도 음성군 삼성면 덕호로474번길 13,4 ,1 ,82 ,2024-08-24
이학태농장,한우,충청북도 음성군 삼성면 용대리 113번지 4호  ,충청북도 음성군 삼성면 덕호로474번길 71,3 ,2 ,150 ,2024-08-24
갑정농장,한우,충청북도 음성군 삼성면 용대리 320번지  ,충청북도 음성군 삼성면 덕호로415번길 33-44,18 ,1 ,384 ,2024-08-24
윤종원농장,한우,충청북도 음성군 삼성면 덕정리 217번지  ,,30 ,2 ,256 ,2024-08-24
김상열농장,한우,충청북도 음성군 삼성면 대정리 71번지  ,충청북도 음성군 삼성면 대덕로 253-8,20 ,1 ,184 ,2024-08-24
아침농장,산양,충청북도 음성군 금왕읍 각회리 323번지  ,충청북도 음성군 금왕읍 각구실길223번길 25,10 ,1 ,20 ,2024-08-24
반부현농장,한우,충청북도 음성군 원남면 보천리 79번지  ,충청북도 음성군 원남면 양짓말길 40-5,20 ,1 ,96 ,2024-08-24
권혁숙농장,한우,충청북도 음성군 삼성면 선정리 567번지  ,충청북도 음성군 삼성면 대성로 335-12,10 ,1 ,143 ,2024-08-24
최청환농장,한우,충청북도 음성군 대소면 수태리 77번지 2호  ,충청북도 음성군 대소면 초금로71번길 56-6,9 ,1 ,120 ,2024-08-24
두성농장,산양,충청북도 음성군 맹동면 두성리 213번지  ,충청북도 음성군 맹동면 원중로 1303-5,10 ,1 ,108 ,2024-08-24
원당한우축산,,충청북도 음성군 감곡면 원당리 620번지  ,충청북도 음성군 감곡면 음성로2121번길 58,0 ,1 ,50 ,2024-08-24
천평농장,오리,충청북도 음성군 삼성면 천평리 682번지 1호  ,충청북도 음성군 삼성면 대성로205번길 19-45,20000 ,10 ,6165 ,2024-08-24
이철희농장,한우,충청북도 음성군 삼성면 대야리 17번지 6호  ,충청북도 음성군 삼성면 덕호로 339,10 ,1 ,75 ,2024-08-24
고금종농장,한우,충청북도 음성군 삼성면 선정리 898번지  ,충청북도 음성군 삼성면 대성로380번길 19-27,206 ,1 ,2064 ,2024-08-24
소이가든농장,"육계, 산양",충청북도 음성군 소이면 금고리 311번지 2호  ,충청북도 음성군 소이면 금고길56번길 48-5,300 ,2 ,450 ,2024-08-24
민수농장,한우,충청북도 음성군 감곡면 원당리 616번지  ,충청북도 음성군 감곡면 음성로2121번길 54,14 ,2 ,90 ,2024-08-24
시우농장,"한우, 육우",충청북도 음성군 생극면 신양리 60번지  ,충청북도 음성군 생극면 오신로445번길 22-5,60 ,1 ,568 ,2024-08-24
이루미농장,육계,충청북도 음성군 맹동면 마산리 425번지  ,충청북도 음성군 맹동면 대동로235번길 36-10,41800 ,2 ,1840 ,2024-08-24
성호농장,"산양, 사슴",충청북도 음성군 대소면 내산리 460번지  ,충청북도 음성군 대소면 삼양로 1100,25 ,1 ,680 ,2024-08-24
대왕농장2,한우,충청북도 음성군 맹동면 봉현리 300번지 1호  ,충청북도 음성군 맹동면 봉현로 189,108 ,1 ,1080 ,2024-08-24
모란제2농장,오리,충청북도 음성군 삼성면 청용리 516번지 1호  ,충청북도 음성군 삼성면 대청로 162-40,20000 ,11 ,6682 ,2024-08-24
모란제1농장,오리,충청북도 음성군 삼성면 청용리 483번지  ,충청북도 음성군 삼성면 대청로 162-50,11900 ,3 ,2928 ,2024-08-24
수농장,오리,충청북도 음성군 대소면 삼정리 764번지 1호  ,충청북도 음성군 대소면 오태로116번길 275-133,16000 ,5 ,3969 ,2024-08-24
모란농장,오리,충청북도 음성군 삼성면 청용리 485번지  ,충청북도 음성군 삼성면 대청로 162-50,5500 ,2 ,1700 ,2024-08-24
선진농장,한우,충청북도 음성군 소이면 비산리 20번지 6호  ,충청북도 음성군 소이면 충청대로2031번길 10-42,15 ,1 ,192 ,2024-08-24
풍산농장,한우,충청북도 음성군 감곡면 원당리 819번지 1호  ,충청북도 음성군 감곡면 음성로2089번길 58,450 ,3 ,5412 ,2024-08-24
석인농장,"한우, 산양",충청북도 음성군 음성읍 석인리 50번지 2호  ,충청북도 음성군 음성읍 한불로305번길 33,16 ,2 ,71 ,2024-08-24
영서농장,한우,충청북도 음성군 소이면 비산리 262번지 3호  ,충청북도 음성군 소이면 충청대로 1991-18,28 ,2 ,648 ,2024-08-24
예인농장,한우,충청북도 음성군 삼성면 천평리 711번지  ,,20 ,2 ,288 ,2024-08-24
조은농장,"종계/산란계, 오리",충청북도 음성군 음성읍 한벌리 산 47번지 1호  ,충청북도 음성군 음성읍 가섭길 192-38,100 ,2 ,128 ,2024-08-24
고향농장,산양,충청북도 음성군 음성읍 삼생리 1033번지 1호  ,,50 ,1 ,90 ,2024-08-24
동원농장,한우,충청북도 음성군 원남면 문암리 1160번지 24호  ,,8 ,1 ,50 ,2024-08-24
용고개농장,산양,충청북도 음성군 소이면 중동리 1251번지  ,충청북도 음성군 소이면 중동길 379,70 ,2 ,230 ,2024-08-24
삼우축산,한우,충청북도 음성군 소이면 충도리 495번지  ,충청북도 음성군 소이면 충도로 152-15,34 ,3 ,658 ,2024-08-24
엄지흑염소농장,산양,충청북도 음성군 맹동면 마산리 184번지  ,충청북도 음성군 맹동면 대동로 169-44,3 ,1 ,198 ,2024-08-24
마이산농원,산양,충청북도 음성군 삼성면 양덕리 322번지  ,,50 ,1 ,96 ,2024-08-24
삼생농장,한우,충청북도 음성군 음성읍 삼생리 144번지 1호  ,,12 ,1 ,50 ,2024-08-24
석인농장,한우,충청북도 음성군 음성읍 석인리 173번지 2호  ,충청북도 음성군 음성읍 새말길 38,11 ,1 ,77 ,2024-08-24
현중농장,한우,충청북도 음성군 삼성면 양덕리 150번지  ,충청북도 음성군 삼성면 대양로103번길 27-6,23 ,1 ,284 ,2024-08-24
규봉농장,한우,충청북도 음성군 소이면 후미리 633번지 1호  ,충청북도 음성군 소이면 후삼로62번길 3,13 ,1 ,120 ,2024-08-24
탑산골농장,산양,충청북도 음성군 소이면 후미리 산 65번지 5호  ,,70 ,1 ,120 ,2024-08-24
민철기농장,산양,충청북도 음성군 대소면 삼호리 506번지 1호  ,충청북도 음성군 대소면 쇠머리길6번길 55,2 ,1 ,10 ,2024-08-24
대풍농장,사슴,충청북도 음성군 대소면 대풍리 98번지  ,,24 ,1 ,489 ,2024-08-24
육일농장,종계/산란계,충청북도 음성군 삼성면 양덕리 421번지  ,,50 ,1 ,45 ,2024-08-24
재유농장,염소,충청북도 음성군 생극면 팔성리 674번지 1호  ,충청북도 음성군 생극면 팔성길164번길 14-10,11 ,1 ,90 ,2024-08-24
개나리농장,육계,충청북도 음성군 금왕읍 내송리 301번지  ,충청북도 음성군 금왕읍 금일로 167-45,60000 ,8 ,2893 ,2024-08-24
청송농장,한우,충청북도 음성군 생극면 관성리 378번지  ,충청북도 음성군 생극면 생삼로 354-28,162 ,1 ,1625 ,2024-08-24
상명농장,한우,충청북도 음성군 음성읍 초천리 32번지 1호  ,,7 ,1 ,93 ,2024-08-24
한영농장,한우,충청북도 음성군 소이면 중동리 515번지 2호  ,,4 ,1 ,33 ,2024-08-24
반준용 농장,한우,충청북도 음성군 원남면 보천리 690번지 1호  ,,6 ,1 ,50 ,2024-08-24
백마령농장,,충청북도 음성군 원남면 보천리 688번지 7호  ,충청북도 음성군 원남면 백마령길287번길 35-1,0 ,1 ,50 ,2024-08-24
새시대목장,"면양, 타조, 염소",충청북도 음성군 원남면 주봉리 464번지  ,충청북도 음성군 원남면 주봉로53번길 1,103 ,3 ,230 ,2024-08-24
광명농장,한우,충청북도 음성군 감곡면 왕장리 100번지 3호  ,충청북도 음성군 감곡면 대학길88번길 51,12 ,1 ,203 ,2024-08-24
개미농장,산양,충청북도 음성군 대소면 부윤리 79번지  ,충청북도 음성군 대소면 대동로 551-14,7 ,1 ,58 ,2024-08-24
염편한세상,산양,충청북도 음성군 맹동면 봉현리 353번지 4호  ,,50 ,1 ,99 ,2024-08-24
한라농장,염소,충청북도 음성군 소이면 비산리 산 13번지 1호  ,충청북도 음성군 소이면 충청대로2040번길 59-4,45 ,1 ,200 ,2024-08-24
에덴농원,육계,충청북도 음성군 금왕읍 오선리 390번지  ,충청북도 음성군 금왕읍 초금로695번길 23-54,200 ,1 ,50 ,2024-08-24
장미농장,한우,충청북도 음성군 삼성면 천평리 703번지  ,충청북도 음성군 삼성면 대성로205번길 19-73,80 ,3 ,832 ,2024-08-24
수일농장,한우,충청북도 음성군 생극면 관성리 26번지 16호  ,충청북도 음성군 생극면 일생로 488,100 ,1 ,1800 ,2024-08-24
대운목장,한우,충청북도 음성군 음성읍 석인리 13번지  ,,100 ,1 ,1200 ,2024-08-24
영바우농장,한우,충청북도 음성군 원남면 보천리 735번지  ,충청북도 음성군 원남면 백마령길 314-15,20 ,1 ,209 ,2024-08-24
요셉농장,한우,충청북도 음성군 감곡면 원당리 662번지 1호  ,충청북도 음성군 감곡면 음성로2089번길 45,58 ,1 ,2800 ,2024-08-24
하당농장,한우,충청북도 음성군 원남면 하당리 312번지  ,충청북도 음성군 원남면 충청대로1145번길 112,20 ,1 ,240 ,2024-08-24
황우농장,한우,충청북도 음성군 음성읍 석인리 259번지  ,충청북도 음성군 음성읍 한불로222번길 30-20,200 ,4 ,3591 ,2024-08-24
자유목장,한우,충청북도 음성군 대소면 태생리 241번지 28호  ,,56 ,2 ,486 ,2024-08-24
이엘농장,종계/산란계,충청북도 음성군 원남면 삼용리 688번지 5호  ,"충청북도 음성군 원남면 원중로 655, 655-1",64350 ,18 ,7138 ,2024-08-24
그린농장,한우,충청북도 음성군 소이면 금고리 278번지 1호  ,충청북도 음성군 소이면 한불로 484-6,90 ,2 ,768 ,2024-08-24
삼원농장 1,오리,충청북도 음성군 맹동면 마산리 464번지 외 1필지 ,,8800 ,3 ,2195 ,2024-08-24
삼원농장,오리,충청북도 음성군 맹동면 마산리 463번지 1호  ,"충청북도 음성군 맹동면 덕금로235번길 57-10, 외 4필지",18500 ,7 ,4600 ,2024-08-24
금빛농장,한우,충청북도 음성군 금왕읍 정생리 827번지  ,충청북도 음성군 금왕읍 음성로1357번길 45,50 ,1 ,980 ,2024-08-24
우리농장,산양,충청북도 음성군 음성읍 용산리 1724번지  ,,17 ,1 ,72 ,2024-08-24
