사업장명칭,등록축종,사업장소재지(지번),사업장소재지(도로명),사육두수,동수,면적,데이터기준일자
부윤농장,오리,충청북도 음성군 대소면 부윤리 산 73번지  ,충청북도 음성군 대소면 대동로537번길 80,9500 ,8 ,2340 ,2024-08-24
도륜목장,젖소,충청북도 음성군 대소면 성본리 200번지 2호 외 1필지(201번지) ,충청북도 음성군 대소면 대동로530번길 69,87 ,1 ,1154 ,2024-08-24
양지농장,한우,충청북도 음성군 삼성면 양덕리 715번지  ,,19 ,3 ,288 ,2024-08-24
양곡목장,한우,충청북도 음성군 삼성면 양덕리 693번지  ,,30 ,5 ,609 ,2024-08-24
무화목장,한우,충청북도 음성군 삼성면 덕정리 230번지 6호  ,충청북도 음성군 삼성면 덕호로36번길 68,50 ,5 ,892 ,2024-08-24
긴골목장,젖소,충청북도 음성군 삼성면 상곡리 170번지 1호 외 1필지 ,충청북도 음성군 삼성면 청용로 245,62 ,5 ,817 ,2024-08-24
서가팜,종계/산란계,"충청북도 음성군 삼성면 대정리 552,553,554,554-1,555 ",충청북도 음성군 삼성면 대정길 107,35000 ,2 ,3976 ,2024-08-24
송림농장,종계/산란계,충청북도 음성군 생극면 송곡리 191번지  ,충청북도 음성군 생극면 송곡길38번길 71-29,60000 ,2 ,3370 ,2024-08-24
지비천농장,한우,충청북도 음성군 생극면 팔성리 616번지 6호  ,충청북도 음성군 생극면 팔성길 165-4,60 ,3 ,537 ,2024-08-24
벧엘농원,산양,"충청북도 음성군 생극면 관성리 454번지 1호 , 2 ",충청북도 음성군 생극면 일생로 421-18,20 ,1 ,128 ,2024-08-24
유림음성,돼지,충청북도 음성군 생극면 송곡리 386번지 1호 외 1필지(산 32) ,충청북도 음성군 생극면 임곡길 168-12,1500 ,4 ,1560 ,2024-08-24
동만목장,한우,충청북도 음성군 삼성면 덕정리 742번지 6호  ,충청북도 음성군 삼성면 금일로 845,158 ,2 ,2337 ,2024-08-24
삼원목장,젖소,충청북도 음성군 감곡면 영산리 273번지 1호 2필지 ,충청북도 음성군 감곡면 영산로184번길 29-37,60 ,5 ,1396 ,2024-08-24
범영목장,한우,충청북도 음성군 감곡면 상우리 167번지 2호  ,충청북도 음성군 감곡면 상우길119번길 77-31,130 ,3 ,1362 ,2024-08-24
해영농장,젖소,충청북도 음성군 감곡면 영산리 162번지 3호  ,충청북도 음성군 감곡면 영산안길53번길 21-3,40 ,2 ,925 ,2024-08-24
남양목장,젖소,충청북도 음성군 감곡면 영산리 316번지 2호  ,충청북도 음성군 감곡면 영산로184번길 31,50 ,2 ,552 ,2024-08-24
대한목장,젖소,충청북도 음성군 감곡면 영산리 45번지  ,충청북도 음성군 감곡면 영산안길 136-17,58 ,4 ,1762 ,2024-08-24
푸른목장,육우,충청북도 음성군 감곡면 월정리 산 53번지 1호  ,충청북도 음성군 감곡면 감노로595번길 48-29,70 ,3 ,1332 ,2024-08-24
국현농장,오리,충청북도 음성군 맹동면 봉현리 476번지  ,,18000 ,8 ,4170 ,2024-08-24
농업회사법인 주식회사 주암,돼지,충청북도 음성군 대소면 태생리 33번지 3호  ,충청북도 음성군 대소면 대금로511번길 96-25,8000 ,5 ,9437 ,2024-08-24
대진양계장,육계,충청북도 음성군 원남면 문암리 502번지  ,충청북도 음성군 원남면 금법길 88-30,45000 ,8 ,2688 ,2024-08-24
형제농장B,육우,충청북도 음성군 대소면 삼정리 280번지 4호  ,충청북도 음성군 대소면 대동로 683-11,16 ,2 ,598 ,2024-08-24
재민목장,젖소,충청북도 음성군 대소면 성본리 147번지 2호  ,,37 ,1 ,682 ,2024-08-24
형제농장A,젖소,충청북도 음성군 대소면 삼정리 280번지 5호  ,충청북도 음성군 대소면 대동로 683-9,44 ,3 ,791 ,2024-08-24
가동농장,한우,충청북도 음성군 삼성면 덕정리 873번지  ,충청북도 음성군 삼성면 대성로546번길 14-27,28 ,1 ,700 ,2024-08-24
영화목장,한우,충청북도 음성군 삼성면 선정리 175번지 1호 외 2필지 ,,83 ,3 ,1005 ,2024-08-24
희망목장,젖소,충청북도 음성군 생극면 송곡리 138번지  ,충청북도 음성군 생극면 송곡길38번길 234,105 ,3 ,1404 ,2024-08-24
농업회사법인(주)동일농장 생극지점,종계/산란계,충청북도 음성군 생극면 팔성리 520번지 1호  ,충청북도 음성군 생극면 토끼실길 73-57,21000 ,3 ,2347 ,2024-08-24
