순번,사업장명칭,주사육업종,등록축종,사육두수,사업장소재지(도로명),데이터기준일자
129,무,한우,한우,20,경상남도 함양군 수동면 구라동구길 76,2025-09-08
130,무,한우,한우,23,경상남도 함양군 지곡면 백일창촌길 84-1,2025-09-08
131,무,한우,한우,47,경상남도 함양군 수동면 치라골길 84,2025-09-08
132,무,한우,한우,10,경상남도 함양군 수동면 상백리 222번지  ,2025-09-08
133,무,한우,한우,8,경상남도 함양군 백전면 오천로 250-10,2025-09-08
134,무,한우,한우,37,경상남도 함양군 백전면 들말길 36,2025-09-08
135,무,한우,한우,18,경상남도 함양군 백전면 들말길 24-46,2025-09-08
136,무,한우,한우,2,경상남도 함양군 백전면 함양남서로 2827,2025-09-08
137,무,한우,한우,10,경상남도 함양군 백전면 중기길 198,2025-09-08
138,무,한우,한우,19,경상남도 함양군 백전면 함양남서로 2885-28,2025-09-08
139,무,한우,한우,8,경상남도 함양군 병곡면 광평리 110번지  ,2025-09-08
140,무,한우,한우,44,경상남도 함양군 함양읍 쟁피길 72-13,2025-09-08
141,무,한우,한우,9,경상남도 함양군 함양읍 함양로 746-1,2025-09-08
142,무,한우,한우,30,경상남도 함양군 지곡면 수여길 9-9,2025-09-08
143,무,한우,한우,25,경상남도 함양군 함양읍 구만길 68-1,2025-09-08
144,무,한우,한우,12,경상남도 함양군 함양읍 구룡리 428번지  ,2025-09-08
145,무,한우,한우,12,경상남도 함양군 함양읍 거면들길 124,2025-09-08
146,무,한우,한우,19,경상남도 함양군 함양읍 조동원구길 59,2025-09-08
147,무,한우,한우,9,경상남도 함양군 함양읍 원구길 58,2025-09-08
148,무,한우,한우,78,경상남도 함양군 지곡면 남효중방로 84,2025-09-08
149,무,한우,한우,30,경상남도 함양군 수동면 죽산리 581번지  ,2025-09-08
150,무,한우,한우,15,경상남도 함양군 함양읍 교산리 산 13번지 1호  ,2025-09-08
151,무,한우,한우,23,경상남도 함양군 서상면 금당리 770번지  ,2025-09-08
152,무,한우,한우,100,경상남도 함양군 서상면 논개길 67-1,2025-09-08
153,무,한우,한우,11,경상남도 함양군 함양읍 함양로 800,2025-09-08
154,무,한우,한우,11,경상남도 함양군 서상면 상남리 754번지 3호  ,2025-09-08
155,무,한우,한우,17,경상남도 함양군 함양읍 함양로 950,2025-09-08
156,무,한우,한우,16,경상남도 함양군 함양읍 삼휴1길 93,2025-09-08
157,무,한우,한우,23,경상남도 함양군 안의면 황마로 588,2025-09-08
158,무,한우,한우,16,경상남도 함양군 안의면 황마로 309,2025-09-08
159,무,한우,한우,28,경상남도 함양군 함양읍 백천리 1504번지 1호  ,2025-09-08
160,무,한우,한우,36,경상남도 함양군 휴천면 목현리 171번지  ,2025-09-08
161,무,한우,한우,20,경상남도 함양군 안의면 장자동길 40-212,2025-09-08
162,무,한우,한우,18,경상남도 함양군 유림면 회동길 21-1,2025-09-08
163,함양산청축협 한우특화사업장(제2농장),한우,한우,700,경상남도 함양군 수동면 하교내백로 398-2,2025-09-08
164,무,한우,한우,130,경상남도 함양군 유림면 유림재궁길 83-1,2025-09-08
165,무,한우,한우,40,경상남도 함양군 함양읍 삼휴길 29-5,2025-09-08
166,무,한우,한우,100,경상남도 함양군 지곡면 함양로 1542-1,2025-09-08
167,무,한우,한우,2,경상남도 함양군 함양읍 곰실2길 18-63,2025-09-08
168,무,한우,한우,15,경상남도 함양군 유림면 유림북로 362-2,2025-09-08
169,무,한우,한우,8,경상남도 함양군 유림면 유림북로 380,2025-09-08
170,무,한우,한우,45,경상남도 함양군 함양읍 중촌길 91,2025-09-08
171,무,한우,한우,4,경상남도 함양군 수동면 수남로 31,2025-09-08
172,무,한우,한우,23,경상남도 함양군 수동면 하교내백로 211,2025-09-08
173,무,한우,한우,11,경상남도 함양군 수동면 우명하교로 158,2025-09-08
174,뜰안길농장,한우,한우,6,경상남도 함양군 지곡면 남효중방로 86-1,2025-09-08
175,영일농장,한우,한우,10,경상남도 함양군 서하면 서하송계로 142,2025-09-08
176,무,한우,한우,6,경상남도 함양군 서하면 서하송계로 172,2025-09-08
177,무,한우,한우,14,경상남도 함양군 서하면 황산리 1150번지  ,2025-09-08
178,무,한우,한우,29,경상남도 함양군 백전면 양천길 75,2025-09-08
179,무,한우,한우,15,"경상남도 함양군 백전면 구산대안로 110, 동식물관련시설",2025-09-08
180,무,한우,한우,250,경상남도 함양군 휴천면 휴천로 255,2025-09-08
181,우럭산농장,육계,육계,50000,경상남도 함양군 서상면 도천리 359번지 2호  ,2025-09-08
182,무,한우,한우,15,경상남도 함양군 서하면 봉전리 144번지  ,2025-09-08
183,무,한우,한우,20,경상남도 함양군 유림면 장항길 146,2025-09-08
184,무,한우,한우,10,경상남도 함양군 안의면 초동리 49번지  ,2025-09-08
185,무,한우,한우,10,경상남도 함양군 안의면 거안로 91-2,2025-09-08
186,무,한우,한우,25,경상남도 함양군 안의면 성동로 189,2025-09-08
187,무,한우,한우,15,경상남도 함양군 안의면 이문새터길 8-35,2025-09-08
188,무,한우,한우,14,경상남도 함양군 백전면 운산리 971번지  ,2025-09-08
189,무,오리,오리,800,경상남도 함양군 수동면 하교내백로 305-1,2025-09-08
190,무,한우,한우,22,경상남도 함양군 휴천면 휴천로 425,2025-09-08
191,주식회사 중앙축산농업회사법인 나주지점,한우,한우,0,경상남도 함양군 함양읍 거면들길 85,2025-09-08
192,부자농장,한우,한우,173,경상남도 함양군 지곡면 신영길 57-1,2025-09-08
193,무,한우,한우,20,경상남도 함양군 병곡면 병곡지곡로 422,2025-09-08
194,무,오리,오리,5000,경상남도 함양군 안의면 황마로 639,2025-09-08
195,아늠달걀,종계+산란계,종계+산란계,5350,경상남도 함양군 안의면 수안길 294,2025-09-08
196,무,한우,한우,32,경상남도 함양군 지곡면 보산로 246-3,2025-09-08
197,무,한우,한우,17,경상남도 함양군 유림면 천왕봉로 2773,2025-09-08
198,무,한우,한우,25,경상남도 함양군 수동면 상백리 414번지 4호  ,2025-09-08
199,무,한우,한우,60,경상남도 함양군 안의면 말터길 136,2025-09-08
200,무,한우,한우,23,경상남도 함양군 유림면 유림북로 47,2025-09-08
201,무,한우,한우,25,경상남도 함양군 서상면 육십령로 1399,2025-09-08
202,무,한우,한우,38,경상남도 함양군 유림면 천왕봉로 3125-3,2025-09-08
203,무,한우,한우,17,경상남도 함양군 백전면 백운로 52-2,2025-09-08
204,무,한우,한우,27,경상남도 함양군 함양읍 중촌길 97,2025-09-08
205,말터농장,오리,오리,7000,경상남도 함양군 안의면 초동리 561번지 1호 및 562-1번지 ,2025-09-08
206,무,한우,한우,5,경상남도 함양군 안의면 석반길 57-1,2025-09-08
207,무,한우,한우,12,경상남도 함양군 지곡면 효산길 23-83,2025-09-08
208,아주농장,종계+산란계,종계+산란계,55000,경상남도 함양군 안의면 신당길 135,2025-09-08
209,무,한우,한우,15,경상남도 함양군 함양읍 뇌계길 47,2025-09-08
210,무,한우,한우,32,경상남도 함양군 지곡면 보산로 267,2025-09-08
211,약초골 농원,종계+산란계,종계+산란계,1000,경상남도 함양군 함양읍 삼봉로 216-265,2025-09-08
212,무,한우,한우,13,경상남도 함양군 함양읍 기동길 37-2,2025-09-08
213,무,한우,한우,12,경상남도 함양군 수동면 고실길 77,2025-09-08
214,청미래 농장,종계+산란계,종계+산란계,1000,경상남도 함양군 백전면 구산대안로 164-22,2025-09-08
215,무,한우,한우,27,경상남도 함양군 안의면 황마로 873,2025-09-08
216,무,한우,한우,0,경상남도 함양군 지곡면 남효중방로 262,2025-09-08
217,무,한우,한우,23,경상남도 함양군 휴천면 마상길 76-1,2025-09-08
218,무,한우,한우,21,경상남도 함양군 수동면 하교윗길 15-3,2025-09-08
219,부자농장,돼지,돼지,350,경상남도 함양군 안의면 신당길 170,2025-09-08
220,대웅축산,돼지,돼지,4200,경상남도 함양군 수동면 하교내백로 539,2025-09-08
221,영하한우농장,한우,한우,84,"경상남도 함양군 마천면 원정길 100, 102",2025-09-08
222,무,한우,한우,40,경상남도 함양군 마천면 의중길 43-23,2025-09-08
223,무,한우,한우,15,경상남도 함양군 유림면 유림북로 382-37,2025-09-08
224,무,한우,한우,18,경상남도 함양군 수동면 화산리 909번지 1호  ,2025-09-08
225,무,한우,한우,35,경상남도 함양군 안의면 장자동길 40-228,2025-09-08
226,무,한우,한우,77,경상남도 함양군 지곡면 효산길 23-84,2025-09-08
227,무,한우,한우,30,경상남도 함양군 유림면 유림북로 566,2025-09-08
228,무,한우,한우,27,경상남도 함양군 수동면 상백리 40번지  ,2025-09-08
229,도훈축산,한우,한우,25,경상남도 함양군 함양읍 거면들길 21-17,2025-09-08
230,무,한우,한우,20,"경상남도 함양군 백전면 구산대안로 110, 동식물관련시설",2025-09-08
231,무,한우,한우,10,경상남도 함양군 안의면 황마로 221,2025-09-08
232,무,한우,한우,27,경상남도 함양군 안의면 황마로 554-43,2025-09-08
233,무,한우,한우,145,경상남도 함양군 지곡면 거평길 50,2025-09-08
234,무,한우,한우,25,경상남도 함양군 휴천면 마상길 21,2025-09-08
235,무,한우,한우,40,경상남도 함양군 백전면 운산1길 66-33,2025-09-08
236,수목장,젖소,젖소,39,경상남도 함양군 유림면 회동길 21,2025-09-08
237,무,한우,한우,50,경상남도 함양군 지곡면 봉곡길 41-25,2025-09-08
238,무,한우,한우,90,경상남도 함양군 백전면 오천로 226,2025-09-08
239,무,한우,한우,13,경상남도 함양군 병곡면 하대평길 24,2025-09-08
240,무,한우,한우,24,경상남도 함양군 함양읍 거면들길 106-105,2025-09-08
241,무,한우,한우,21,경상남도 함양군 함양읍 웅곡리 574번지  ,2025-09-08
242,무,한우,한우,37,경상남도 함양군 함양읍 거면강변길 100,2025-09-08
243,무,한우,한우,37,경상남도 함양군 함양읍 백천리 1222번지  ,2025-09-08
244,무,한우,한우,30,경상남도 함양군 휴천면 목현옥매로 150-2,2025-09-08
