순번,시군구명,업체명,소재지,신고일자,영업상태,주사육업종,등록허가여부,시설면적(제곱미터),데이터기준일자
60,진안군,사옥농장,전북특별자치도 진안군 진안읍 가림리 74번지 (80-2) ,2005-10-20,정상,한우,허가,1423.9,2026-01-07
61,진안군,하늘아래첫농장,전북특별자치도 진안군 부귀면 황금리 265번지 3호  ,2005-10-20,정상,육계,허가,2211,2026-01-07
62,진안군,전교농장,전북특별자치도 진안군 백운면 동창리 4번지  ,2005-10-20,정상,한우,허가,292.5,2026-01-07
63,진안군,대지농장,전북특별자치도 진안군 정천면 봉학리 799번지 4호  ,2005-10-20,정상,육계,허가,5320,2026-01-07
64,진안군,대곡농장,전북특별자치도 진안군 부귀면 수항리 507번지  ,2005-10-31,정상,한우,허가,1086,2026-01-07
65,진안군,우리손 진안농장,전북특별자치도 진안군 성수면 구신리 198번지  ,2005-11-04,정상,돼지,허가,19154.8,2026-01-07
66,진안군,유일농장,전북특별자치도 진안군 성수면 좌포리 984번지  ,2005-11-04,정상,돼지,허가,3728,2026-01-07
67,진안군,정원목장,전북특별자치도 진안군 진안읍 물곡리 672번지 외 3필지 ,2005-11-04,정상,젖소,허가,1724.72,2026-01-07
68,진안군,백운양계,전북특별자치도 진안군 백운면 평장리 429번지  ,2005-11-04,정상,산란육성계,허가,1573,2026-01-07
69,진안군,돌담목장,전북특별자치도 진안군 진안읍 물곡리 849번지  ,2005-11-04,정상,젖소,허가,1112.5,2026-01-07
70,진안군,번영목장,전북특별자치도 진안군 진안읍 물곡리 546번지  ,2005-11-04,정상,젖소,허가,2560.24,2026-01-07
71,진안군,고리봉농장,전북특별자치도 진안군 진안읍 반월리 627번지  ,2005-11-10,정상,한우,허가,1131.89,2026-01-07
72,진안군,영주목장,전북특별자치도 진안군 진안읍 물곡리 618번지 1호 670 ,2005-11-16,정상,젖소,허가,1731.48,2026-01-07
73,진안군,백운농장,전북특별자치도 진안군 백운면 동창리 1214번지  ,2005-11-16,정상,오리,등록,1983,2026-01-07
74,진안군,영농장,전북특별자치도 진안군 진안읍 군하리 38번지 1호  ,2005-12-05,정상,한우,등록,494.6,2026-01-07
75,진안군,마이산 농장,전북특별자치도 진안군 진안읍 연장리 82번지  ,2005-12-05,정상,한우,등록,472,2026-01-07
76,진안군,문정농장,"전북특별자치도 진안군 백운면 신암리 765번지 7호 795, 797-1 ",2005-12-05,정상,한우,등록,248.24,2026-01-07
77,진안군,쇠실농장,전북특별자치도 진안군 동향면 능금리 1036번지  ,2005-12-05,정상,한우,등록,435.5,2026-01-07
78,진안군,물곡농장,전북특별자치도 진안군 진안읍 물곡리 947번지 1호  ,2005-12-08,정상,한우,등록,791.2,2026-01-07
79,진안군,경민농장,전북특별자치도 진안군 진안읍 물곡리 817번지  ,2005-12-08,정상,한우,등록,198,2026-01-07
80,진안군,영주농장,전북특별자치도 진안군 백운면 남계리 237번지 4호  ,2005-12-08,정상,한우,허가,1422,2026-01-07
81,진안군,은천농장1,전북특별자치도 진안군 진안읍 가림리 1478번지 2 ,2005-12-21,정상,한우,허가,1229.51,2026-01-07
82,진안군,세진농장,전북특별자치도 진안군 진안읍 가림리 1208번지 1256-1 ,2005-12-21,정상,한우,허가,1001.55,2026-01-07
83,진안군,초원농장,전북특별자치도 진안군 백운면 평장리 150번지 2호  ,2005-12-21,정상,산양,등록,926,2026-01-07
84,진안군,주섭농장,전북특별자치도 진안군 성수면 도통리 205번지 1호  ,2005-12-26,정상,한우,등록,520,2026-01-07
85,진안군,호준농장,전북특별자치도 진안군 진안읍 정곡리 360번지  ,2006-02-24,정상,한우,등록,563.86,2026-01-07
86,진안군,대성농장,전북특별자치도 진안군 상전면 주평리 347번지 2호  ,2006-02-24,정상,한우,등록,659,2026-01-07
87,진안군,사랑목장,전북특별자치도 진안군 성수면 용포리 222번지  ,2007-01-03,정상,한우,등록,496.7,2026-01-07
88,진안군,무진장축협 진안양돈사업소(제2농장),전북특별자치도 진안군 마령면 계서리 555번지 2호  ,2007-01-03,정상,돼지,허가,3006.35,2026-01-07
89,진안군,산하농장,전북특별자치도 진안군 진안읍 단양리 537번지 1호  ,2007-01-03,정상,한우,등록,449.32,2026-01-07
90,진안군,백화농장,전북특별자치도 진안군 안천면 백화리 59번지 1호  ,2007-01-18,정상,한우,등록,660,2026-01-07
91,진안군,마령민송농장,전북특별자치도 진안군 마령면 강정리 397번지 13호  ,2007-03-22,정상,한우,허가,811.95,2026-01-07
92,진안군,푸른농장,"전북특별자치도 진안군 마령면 덕천리 445번지 17호 445-21,445-9 ",2007-03-23,정상,돼지,허가,5006.4,2026-01-07
93,진안군,명주농장,전북특별자치도 진안군 안천면 신괴리 259번지 7호  ,2007-03-23,정상,한우,등록,511.5,2026-01-07
94,진안군,마령한우농장,전북특별자치도 진안군 마령면 강정리 1652번지 7호  ,2007-03-27,정상,한우,허가,1526,2026-01-07
95,진안군,파란농장,전북특별자치도 진안군 마령면 덕천리 1857번지  ,2007-03-27,정상,한우,허가,655,2026-01-07
96,진안군,능금농장2,전북특별자치도 진안군 동향면 능금리 2028번지 1호  ,2007-04-11,정상,한우,허가,362.1,2026-01-07
97,진안군,운장농장,전북특별자치도 진안군 주천면 대불리 1970번지  ,2007-05-21,정상,한우,허가,672,2026-01-07
98,진안군,이레축산,전북특별자치도 진안군 부귀면 궁항리 70번지 5호  ,2007-05-21,정상,한우,허가,502.2,2026-01-07
99,진안군,마령생명영농조합법인,"전북특별자치도 진안군 마령면 덕천리 1528번지 2호 1528-3, 1527 ",2007-07-05,정상,육계,허가,4455,2026-01-07
100,진안군,정호농장,전북특별자치도 진안군 안천면 노성리 1292번지 1호  ,2007-09-17,정상,한우,허가,990,2026-01-07
101,진안군,지사목장,"전북특별자치도 진안군 안천면 신괴리 175번지 외 2필지(1134-1,1134-2) ",2007-09-17,정상,한우,허가,512,2026-01-07
102,진안군,삼주농장,전북특별자치도 진안군 동향면 신송리 1588번지  ,2007-09-17,정상,한우,등록,165,2026-01-07
103,진안군,정현농장,전북특별자치도 진안군 동향면 능금리 2048번지  ,2007-09-17,정상,한우,등록,182.4,2026-01-07
104,진안군,원단양농장,전북특별자치도 진안군 진안읍 반월리 1358번지  ,2007-09-28,정상,한우,허가,900,2026-01-07
105,진안군,강정한우마을,전북특별자치도 진안군 마령면 강정리 49번지  ,2007-09-28,정상,한우,등록,144,2026-01-07
106,진안군,강정한우마을,전북특별자치도 진안군 마령면 강정리 1667번지 5호  ,2007-09-28,정상,한우,허가,560,2026-01-07
107,진안군,평지농장,전북특별자치도 진안군 마령면 평지리 386번지 1호  ,2007-10-02,정상,한우,허가,346,2026-01-07
108,진안군,별림농장,전북특별자치도 진안군 마령면 계서리 288번지 2호  ,2007-10-02,정상,한우,등록,198,2026-01-07
109,진안군,대농장,전북특별자치도 진안군 진안읍 단양리 541번지  ,2007-10-23,정상,한우,허가,636,2026-01-07
110,진안군,준기농장,전북특별자치도 진안군 진안읍 반월리 1727번지  ,2007-11-30,정상,한우,등록,332.52,2026-01-07
111,진안군,해룡농장,"전북특별자치도 진안군 백운면 덕현리 490번지, 483-2, 491-1, 491-2, 493-7 ",2007-12-11,정상,오리,등록,2822.27,2026-01-07
112,진안군,선인농장,전북특별자치도 진안군 진안읍 가림리 1890번지 3호  ,2008-01-07,정상,한우,허가,384,2026-01-07
113,진안군,옥산농장,전북특별자치도 진안군 진안읍 가림리 149번지 4호  ,2008-01-07,정상,한우,허가,322.4,2026-01-07
114,진안군,푸르름의 농원,전북특별자치도 진안군 백운면 남계리 11번지 3호  ,2008-01-16,정상,한우,등록,1188,2026-01-07
115,진안군,해맞이농장,전북특별자치도 진안군 백운면 덕현리 323번지  ,2008-01-16,정상,한우,허가,780.67,2026-01-07
116,진안군,태형농장,전북특별자치도 진안군 백운면 남계리 396번지  ,2008-01-22,정상,한우,등록,331.2,2026-01-07
117,진안군,전씨농장,전북특별자치도 진안군 동향면 자산리 146번지 1호  ,2008-01-22,정상,한우,등록,289.84,2026-01-07
118,진안군,하늘농장,전북특별자치도 진안군 부귀면 신정리 936번지  ,2008-02-11,정상,육계,허가,3580.5,2026-01-07
119,진안군,명성농장,전북특별자치도 진안군 동향면 자산리 219번지  ,2008-02-21,정상,한우,등록,333.69,2026-01-07
120,진안군,재경농장,전북특별자치도 진안군 마령면 계서리 1076번지 2호  ,2008-03-17,정상,한우,허가,168,2026-01-07
121,진안군,가림농장,전북특별자치도 진안군 진안읍 가림리 764번지  ,2008-03-25,정상,한우,등록,337.5,2026-01-07
122,진안군,도겸농장,"전북특별자치도 진안군 진안읍 물곡리 320, 116-40 ",2008-03-26,정상,한우,허가,1300,2026-01-07
123,진안군,남악농장,전북특별자치도 진안군 마령면 평지리 242번지 6호  ,2008-03-31,정상,한우,등록,347.1,2026-01-07
124,진안군,대영농장,전북특별자치도 진안군 마령면 덕천리 537번지 3호  ,2008-03-31,정상,한우,등록,340.8,2026-01-07
125,진안군,원평지한우농장,전북특별자치도 진안군 마령면 평지리 1244번지 1호  ,2008-03-31,정상,한우,등록,163.2,2026-01-07
126,진안군,동향농장,전북특별자치도 진안군 동향면 능금리 832번지  ,2008-03-31,정상,한우,등록,557.05,2026-01-07
127,진안군,호준농장,"전북특별자치도 진안군 백운면 동창리 7,8번지  ",2008-04-04,정상,한우,허가,375.36,2026-01-07
128,진안군,당산농장,"전북특별자치도 진안군 진안읍 가림리 1890번지 4호 ,180 ",2008-04-04,정상,한우,허가,820,2026-01-07
