사업장명칭,주사육업종,사업장소재지(지번), 사육두수 
장복농장,종계/산란계,"충청남도 예산군 대술면 장복리 176번지 2호 외 10필지(1761,4,5,177,178,59924,1671,5,6,1752) ",55000
꿀꿀농장,돼지,"충청남도 예산군 대술면 산정리 444번지 2호 외 6필지(4448, 4462, 4, 4481, 2, 50110) ",900
화산농장,돼지,"충청남도 예산군 대술면 화산리 522번지 2호 외1필지(5223, 523) ",500
부수골목장,한우,"충청남도 예산군 대술면 화천리 289번지 외2필지(2891,93113) ",200
성수목장,한우,충청남도 예산군 대술면 궐곡리  ,65
정운농장,한우,"충청남도 예산군 광시면 서초정리 573번지 1호 2필지(서초정리5566, 5562) ",41
용현농장,한우,"충청남도 예산군 광시면 서초정리 622번지 1호 외5필지(623,626,6261,6262,11076) ",80
푸른농장,한우,충청남도 예산군 광시면 신흥리 220번지 외 1필지(223) ,50
가나안농장,한우,"충청남도 예산군 광시면 서초정리 688번지 2호 외6필지(11101, 667, 6871, 3, 12241, 12541) ",150
백삼농장,돼지,충청남도 예산군 광시면 마사리 43번지 5호  ,1000
안양목장,한우,충청남도 예산군 광시면 구례리 182번지 2호 외1필지 ,97
교촌목장,한우,"충청남도 예산군 광시면 마사리 16번지 2호 외6필지(165,6,7,12,17,173) ",100
모가울농장,한우,충청남도 예산군 덕산면 복당리 473번지  ,10
영선농장,한우,충청남도 예산군 덕산면 읍내리 251번지 24호 외1필지(251198) ,13
장터목장,한우,충청남도 예산군 덕산면 북문리 246번지 3호  ,130
청송농장,한우,충청남도 예산군 오가면 오촌리 426번지 64호 외 2필지 ,50
재성목장,젖소,충청남도 예산군 광시면 은사리 332번지 1호  ,110
기화농장,돼지,"충청남도 예산군 고덕면 상궁리 551번지 26호 외 4필지(55115,6371,3,4) ",550
별리목장,육우,"충청남도 예산군 신암면 별리 495번지 1호 외4필지(4091, 4765, 4766, 4941) ",122
현설농장,한우,"충청남도 예산군 오가면 내량리 25번지 25호 외4필지(2526, 2520, 25167, 25168) ",43
별과 소나무,한우,충청남도 예산군 덕산면 읍내리 4번지 46호  ,32
슬기목장,육계,충청남도 예산군 고덕면 호음리  ,48000
씨알목장,한우,충청남도 예산군 덕산면 복당리 305번지  ,80
기엽농장,돼지,"충청남도 예산군 덕산면 복당리 433번지 1호 외 4필지(5772, 5782, 4333) ",2000
순기목장,육우,충청남도 예산군 고덕면 사리 518번지 18호  ,69
대풍농장,육계,"충청남도 예산군 고덕면 상몽리 60번지 30호 외2필지(6027,6028) ",60000
웅지농장,돼지,"충청남도 예산군 고덕면 용리 1003번지 외 7필지(1002,10031,10393,103926,103927,103925,103910) ",1800
이오목장,젖소,"충청남도 예산군 고덕면 상몽리 505번지 1호 외3필지(3,4,산752) ",190
현진농장,육계,충청남도 예산군 예산읍 창소리 20번지  ,2500
조림목장,한우,충청남도 예산군 예산읍 간양리  ,90
호은2농장,돼지,충청남도 예산군 오가면 신원리 557번지 91호 외1필지(발연리 53374) ,350
창규농장,한우,충청남도 예산군 삽교읍 하포리 118번지 1호 외 1필지(1211) ,34
태정목장,한우,충청남도 예산군 삽교읍 하포리 151번지  ,40
종영농장,한우,"충청남도 예산군 삽교읍 하포리 242번지 외 2필지(1221, 123) ",41
성일농장,한우,"충청남도 예산군 오가면 분천리 229번지 11호 외 3필지(2391, 2397, 2398) ",145
송림농장,돼지,"충청남도 예산군 신암면 오산리 443번지 1호 외 5필지(4282, 4432, 4433, 4441, 44436) ",14000
초원농장,돼지,충청남도 예산군 대술면 장복리 327번지  ,1300
클로바농장,돼지,"충청남도 예산군 신양면 귀곡리 785번지 외3필지(8073,4,5) ",1538
종원농장,한우,충청남도 예산군 광시면 가덕리 213번지 2호 외 1필지(2133) ,31
우경목장,한우,충청남도 예산군 덕산면 사천리 258번지 6호 외1필지 3546 ,59
수덕목장,한우,"충청남도 예산군 덕산면 외라리 285번지 외 2필지(2851, 2) ",  
오화목장,한우,"충청남도 예산군 광시면 시목리 592번지 6호 외 3필지(594, 8672, 805) ",190
오뚜기농장,돼지,충청남도 예산군 대흥면 갈신리 357번지 외 1필지 ,800
대호농장,한우,충청남도 예산군 대흥면 갈신리 476번지 6호 외 1필지(4762) ,44
