사업장명칭,주사육업종,사업장소재지(지번)
재용축사,한우,경상남도 하동군 고전면
종영농장,한우,경상남도 하동군 고전면
두루미농장,한우,경상남도 하동군 고전면
창용축사,한우,경상남도 하동군 횡천면
영욱축사,한우,경상남도 하동군 악양면
성찬축사,한우,경상남도 하동군 고전면
형기농장,한우,경상남도 하동군 횡천면
심덕권,한우,경상남도 하동군 횡천면
용주축사,한우,경상남도 하동군 횡천면
점석축사,한우,경상남도 하동군 고전면
장호농장,한우,경상남도 하동군 진교면
용수농장,한우,경상남도 하동군 진교면
봉석축사,한우,경상남도 하동군 진교면
양지농장,한우,경상남도 하동군 청암면
청산농장,한우,경상남도 하동군 청암면
청명농장,한우,경상남도 하동군 청암면
선학농장,한우,경상남도 하동군 청암면
기탁축사,한우,경상남도 하동군 적량면
남균축사,한우,경상남도 하동군 횡천면
영호축사,한우,경상남도 하동군 악양면
득수축사,한우,경상남도 하동군 고전면
송원축사,한우,경상남도 하동군 진교면
상만축사,한우,경상남도 하동군 진교면
원기농장,한우,경상남도 하동군 진교면
삼동축사,한우,경상남도 하동군 진교면
국일농장,한우,경상남도 하동군 양보면
일성농원,한우,경상남도 하동군 진교면
광용축사,한우,경상남도 하동군 악양면
순채축사,한우,경상남도 하동군 고전면
애광농장,한우,경상남도 하동군 횡천면
동해농장,한우,경상남도 하동군 횡천면
점기농장,한우,경상남도 하동군 횡천면
재홍축사,한우,경상남도 하동군 금남면
영식축사,한우,경상남도 하동군 진교면
찬용축사,한우,경상남도 하동군 진교면
근호축사,한우,경상남도 하동군 진교면
월운농장,한우,경상남도 하동군 진교면
봉승축사,한우,경상남도 하동군 진교면
전방축사,한우,경상남도 하동군 진교면
종구축사,한우,경상남도 하동군 진교면
유평농장Ⅱ,한우,경상남도 하동군 횡천면
근영농장,한우,경상남도 하동군 악양면
대지축산,한우,경상남도 하동군 진교면
조00위탁사육장,한우,경상남도 하동군 고전면
태영축사,한우,경상남도 하동군 양보면
경배축사,한우,경상남도 하동군 양보면
중교축사,한우,경상남도 하동군 옥종면
백천농장,한우,경상남도 하동군 옥종면
종두축사,한우,경상남도 하동군 악양면
우성농장,한우,경상남도 하동군 고전면
희호축사,한우,경상남도 하동군 진교면
남양축사,한우,경상남도 하동군 진교면
이레농장,한우,경상남도 하동군 청암면
숲속농장,한우,경상남도 하동군 청암면
채란농장,한우,경상남도 하동군 청암면
선환목장,한우,경상남도 하동군 금남면
가족농장,한우,경상남도 하동군 금성면
순남축사,한우,경상남도 하동군 진교면
봉천농장,한우,경상남도 하동군 진교면
청학농장,한우,경상남도 하동군 양보면
태유축사,한우,경상남도 하동군 하동읍
갈밭축산,한우,경상남도 하동군 악양면
봉천농장,한우,경상남도 하동군 진교면
살때밑농장,한우,경상남도 하동군 고전면
신정농장,한우,경상남도 하동군 양보면
꼭지농장,한우,경상남도 하동군 북천면
성도농장,한우,경상남도 하동군 하동읍
박달농장2,한우,경상남도 하동군 양보면
계호축사,한우,경상남도 하동군 고전면
민채축사,한우,경상남도 하동군 고전면
다온농장,염소,경상남도 하동군 금남면
광호축사,한우,경상남도 하동군 고전면
덕천목장,젖소,경상남도 하동군 옥종면
