사업장소재지,축종,사육마릿수,사육면적,데이터기준일
충청남도 공주시 반포면 반포면 ,소,22,195.4,2026-06-08
충청남도 공주시 이인면 달산리 ,소,52,1118.8,2026-06-08
충청남도 공주시 우성면 우성면 ,소,0,192,2026-06-08
충청남도 공주시 탄천면 탄천면 ,소,10,160,2026-06-08
충청남도 공주시 이인면 이인면 ,소,6,80,2026-06-08
충청남도 공주시 우성면 우성면 ,소,8,199,2026-06-08
충청남도 공주시 검상동 검상동 ,소,44,686.9,2026-06-08
충청남도 공주시 유구읍 동해리 ,소,0,594.8,2026-06-08
충청남도 공주시 우성면 동곡리 ,소,0,189,2026-06-08
충청남도 공주시 우성면 단지리 ,소,0,353,2026-06-08
충청남도 공주시 탄천면 삼각리 ,소,11,340,2026-06-08
충청남도 공주시 사곡면 계실리 ,소,0,91,2026-06-08
충청남도 공주시 이인면 반송리 ,소,56,555,2026-06-08
충청남도 공주시 정안면 인풍리 ,소,60,1235.1,2026-06-08
충청남도 공주시 정안면 어물리 ,소,0,208,2026-06-08
충청남도 공주시 우성면 동곡리 ,소,258,3886,2026-06-08
충청남도 공주시 우성면 용봉리 ,소,160,2295,2026-06-08
충청남도 공주시 이인면 주봉리 ,소,68,910.8,2026-06-08
충청남도 공주시 정안면 전평리 ,소,88,1295.5,2026-06-08
충청남도 공주시 의당면 의당면 ,소,0,42.9,2026-06-08
충청남도 공주시 사곡면 해월리 ,소,0,1782,2026-06-08
충청남도 공주시 탄천면 유하리 ,소,30,1132,2026-06-08
충청남도 공주시 이인면 용성리 ,소,22,730.8,2026-06-08
충청남도 공주시 우성면 내산리 ,소,27,1300,2026-06-08
충청남도 공주시 사곡면 화월리 ,소,59,1542.5,2026-06-08
충청남도 공주시 우성면 옥성리 ,소,0,696,2026-06-08
충청남도 공주시 탄천면 송학리 ,소,0,847,2026-06-08
충청남도 공주시 탄천면 삼각리 ,소,21,1221.6,2026-06-08
충청남도 공주시 의당면 월곡리 ,소,0,33.2,2026-06-08
충청남도 공주시 정안면 장원리 ,소,58,370,2026-06-08
충청남도 공주시 신풍면 선학리 ,소,3,80,2026-06-08
충청남도 공주시 신기동 신기동 ,소,6,423.4,2026-06-08
충청남도 공주시 계룡면 금대리 ,소,83,1365,2026-06-08
충청남도 공주시 신풍면 신풍면 ,소,6,108,2026-06-08
충청남도 공주시 우성면 대성리 ,소,0,640,2026-06-08
충청남도 공주시 우성면 상서리 ,소,0,62,2026-06-08
충청남도 공주시 우성면 봉현리 ,소,1,304,2026-06-08
충청남도 공주시 계룡면 내흥리 ,소,0,171,2026-06-08
충청남도 공주시 이인면 초봉리 ,소,36,1000,2026-06-08
충청남도 공주시 이인면 주봉리 ,소,75,1250,2026-06-08
충청남도 공주시 우성면 단지리 ,소,25,898.1,2026-06-08
충청남도 공주시 사곡면 회학리 ,소,12,224,2026-06-08
충청남도 공주시 이인면 목동리 ,소,13,476,2026-06-08
충청남도 공주시 우성면 방흥리 ,소,0,152,2026-06-08
충청남도 공주시 금흥동 금흥동 ,소,0,448,2026-06-08
충청남도 공주시 이인면 이인리 ,소,0,620,2026-06-08
충청남도 공주시 이인면 반송리 ,소,28,798,2026-06-08
충청남도 공주시 신기동 신기동 ,소,0,130,2026-06-08
충청남도 공주시 정안면 대산리 ,소,13,300,2026-06-08
충청남도 공주시 우성면 방흥리 ,소,3,450,2026-06-08
충청남도 공주시 우성면 우성면 ,소,19,740,2026-06-08
충청남도 공주시 정안면 월산리 ,소,0,405,2026-06-08
충청남도 공주시 무릉동 무릉동 ,소,0,225,2026-06-08
충청남도 공주시 우성면 귀산리 ,소,20,535.5,2026-06-08
충청남도 공주시 사곡면 운암리 ,소,12,563.5,2026-06-08
충청남도 공주시 사곡면 해월리 ,소,27,700,2026-06-08
충청남도 공주시 계룡면 기산리 ,소,26,350,2026-06-08
충청남도 공주시 우성면 어천리 ,소,18,192,2026-06-08
충청남도 공주시 우성면 우성면 ,소,14,86.9,2026-06-08
충청남도 공주시 계룡면 월암리 ,소,42,1200,2026-06-08
충청남도 공주시 우성면 방문리 ,소,2,2633.4,2026-06-08
충청남도 공주시 의당면 청룡리 ,소,5,1362,2026-06-08
충청남도 공주시 이인면 반송리 ,소,5,1521,2026-06-08
충청남도 공주시 계룡면 향지리 ,소,113,1742.5,2026-06-08
충청남도 공주시 우성면 대성리 ,소,0,401.5,2026-06-08
충청남도 공주시 탄천면 송학리 ,소,8,179.7,2026-06-08
충청남도 공주시 탄천면 삼각리 ,소,6,30,2026-06-08
충청남도 공주시 정안면 월산리 ,소,36,399,2026-06-08
충청남도 공주시 정안면 전평리 ,소,8,216,2026-06-08
충청남도 공주시 의당면 율정리 ,소,6,396,2026-06-08
충청남도 공주시 이인면 초봉리 ,소,7,510,2026-06-08
충청남도 공주시 탄천면 대학리 ,소,65,700,2026-06-08
충청남도 공주시 태봉동 태봉동 ,소,4,554,2026-06-08
충청남도 공주시 계룡면 구왕리 ,소,54,579.7,2026-06-08
충청남도 공주시 이인면 발양리 ,소,3,850,2026-06-08
충청남도 공주시 이인면 목동리 ,소,15,350,2026-06-08
충청남도 공주시 계룡면 양화리 ,소,7,195,2026-06-08
충청남도 공주시 우성면 내산리 ,소,12,180,2026-06-08
충청남도 공주시 정안면 대산리 ,소,75,692.3,2026-06-08
충청남도 공주시 탄천면 유하리 ,소,0,144,2026-06-08
충청남도 공주시 사곡면 월가리 ,소,0,225,2026-06-08
충청남도 공주시 이인면 신흥리 ,소,10,86,2026-06-08
충청남도 공주시 사곡면 고당리 ,소,17,198,2026-06-08
충청남도 공주시 우성면 방문리 ,소,4,121,2026-06-08
충청남도 공주시 검상동 검상동 ,소,25,358.7,2026-06-08
충청남도 공주시 유구읍 문금리 ,소,48,938,2026-06-08
충청남도 공주시 유구읍 문금리 ,소,0,965,2026-06-08
충청남도 공주시 의당면 월곡리 ,소,45,598.7,2026-06-08
충청남도 공주시 유구읍 동해리 ,소,5,350,2026-06-08
충청남도 공주시 신풍면 산정리 ,소,5,243,2026-06-08
충청남도 공주시 탄천면 대학리 ,소,18,384.9,2026-06-08
충청남도 공주시 이인면 초봉리 ,소,0,96,2026-06-08
충청남도 공주시 이인면 주봉리 ,소,54,557,2026-06-08
충청남도 공주시 이인면 초봉리 ,소,26,301.5,2026-06-08
충청남도 공주시 이인면 용성리 ,소,12,282,2026-06-08
충청남도 공주시 계룡면 양화리 ,소,0,647,2026-06-08
충청남도 공주시 소학동 소학동 ,소,22,456,2026-06-08
충청남도 공주시 우성면 봉현리 ,소,34,354.9,2026-06-08
충청남도 공주시 우성면 신웅리 ,소,0,351.8,2026-06-08
충청남도 공주시 사곡면 계실리 ,소,0,1186.3,2026-06-08
충청남도 공주시 상왕동 상왕동 ,소,0,370,2026-06-08
충청남도 공주시 우성면 내산리 ,소,12,400,2026-06-08
충청남도 공주시 계룡면 내흥리 ,소,14,315.9,2026-06-08
충청남도 공주시 계룡면 하대리 ,소,5,374.6,2026-06-08
충청남도 공주시 유구읍 추계리 ,소,39,798,2026-06-08
충청남도 공주시 정안면 어물리 ,소,0,628,2026-06-08
충청남도 공주시 사곡면 가교리 ,소,0,336,2026-06-08
충청남도 공주시 탄천면 남산리 ,소,33,386,2026-06-08
충청남도 공주시 사곡면 화월리 ,소,14,363,2026-06-08
충청남도 공주시 계룡면 경천리 ,소,121,936,2026-06-08
충청남도 공주시 동현동 동현동 ,소,17,336,2026-06-08
충청남도 공주시 이인면 복룡리 ,소,0,365,2026-06-08
충청남도 공주시 우성면 내산리 ,소,21,502,2026-06-08
충청남도 공주시 이인면 복룡리 ,소,91,1301.9,2026-06-08
충청남도 공주시 우성면 도천리 ,소,28,483.2,2026-06-08
충청남도 공주시 탄천면 탄천면 ,소,6,55.7,2026-06-08
충청남도 공주시 사곡면 사곡면 ,소,10,1204,2026-06-08
충청남도 공주시 유구읍 유구리 ,소,27,440,2026-06-08
충청남도 공주시 우성면 귀산리 ,소,25,540.2,2026-06-08
충청남도 공주시 신풍면 대룡리 ,소,30,800,2026-06-08
충청남도 공주시 이인면 초봉리 ,소,11,600,2026-06-08
충청남도 공주시 봉정동 봉정동 ,소,14,835.9,2026-06-08
충청남도 공주시 탄천면 삼각리 ,소,0,0,2026-06-08
충청남도 공주시 반포면 반포면 ,소,20,127.7,2026-06-08
충청남도 공주시 유구읍 유구읍 ,소,17,442,2026-06-08
충청남도 공주시 의당면 의당면 ,소,0,37,2026-06-08
충청남도 공주시 계룡면 계룡면 ,소,7,255,2026-06-08
충청남도 공주시 탄천면 대학리 ,소,0,500,2026-06-08
충청남도 공주시 탄천면 삼각리 ,소,0,168,2026-06-08
충청남도 공주시 탄천면 삼각리 ,소,20,350,2026-06-08
충청남도 공주시 우성면 내산리 ,소,8,156.8,2026-06-08
충청남도 공주시 탄천면 삼각리 ,소,1,306,2026-06-08
충청남도 공주시 이인면 용성리 ,소,4,153.1,2026-06-08
충청남도 공주시 탄천면 가척리 ,소,16,398,2026-06-08
충청남도 공주시 반포면 하신리 ,소,0,10,2026-06-08
충청남도 공주시 정안면 북계리 ,소,69,486,2026-06-08
충청남도 공주시 우성면 안양리 ,소,1,1245,2026-06-08
충청남도 공주시 의당면 가산리 ,소,98,3710,2026-06-08
충청남도 공주시 의당면 청룡리 ,소,18,300,2026-06-08
충청남도 공주시 이인면 용성리 ,소,20,288.5,2026-06-08
충청남도 공주시 의당면 월곡리 ,소,75,1560.7,2026-06-08
충청남도 공주시 유구읍 명곡리 ,소,4,264,2026-06-08
충청남도 공주시 우성면 방문리 ,소,43,1400,2026-06-08
충청남도 공주시 우성면 용봉리 ,소,104,2057,2026-06-08
충청남도 공주시 우성면 내산리 ,소,4,104,2026-06-08
충청남도 공주시 오곡동 오곡동 ,소,9,1000,2026-06-08
충청남도 공주시 정안면 북계리 ,소,31,500,2026-06-08
충청남도 공주시 유구읍 유구읍 ,소,5,1593.8,2026-06-08
충청남도 공주시 정안면 정안면 ,소,104,792,2026-06-08
충청남도 공주시 우성면 우성면 ,소,66,1453.5,2026-06-08
충청남도 공주시 탄천면 정치리 ,소,2,1000,2026-06-08
충청남도 공주시 유구읍 신영리 ,소,29,300,2026-06-08
충청남도 공주시 우성면 보흥리 ,소,37,477.5,2026-06-08
충청남도 공주시 탄천면 대학리 ,소,175,1600.7,2026-06-08
충청남도 공주시 우성면 대성리 ,소,53,686.1,2026-06-08
충청남도 공주시 사곡면 화월리 ,소,3,48,2026-06-08
충청남도 공주시 탄천면 대학리 ,소,39,997.5,2026-06-08
충청남도 공주시 탄천면 성리 ,소,1,140,2026-06-08
충청남도 공주시 우성면 방문리 ,소,81,1750,2026-06-08
충청남도 공주시 유구읍 만천리 ,소,96,3450,2026-06-08
충청남도 공주시 사곡면 신영리 ,소,39,550,2026-06-08
충청남도 공주시 사곡면 화월리 ,소,0,587.8,2026-06-08
충청남도 공주시 우성면 옥성리 ,소,13,140.6,2026-06-08
충청남도 공주시 동현동 동현동 ,소,18,792,2026-06-08
충청남도 공주시 유구읍 백교리 산,소,0,384,2026-06-08
충청남도 공주시 유구읍 탑곡리 ,소,42,400,2026-06-08
충청남도 공주시 정안면 월산리 ,소,0,280,2026-06-08
충청남도 공주시 탄천면 광명리 ,소,37,446,2026-06-08
충청남도 공주시 우성면 신웅리 ,소,43,395,2026-06-08
충청남도 공주시 유구읍 입석리 ,소,80,1603.8,2026-06-08
충청남도 공주시 이인면 발양리 ,소,37,400,2026-06-08
충청남도 공주시 의당면 덕학리 ,소,0,397,2026-06-08
충청남도 공주시 계룡면 양화리 ,소,59,524,2026-06-08
충청남도 공주시 의당면 수촌리 ,소,0,117,2026-06-08
충청남도 공주시 유구읍 연종리 ,소,5,130,2026-06-08
충청남도 공주시 탄천면 광명리 ,소,3,704,2026-06-08
충청남도 공주시 사곡면 사곡면 ,소,4,120,2026-06-08
충청남도 공주시 우성면 상서리 ,소,17,120,2026-06-08
충청남도 공주시 유구읍 신영리 ,소,30,720,2026-06-08
