사업장명칭,주사육업종,사업장소재지(지번),면적
동진축산,한우,전라남도 장성군 황룡면 장산리 248번지 4호  ,95 
안평농장,한우,전라남도 장성군 장성읍 안평리 722번지 13호  ,324 
조은농장,한우,전라남도 장성군 황룡면 와룡리 522번지 4호  ,720 
평림축산,한우,전라남도 장성군 삼계면 수옥리 702번지 1호  ,1033 
호남농장,한우,전라남도 장성군 장성읍 안평리 728번지 2호 외 1필지 ,3065 
장오농장,한우,전라남도 장성군 장성읍 상오리 431번지 11호  ,650 
유평농장,육계,전라남도 장성군 삼서면 삼계리 942번지 3호 (산92-3) ,1242 
한농장,한우,전라남도 장성군 동화면 용정리 176번지 5호  ,256 
수정농장,한우,전라남도 장성군 북일면 신흥리 886번지 4호  ,1288 
성암농장,한우,전라남도 장성군 북하면 성암리 515번지  ,377 
장성골축산,한우,전라남도 장성군 북일면 성덕리 74번지 19호  ,354 
축령산 웰빙축산,한우,전라남도 장성군 서삼면 대덕리 164번지 2호  ,423 
창집목장,한우,전라남도 장성군 진원면 학전리 1166번지  ,294 
한농장,한우,전라남도 장성군 삼계면 내계리 438번지  ,384 
장안축산,한우,전라남도 장성군 장성읍 장안리 45번지  ,75 
장일축산,한우,전라남도 장성군 북이면 달성리 54번지 6호  ,384 
준농장,한우,전라남도 장성군 삼서면 삼계리 산 93번지 8호  ,340 
현구농장,한우,전라남도 장성군 동화면 동호리 50번지 1호  ,192 
기산축산,한우,전라남도 장성군 장성읍 기산리 185번지 1호  ,0 
선경농장,한우,전라남도 장성군 삼서면 두월리 100번지 1호  ,3132 
태연농장,한우,전라남도 장성군 황룡면 월평리 206번지 12호  ,68 
세련농장,한우,전라남도 장성군 삼서면 삼계리 606번지 1호  ,2734 
행복한우,한우,전라남도 장성군 북일면 성산리 521번지 2호  ,365 
정일품농장,한우,전라남도 장성군 장성읍 상오리 431번지 5호  ,1024 
가산농장,한우,전라남도 장성군 진원면 용산리 816번지 3호  ,360 
대창농장,한우,"전라남도 장성군 장성읍 안평리 141,60번지  ",430 
남면농장,한우,전라남도 장성군 남면 월곡리 509번지 3호  ,784 
희망축산,한우,전라남도 장성군 장성읍 상오리 427번지 2호  ,833 
그린농장,한우,전라남도 장성군 서삼면 장산리 3번지  ,152 
준원농장,한우,전라남도 장성군 북이면 신월리 207번지  ,399 
달맞이농장,한우,전라남도 장성군 장성읍 유탕리 1549번지 3호  ,768 
예은농장,한우,전라남도 장성군 황룡면 신호리 176번지 3호  ,1695 
영창농장,한우,전라남도 장성군 진원면 용산리 732번지 24호  ,800 
장산농장,한우,전라남도 장성군 황룡면 장산리 258번지 1호  ,384 
아름농장,한우,전라남도 장성군 황룡면 아곡리 13번지 9호  ,504 
불태산농장,한우,전라남도 장성군 진원면 선적리 765번지 7호  ,352 
장보고목장,한우,전라남도 장성군 장성읍 안평리 733번지 1호  ,1312 
유진목장,한우,전라남도 장성군 진원면 상림리 212번지 3호  ,198 
첨단농장,한우,전라남도 장성군 진원면 상림리 682번지  ,588 
상천농장,한우,전라남도 장성군 북일면 성산리 316번지 1호  ,143 
신월농장,한우,전라남도 장성군 북이면 신월리 758번지 11호  ,256 
그린농장,한우,전라남도 장성군 장성읍 상오리 430번지 1호  ,896 
형배농장,한우,전라남도 장성군 남면 행정리 229번지  ,998 
향순농장,한우,전라남도 장성군 북이면 신평리 403번지 1호  ,240 
작동농장,한우,전라남도 장성군 진원면 산동리 789번지 76호  ,56 
만평농장,한우,전라남도 장성군 동화면 구림리 117번지 8호  ,588 
신창농장,한우,전라남도 장성군 북이면 원덕리 298번지  ,838 
신창농장,한우,전라남도 장성군 장성읍 유탕리 1205번지 외 4필지 ,376 
남주농장,한우,전라남도 장성군 장성읍 상오리 301번지 1호  ,140 
옥정골한우축사,한우,전라남도 장성군 황룡면 옥정리 648번지 1호  ,1218 
구룡농장,한우,전라남도 장성군 동화면 구룡리 511번지  ,175 
소쟁이,한우,전라남도 장성군 장성읍 안평리 693번지 3 ,1135 
원형농장,한우,전라남도 장성군 삼서면 두월리 824-1 ,1219 
대흥축산,한우,전라남도 장성군 삼서면 소룡리 437-5 ,1449 
대현농장,한우,전라남도 장성군 삼서면 대도리 81-1 ,631 
용정축산,한우,전라남도 장성군 동화면 용정리 76 ,398 
정규농장,한우,전라남도 장성군 삼서면 수해리 838-6 ,396 
우리축산,한우,전라남도 장성군 진원면 학림리 122번지 4호 외 1필지 ,745 
정곡농장,한우,전라남도 장성군 북일면 월계리 543 ,248 
성의농장,한우,전라남도 장성군 북이면 달성리 407-60 ,430 
은별농장,한우,전라남도 장성군 북이면 신월리 746-10 ,300 
홍정사슴주말농장,사슴,"전라남도 장성군 삼서면 홍정리 산21-3, 417-2 ",297 
홍길동농장,산양,전라남도 장성군 북하면 중평리 598-1 ,960 
묘동사슴농장,염소,전라남도 장성군 진원면 진원리 129-4 ,743 
묘동사슴농장,염소,전라남도 장성군 진원면 진원리 161번지  ,265 
만평농장,한우,전라남도 장성군 동화면 동호리 304번지 외 4필지 ,533 
최규영,산양,전라남도 장성군 서삼면 용흥리 617-2 ,500 
벧엘사슴농장,사슴,전라남도 장성군 삼계면 죽림리 12-3 ,938 
구림축사,한우,전라남도 장성군 동화면 구림리 638번지  ,304 
신호축사,한우,전라남도 장성군 황룡면 신호리 213번지  ,36 
기석농장,한우,전라남도 장성군 서삼면 송현리 80번지 3호  ,853 
인성농장,한우,전라남도 장성군 진원면 학림리 430번지  ,32 
대도한우농장,한우,전라남도 장성군 삼서면 대도리 135번지 14호  ,1500 
순섭농장,한우,전라남도 장성군 북일면 월계리 382번지  ,587 
장성축협,한우,    ,2686 
한우목장,한우,    ,391 
장원사슴목장,사슴,    ,395 
영신사슴농장,한우,전라남도 장성군 진원면 율곡리 385번지 2호  ,471 
북일농장,한우,    ,351 
성희농장,한우,전라남도 장성군 황룡면 황룡리 163번지 10호  ,954 
월계농장,한우,    ,100 
승진농장,한우,    ,84 
한우농장,한우,전라남도 장성군 진원면 율곡리 120번지  ,297 
은숙농장,한우,전라남도 장성군 북하면 성암리 841번지  ,1163 
청용농장,한우,전라남도 장성군 진원면 용산리 185번지 1호  ,991 
횃불농장,한우,전라남도 장성군 진원면 산동리 681번지 69호  ,896 
산골짜기농장,꿩,전라남도 장성군 황룡면 아곡리 224번지  ,508 
명성농장,육계,전라남도 장성군 삼계면 능성리 5번지 6호  ,7804 
양호농장,돼지,전라남도 장성군 북일면 성산리 261번지 15호  ,1015 
문하농장,한우,전라남도 장성군 삼서면 삼계리 69번지 1호  ,42 
소 이야기,한우,전라남도 장성군 장성읍 상오리 431번지 13호  ,1074 
금수농장,육계,전라남도 장성군 서삼면 용흥리 138번지 7호  ,25 
석연축산,한우,    ,1191 
연자봉 한우농장,한우,전라남도 장성군 북일면 성산리 483번지  ,1908 
돗재로 농원,한우,전라남도 장성군 북이면 달성리 385번지 외 2필지 ,510 
영국농장,한우,전라남도 장성군 남면 마령리 970번지  ,576 
상하연주목장,젖소,"전라남도 장성군 북이면 죽청리 39번지 2호 (38,38-1,38-2,39) ",4637 
거산농장,한우,전라남도 장성군 장성읍 안평리 693번지 4호  ,1092 
삼도농장,한우,전라남도 장성군 황룡면 옥정리 651번지 1호 외 1필지 ,1092 
초원농장,한우,전라남도 장성군 동화면 남평리 467번지 1호 외 1필지 ,288 
형제축산,한우,전라남도 장성군 삼계면 발산리 521번지  ,425 
쌍둥이농장,한우,전라남도 장성군 북하면 월성리 374번지  ,92 
