사업장명칭,주사육업종,사업장소재지(지번),사업장소재지(도로명),데이터기준일
수수한 농장,한우,경상북도 안동시 와룡면 라소리 1207번지 5호  ,경상북도 안동시 와룡면 나소로 190-50,2025-11-25
이병기 농장,한우,경상북도 안동시 녹전면 녹래리 425번지  ,경상북도 안동시 녹전면 녹래길 77-40,2025-11-25
신봉근 농장,한우,경상북도 안동시 서후면 이개리 814번지 1호  ,경상북도 안동시 서후면 백현길 23-74,2025-11-25
왕산골 농장,염소,경상북도 안동시 와룡면 이하리 680번지  ,경상북도 안동시 와룡면 금통골길 60-8,2025-11-25
왕솔농장 2,한우,경상북도 안동시 길안면 백자리 307번지  ,경상북도 안동시 길안면 만음백자길 765-65,2025-11-25
제비원농장 2,한우,경상북도 안동시 와룡면 이하리 611번지  ,경상북도 안동시 와룡면 율미골길 136-55,2025-11-25
김강호농장 2,한우,경상북도 안동시 와룡면 가야리 5번지 2호  ,경상북도 안동시 와룡면 농암로 519-83,2025-11-25
옥천농장,한우,경상북도 안동시 임하면 오대리 1287번지  ,경상북도 안동시 임하면 천지오대길 98-21,2025-11-25
이용칠 농장,한우,경상북도 안동시 임하면 임하리 1139번지 3호  ,,2025-11-25
승부농장,한우,경상북도 안동시 녹전면 신평리 383번지  ,경상북도 안동시 녹전면 신평안흥길 24-22,2025-11-25
조종식 농장,한우,경상북도 안동시 서후면 광평리 748번지  ,경상북도 안동시 서후면 개목사길 48-105,2025-11-25
박찬익 2농장,한우,경상북도 안동시 임동면 고천리 545번지 1호  ,경상북도 안동시 임동면 고천덕강길 132,2025-11-25
이창호 농장,한우,경상북도 안동시 와룡면 주하리 675번지 6호  ,경상북도 안동시 와룡면 태리금산로 301-7,2025-11-25
영남농장,사슴,경상북도 안동시 남후면 개곡리 213번지  ,경상북도 안동시 남후면 남일로 1249-20,2025-11-25
천수농장,한우,경상북도 안동시 임하면 천전리 414번지  ,경상북도 안동시 임하면 반시건능길 178-53,2025-11-25
안동민속한우 2농장,한우,경상북도 안동시 서후면 대두서리 104번지 2호  ,,2025-11-25
농업회사법인(주)민속친한우 권민석B11,한우,경상북도 안동시 서후면 재품리 513번지  ,경상북도 안동시 서후면 백현길 242-20,2025-11-25
진한농장,한우,경상북도 안동시 서후면 대두서리 97번지  ,경상북도 안동시 서후면 생명의콩길 285-17,2025-11-25
김창열 농장,한우,"경상북도 안동시 녹전면 서삼리 566번지 , 566-1 ",경상북도 안동시 녹전면 현삼길 313-5,2025-11-25
단호농장,한우,경상북도 안동시 남후면 단호리 1700번지  ,,2025-11-25
신한우 2농원,한우,경상북도 안동시 북후면 장기리 351번지  ,경상북도 안동시 북후면 토골길 72-34,2025-11-25
류만식 농장,한우,경상북도 안동시 와룡면 가구리 324번지  ,,2025-11-25
오국희 농장,한우,경상북도 안동시 일직면 평팔리 243번지  ,경상북도 안동시 일직면 안평일직길 635-18,2025-11-25
노봉환 농장,한우,경상북도 안동시 북후면 월전리 754번지  ,경상북도 안동시 북후면 납들고개길 46-57,2025-11-25
천정남 농장,한우,경상북도 안동시 풍산읍 오미리 59번지 1호  ,경상북도 안동시 풍산읍 풍산태사로 494-47,2025-11-25
행복목장,한우,경상북도 안동시 와룡면 이하리 684번지 1호  ,경상북도 안동시 와룡면 금통골길 67-11,2025-11-25
박오종 농장,한우,"경상북도 안동시 와룡면 오천리 678번지 , 679 ",경상북도 안동시 와룡면 바위골길 52-14,2025-11-25
둘리농장,한우,경상북도 안동시 풍산읍 오미리 117번지 1호  ,경상북도 안동시 풍산읍 방가미길 23,2025-11-25
디오 농장,한우,경상북도 안동시 남후면 검암리 561번지 1호  ,경상북도 안동시 남후면 모운사길 26,2025-11-25
권오준 농장,염소,경상북도 안동시 임동면 마령리 555번지  ,경상북도 안동시 임동면 바우길 5,2025-11-25
우창원 농장,한우,경상북도 안동시 와룡면 지내리 742번지  ,경상북도 안동시 와룡면 모산골길 104,2025-11-25
류대윤 농장,한우,경상북도 안동시 와룡면 주하리 358번지 1호  ,경상북도 안동시 와룡면 감애주하길 356-42,2025-11-25
권규용 농장,한우,경상북도 안동시 북후면 연곡리 35번지 3호  ,경상북도 안동시 북후면 와북로 415-38,2025-11-25
종환농장2,한우,경상북도 안동시 풍산읍 오미리 148번지  ,경상북도 안동시 풍산읍 풍산태사로 494-19,2025-11-25
권현미 농장,한우,"경상북도 안동시 서후면 성곡리 168번지 1호 ,168-7 ",경상북도 안동시 서후면 학가산온천길 316,2025-11-25
권오삼농장,한우,경상북도 안동시 남후면 무릉리 1106번지  ,경상북도 안동시 남후면 숨실길 102,2025-11-25
준호농장2,한우,"경상북도 안동시 녹전면 원천리 195번지 , 188 ",경상북도 안동시 녹전면 등지길 200-8,2025-11-25
이찬용 농장,한우,경상북도 안동시 이천동 309번지  ,경상북도 안동시 연미원길 261-42 (이천동),2025-11-25
황혁기 농장,한우,경상북도 안동시 남후면 무릉리 1173번지  ,경상북도 안동시 남후면 숨실길 181-4,2025-11-25
부국농장,한우,경상북도 안동시 서후면 대두서리 697번지  ,,2025-11-25
태준농장,육계,경상북도 안동시 와룡면 서현리 217번지 1호  ,경상북도 안동시 와룡면 현삼길 74-37,2025-11-25
지인걸 농장,한우,경상북도 안동시 와룡면 가구리 348번지  ,경상북도 안동시 와룡면 농암로 77-75,2025-11-25
길안유통,한우,경상북도 안동시 서후면 재품리 111번지  ,,2025-11-25
만복농장,한우,경상북도 안동시 북후면 물한리 47번지  ,경상북도 안동시 북후면 영상조은들길 174,2025-11-25
시내골농장,한우,경상북도 안동시 일직면 조탑리 669번지  ,경상북도 안동시 일직면 긴대골길 171,2025-11-25
권영률 농장,한우,경상북도 안동시 와룡면 이하리 616번지  ,경상북도 안동시 와룡면 율미골길 136-53,2025-11-25
이상영 농장,한우,경상북도 안동시 서후면 성곡리 12번지  ,경상북도 안동시 서후면 풍산태사로 3047-40,2025-11-25
우렁골한우 2농장,한우,경상북도 안동시 풍산읍 수리 1040번지  ,경상북도 안동시 풍산읍 풍산태사로 1425-63,2025-11-25
권종열 농장,한우,경상북도 안동시 서후면 재품리 541번지  ,경상북도 안동시 서후면 대두서6길 129-20,2025-11-25
약산한우농장,육우,경상북도 안동시 임하면 오대리 243번지  ,경상북도 안동시 임하면 오대1길 30-49,2025-11-25
마암 1농장,한우,경상북도 안동시 와룡면 태리 736번지  ,경상북도 안동시 와룡면 매구네길 161,2025-11-25
일승농장,한우,경상북도 안동시 서후면 이송천리 907번지  ,경상북도 안동시 서후면 태장가라골길 230-44,2025-11-25
임금화 농장,한우,경상북도 안동시 이천동 152번지  ,경상북도 안동시 미두리길 157-9(이천동),2025-11-25
이상목 농장,한우,경상북도 안동시 와룡면 감애리 726번지  ,경상북도 안동시 와룡면 하명잦길 29-28,2025-11-25
리촌농장,한우,경상북도 안동시 와룡면 주하리 81번지 3호  ,경상북도 안동시 와룡면 웃두루길 42,2025-11-25
권지후 농장,한우,경상북도 안동시 일직면 용각리 150번지  ,경상북도 안동시 일직면 용각길 72,2025-11-25
권영욱 2농장,한우,경상북도 안동시 풍산읍 오미리 146번지  ,경상북도 안동시 풍산읍 풍산태사로 494-23,2025-11-25
안심축산,한우,경상북도 안동시 와룡면 이하리 667번지  ,경상북도 안동시 와룡면 율미골길 136-34,2025-11-25
야호목장,염소,경상북도 안동시 길안면 만음리 산 108번지 8호  ,경상북도 안동시 길안면 만음음지마을길 88,2025-11-25
김화순농장,한우,경상북도 안동시 북후면 연곡리 308번지  ,경상북도 안동시 북후면 종실길 80-82,2025-11-25
주건농장,한우,경상북도 안동시 정하동 141번지  ,경상북도 안동시 신기리길 339(정하동),2025-11-25
이재우 농장,한우,경상북도 안동시 와룡면 주하리 567번지  ,경상북도 안동시 와룡면 감애주하길 362,2025-11-25
이달호 농장,한우,경상북도 안동시 북후면 연곡리 1018번지 2호  ,경상북도 안동시 북후면 영상길 81-31,2025-11-25
이점숙 농장,한우,경상북도 안동시 와룡면 지내리 710번지 2호  ,경상북도 안동시 와룡면 모산골길 85-25,2025-11-25
박영천 농장,한우,경상북도 안동시 와룡면 태리 747번지 1호  ,경상북도 안동시 와룡면 매구네길 115,2025-11-25
김미순 농장,한우,경상북도 안동시 와룡면 라소리 925번지 2호  ,경상북도 안동시 와룡면 토치골길 155-14,2025-11-25
이진걸 2농장,한우,경상북도 안동시 와룡면 감애리 744번지 1호  ,경상북도 안동시 와룡면 하명잦길 80-24,2025-11-25
정대윤 농장,한우,경상북도 안동시 와룡면 중가구리 60번지 1호  ,경상북도 안동시 와룡면 중가구못골길 18-61,2025-11-25
권혁창 농장,한우,경상북도 안동시 남선면 이천리 475번지  ,경상북도 안동시 남선면 뱁실길 112,2025-11-25
조순기 농장,한우,경상북도 안동시 일직면 명진리 417번지 35호  ,,2025-11-25
부광농장,육계,"경상북도 안동시 서후면 이송천리 641번지 ,640, 643, 649, 644-2 ",경상북도 안동시 서후면 이송천한터길 213,2025-11-25
정지연 농장,한우,경상북도 안동시 북후면 장기리 353번지  ,경상북도 안동시 북후면 토골길 72-38,2025-11-25
좋은2농장,한우,경상북도 안동시 북후면 물한리 49번지  ,경상북도 안동시 북후면 영상조은들길 158,2025-11-25
이현수 농장,한우,"경상북도 안동시 북후면 도촌리 240번지 , 239-1 ",경상북도 안동시 북후면 모산미길 53-14,2025-11-25
정은정 농장,한우,경상북도 안동시 와룡면 주하리 552번지  ,경상북도 안동시 와룡면 감애주하길 356-48,2025-11-25
대양농장,한우,경상북도 안동시 일직면 명진리 274번지  ,경상북도 안동시 일직면 덕동안길 155,2025-11-25
권용범 농장,한우,경상북도 안동시 북후면 연곡리 544번지  ,,2025-11-25
조상호 농장,한우,경상북도 안동시 도산면 온혜리 954번지 1호  ,경상북도 안동시 도산면 송온길 418-65,2025-11-25
이용규 농장,한우,경상북도 안동시 와룡면 감애리 724번지 2호  ,경상북도 안동시 와룡면 하명잦길 29-47,2025-11-25
권오석2농장,한우,경상북도 안동시 풍산읍 괴정리 655번지  ,경상북도 안동시 풍산읍 산업단지길 234,2025-11-25
임상인 농장,육계,경상북도 안동시 수상동 368번지  ,경상북도 안동시 뱃가골길 280(수상동),2025-11-25
지태룡 농장,염소,경상북도 안동시 와룡면 중가구리 412번지  ,경상북도 안동시 와룡면 남흥길 107-47,2025-11-25
정대웅 농장,한우,경상북도 안동시 예안면 구룡리 59번지 2호  ,,2025-11-25
예담농장,한우,"경상북도 안동시 북후면 물한리 557번지 ,556 ,556-1, 556-2 ",경상북도 안동시 북후면 물한길 51-37,2025-11-25
조성일 농장,한우,경상북도 안동시 북후면 석탑리 706번지  ,경상북도 안동시 북후면 석탑동굴길 108,2025-11-25
권태인 농장,한우,경상북도 안동시 풍천면 기산리 47번지 6호  ,경상북도 안동시 풍천면 석방지길 22-61,2025-11-25
박웅환 농장,한우,"경상북도 안동시 서후면 이개리 13번지 3호 , 13-4 ",경상북도 안동시 서후면 성곡이개길 62,2025-11-25
안경애 농장,한우,경상북도 안동시 서후면 대두서리 725번지  ,경상북도 안동시 서후면 생명의콩길 125-45,2025-11-25
조정옥 농장,한우,경상북도 안동시 서후면 태장리 230번지 1호  ,경상북도 안동시 서후면 풍산태사로 3253,2025-11-25
안동민속한우 영농조합법인(정경호위탁),한우,경상북도 안동시 북후면 도촌리 184번지  ,경상북도 안동시 북후면 도장길 258-50,2025-11-25
해솔농장,한우,경상북도 안동시 풍산읍 신양리 815번지  ,경상북도 안동시 풍산읍 현애길 76,2025-11-25
이우찬 농장,한우,"경상북도 안동시 북후면 도촌리 237번지 2호 237-5, 237-6, 237-7, 233, 234 ","경상북도 안동시 북후면 모산미길 53-32, 53-38",2025-11-25
박창원 농장,육계,경상북도 안동시 녹전면 신평리 56번지  ,,2025-11-25
조흥래 농장,한우,경상북도 안동시 풍산읍 소산리 815번지  ,경상북도 안동시 풍산읍 미내길 127-40,2025-11-25
남창일 농장,한우,경상북도 안동시 와룡면 가구리 510번지  ,경상북도 안동시 와룡면 선돌길 76-77,2025-11-25
솔티농장,한우,경상북도 안동시 서후면 성곡리 917번지  ,경상북도 안동시 서후면 봉림사지길 123,2025-11-25
장현농장,한우,경상북도 안동시 풍산읍 수리 1077번지  ,경상북도 안동시 풍산읍 풍산태사로 1269,2025-11-25
이재걸신종민농장,한우,경상북도 안동시 서후면 저전리 73번지  ,,2025-11-25
선진 2농장,한우,경상북도 안동시 녹전면 매정리 804번지 1호  ,,2025-11-25
강석희 농장,한우,경상북도 안동시 북후면 두산리 632번지  ,경상북도 안동시 북후면 하양지길 56,2025-11-25
이재현 농장,한우,경상북도 안동시 와룡면 감애리 738번지 2호  ,경상북도 안동시 와룡면 하명잦길 76,2025-11-25
권오흠 농장,한우,경상북도 안동시 서후면 성곡리 167번지 6호  ,,2025-11-25
강성만 농장,염소,경상북도 안동시 도산면 가송리 829번지  ,경상북도 안동시 도산면 퇴계로 3209-9,2025-11-25
엄성호 농장,한우,경상북도 안동시 서후면 성곡리 74번지  ,,2025-11-25
풀립소,한우,경상북도 안동시 북후면 도촌리 228번지  ,경상북도 안동시 북후면 모산미길 53-40,2025-11-25
이학섭 농장,한우,경상북도 안동시 북후면 연곡리 293번지 2호  ,경상북도 안동시 북후면 종실길 80-72,2025-11-25
김호준농장,한우,경상북도 안동시 와룡면 이하리 610번지  ,경상북도 안동시 와룡면 율미골길 136-57,2025-11-25
조상록 농장,한우,경상북도 안동시 북후면 물한리 221번지  ,경상북도 안동시 북후면 외날길 89,2025-11-25
이문섭농장,한우,경상북도 안동시 서후면 명리 175번지 3호  ,경상북도 안동시 서후면 명이개길 65-1,2025-11-25
손진규농장,한우,경상북도 안동시 남후면 단호리 70번지  ,,2025-11-25
김영덕 농장,한우,경상북도 안동시 풍천면 구담리 479번지  ,경상북도 안동시 풍천면 섬마길 14-3,2025-11-25
최재호농장,한우,경상북도 안동시 풍천면 어담리 산 75번지 27호  ,경상북도 안동시 풍천면 삼표산길 324-83,2025-11-25
이재환 농장,한우,경상북도 안동시 녹전면 원천리 694번지  ,,2025-11-25
서석용 축사,한우,경상북도 안동시 남선면 현내리 1059번지  ,경상북도 안동시 남선면 바람티골길 59,2025-11-25
권태만농장,한우,경상북도 안동시 녹전면 원천리 411번지 1호  ,경상북도 안동시 녹전면 길명길 15,2025-11-25
허정미농장,한우,"경상북도 안동시 와룡면 가야리 972번지 , 972-1 ",경상북도 안동시 와룡면 가야길 150-131,2025-11-25
임형규 농장,한우,"경상북도 안동시 풍산읍 현애리 219번지 4호 , 219-5, 219-6 ",경상북도 안동시 풍산읍 현애길 152-53,2025-11-25
와룡농장,돼지,"경상북도 안동시 와룡면 이하리 242번지 , 242-1, 242-4, 243, 237, 산175 ","경상북도 안동시 와룡면 율미골길 143-31, 143-19",2025-11-25
와룡농장,돼지,"경상북도 안동시 서후면 태장리 501번지 1호 , 501-2 ",경상북도 안동시 서후면 태장가라골길 98-24,2025-11-25
류기윤농장,한우,경상북도 안동시 풍산읍 소산리 815번지 1호  ,경상북도 안동시 풍산읍 미내길 127-38,2025-11-25
황호진축사,한우,경상북도 안동시 북후면 연곡리 395번지  ,경상북도 안동시 북후면 용수골길 37-5,2025-11-25
김종기축사,한우,경상북도 안동시 풍산읍 오미리 140번지 1호  ,경상북도 안동시 풍산읍 풍산태사로 481-5,2025-11-25
이경호농장,한우,경상북도 안동시 풍산읍 노리 180번지  ,경상북도 안동시 풍산읍 석교길 49-7,2025-11-25
김민구 농장2,한우,경상북도 안동시 임동면 고천리 144번지  ,경상북도 안동시 임동면 모시길 28-14,2025-11-25
위탁김민구2농장,한우,경상북도 안동시 임동면 고천리 82번지 1호  ,경상북도 안동시 임동면 모시길 28-38,2025-11-25
이동환축사,한우,경상북도 안동시 녹전면 원천리 282번지  ,경상북도 안동시 녹전면 등지길 12-11,2025-11-25
김주열축사,한우,경상북도 안동시 와룡면 감애리 738번지 3호  ,경상북도 안동시 와룡면 하명잦길 80,2025-11-25
주계농장,돼지,경상북도 안동시 와룡면 주계리 659번지  ,경상북도 안동시 와룡면 장수골길 302-20,2025-11-25
이기연축사,한우,경상북도 안동시 녹전면 원천리 895번지  ,,2025-11-25
예당농장,한우,경상북도 안동시 와룡면 라소리 1107번지  ,경상북도 안동시 와룡면 나소로 170-57,2025-11-25
율미한우2,한우,"경상북도 안동시 와룡면 이하리 288번지 , 291 ",경상북도 안동시 와룡면 율미골길 91-34,2025-11-25
권중극축사,한우,경상북도 안동시 풍천면 금계리 592번지  ,경상북도 안동시 풍천면 풍일로 883-1,2025-11-25
김윤중축사,한우,경상북도 안동시 풍산읍 계평리 451번지 1호  ,경상북도 안동시 풍산읍 풍산태사로 1931-1,2025-11-25
권재복축사,한우,경상북도 안동시 서후면 이개리 634번지  ,경상북도 안동시 서후면 이개와우실길 51-23,2025-11-25
1농장,한우,경상북도 안동시 임동면 고천리 376번지  ,,2025-11-25
권영규축사,한우,"경상북도 안동시 서후면 광평리 1067번지 1호 , 1067-5 ",경상북도 안동시 서후면 개목사길 45-94,2025-11-25
김선호농장,한우,경상북도 안동시 풍천면 신성리 36번지  ,경상북도 안동시 풍천면 봉호로 3333-31,2025-11-25
시유목장,한우,"경상북도 안동시 북후면 연곡리 934번지 , 935, 936, 937 ",경상북도 안동시 북후면 와북로 188-52,2025-11-25
남시경2농장,한우,경상북도 안동시 일직면 귀미리 317번지  ,경상북도 안동시 일직면 일직점곡로 234-28,2025-11-25
김익현 농장,한우,경상북도 안동시 북후면 물한리 121번지  ,경상북도 안동시 북후면 저전물한길 189-31,2025-11-25
권영윤농장,한우,경상북도 안동시 남후면 무릉리 274번지  ,경상북도 안동시 남후면 철안길 16-78,2025-11-25
김의수농장,염소,경상북도 안동시 도산면 온혜리 311번지  ,,2025-11-25
청미축사,한우,"경상북도 안동시 남후면 광음리 320번지 , 389-2, 390-1 ",,2025-11-25
정림축사,한우,경상북도 안동시 남후면 광음리 390번지  ,경상북도 안동시 남후면 감재길 40,2025-11-25
서현 농장,한우,"경상북도 안동시 와룡면 서현리 215번지 4호 , 216-1, 216-2, 216-3 ","경상북도 안동시 와룡면 현삼길 74-31, 74-33",2025-11-25
JH농장,한우,"경상북도 안동시 와룡면 가구리 511번지 , 512 ",경상북도 안동시 와룡면 선돌길 76-71,2025-11-25
성곡 축산,한우,경상북도 안동시 서후면 성곡리 163번지  ,,2025-11-25
김문석2농장,한우,경상북도 안동시 녹전면 매정리 743번지  ,,2025-11-25
정시진농장,한우,"경상북도 안동시 북후면 도진리 288번지 1호 , 288-2, 335 ",경상북도 안동시 북후면 산약길 388,2025-11-25
안동농장,한우,경상북도 안동시 서후면 재품리 147번지  ,경상북도 안동시 서후면 백현길 648,2025-11-25
하나,한우,경상북도 안동시 일직면 평팔리 607번지  ,경상북도 안동시 일직면 월박오랫길 222,2025-11-25
기철 농장,한우,경상북도 안동시 남선면 이천리 494번지  ,경상북도 안동시 남선면 뱁실길 146,2025-11-25
권중극1,한우,경상북도 안동시 풍천면 금계리 756번지  ,경상북도 안동시 풍천면 풍일로 862-41,2025-11-25
조풍로농장,한우,경상북도 안동시 북후면 두산리 626번지  ,경상북도 안동시 북후면 하양지길 48,2025-11-25
둘리농장,염소,경상북도 안동시 일직면 귀미리 728번지 1호  ,,2025-11-25
강보식농장A8,한우,"경상북도 안동시 남후면 무릉리 1233번지 , 1234, 1230, 1232, 1223 ","경상북도 안동시 남후면 숨실길 229, 231, 233",2025-11-25
김주현에코산방,염소,경상북도 안동시 와룡면 가류리 358번지 1호  ,경상북도 안동시 와룡면 자곡길 174-47,2025-11-25
해밀팜,종계/산란계,경상북도 안동시 녹전면 서삼리 710번지 4호  ,경상북도 안동시 녹전면 능실길 49-46,2025-11-25
강윤영축사,한우,경상북도 안동시 녹전면 원천리 803번지  ,경상북도 안동시 녹전면 녹전로 1384-5,2025-11-25
태양축산,한우,경상북도 안동시 북후면 연곡리 87번지 1호  ,경상북도 안동시 북후면 웃마사길 71-52,2025-11-25
훈이네농장,한우,"경상북도 안동시 녹전면 신평리 산 207번지 , 1048-2, 1049 ",경상북도 안동시 녹전면 녹전로 775-52,2025-11-25
엔터프라이즈팜제3농장,한우,"경상북도 안동시 북후면 연곡리 92번지 , 93-2, 94-3 ",경상북도 안동시 북후면 웃마사길 71-42,2025-11-25
이재덕농장,한우,경상북도 안동시 풍산읍 만운리 351번지  ,경상북도 안동시 풍산읍 지담길 7-2,2025-11-25
이상칠축사,한우,경상북도 안동시 풍산읍 만운리 346번지 4호  ,경상북도 안동시 풍산읍 지담길 7-23,2025-11-25
김지선농장,한우,"경상북도 안동시 서후면 저전리 333번지 , 733-1 ",경상북도 안동시 서후면 북평로 396-21,2025-11-25
박성훈농장,염소,경상북도 안동시 서후면 저전리 21번지 1호  ,경상북도 안동시 서후면 저전물한길 84-8,2025-11-25
강진구농장,염소,경상북도 안동시 풍산읍 노리 280번지  ,,2025-11-25
김영옥농장(거위),거위,경상북도 안동시 길안면 대사리 714번지  ,경상북도 안동시 길안면 대사로 241,2025-11-25
김영옥농장(닭),종계/산란계,경상북도 안동시 길안면 대사리 714번지  ,경상북도 안동시 길안면 대사로 241,2025-11-25
황금농장,한우,경상북도 안동시 북후면 물한리 478번지  ,,2025-11-25
서영진농장,한우,경상북도 안동시 와룡면 지내리 710번지 1호  ,,2025-11-25
유찬우농장,종계/산란계,경상북도 안동시 정하동 19번지 8호  ,,2025-11-25
모산농장,한우,경상북도 안동시 와룡면 지내리 758번지 1호  ,경상북도 안동시 와룡면 모산골길 145,2025-11-25
대진농장,염소,경상북도 안동시 북후면 연곡리 196번지 4호  ,,2025-11-25
권오경농장,한우,경상북도 안동시 녹전면 서삼리 217번지 3호  ,경상북도 안동시 녹전면 마암길 16,2025-11-25
솔티골농장,염소,경상북도 안동시 풍천면 어담리 산 60번지  ,경상북도 안동시 풍천면 삼표산길 504,2025-11-25
에그하우스,종계/산란계,"경상북도 안동시 서후면 교리 448번지 , 454-1 ",경상북도 안동시 서후면 교리평촌길 15-52,2025-11-25
강세혁농장,한우,경상북도 안동시 풍산읍 오미리 138번지  ,경상북도 안동시 풍산읍 풍산태사로 494-28,2025-11-25
안동흑염소행복한농장,염소,경상북도 안동시 남후면 단호리 524번지 1호  ,경상북도 안동시 남후면 화현길 18,2025-11-25
감상골 농장,한우,경상북도 안동시 북후면 옹천리 140번지  ,경상북도 안동시 북후면 감성길 41,2025-11-25
박영술 농장,염소,경상북도 안동시 남선면 구미리 43번지  ,경상북도 안동시 남선면 충효로 3809-53,2025-11-25
제이원 한우A,한우,경상북도 안동시 서후면 이개리 64번지  ,경상북도 안동시 서후면 귀여리길 349-37,2025-11-25
권준엽 농장,염소,경상북도 안동시 와룡면 이하리 341번지 8호  ,경상북도 안동시 와룡면 서주길 185,2025-11-25
스윙팜,한우,경상북도 안동시 와룡면 주하리 501번지 7호  ,경상북도 안동시 와룡면 신그네길 70,2025-11-25
혜성농원,염소,경상북도 안동시 서후면 이송천리 393번지 1호  ,경상북도 안동시 서후면 이송천1길 59-30,2025-11-25
빛뫼농원,염소,경상북도 안동시 풍천면 도양리 1081번지  ,경상북도 안동시 풍천면 덕현길 107,2025-11-25
꿈애농장,한우,경상북도 안동시 녹전면 서삼리 383번지 1호  ,경상북도 안동시 녹전면 하이전길 78,2025-11-25
윤이농장,염소,경상북도 안동시 와룡면 중가구리 563번지 3호  ,,2025-11-25
염소농장,염소,경상북도 안동시 예안면 정산리 680번지  ,,2025-11-25
영린농장,염소,경상북도 안동시 풍산읍 회곡리 285번지  ,경상북도 안동시 풍산읍 딱지골길 12-20,2025-11-25
구티미 염소농장,염소,경상북도 안동시 예안면 신남리 78번지  ,,2025-11-25
현애농장,한우,"경상북도 안동시 풍산읍 현애리 219번지 16호 , 219-17 ","경상북도 안동시 풍산읍 현애길 152-27, , 현애길 152-25",2025-11-25
현내농장,염소,경상북도 안동시 남선면 현내리 656번지  ,,2025-11-25
안동메추리농장2,메추리,경상북도 안동시 와룡면 가구리 639번지 4호  ,경상북도 안동시 와룡면 농암로 77-10,2025-11-25
산들농장,한우,경상북도 안동시 송현동 85번지  ,경상북도 안동시 경북대로 674-37 (송현동),2025-11-25
청돌이농장,염소,경상북도 안동시 남선면 원림리 490번지  ,,2025-11-25
한울농장,한우,경상북도 안동시 풍산읍 현애리 19번지  ,경상북도 안동시 풍산읍 장여골길 31-3,2025-11-25
학가산 혜원농장,염소,경상북도 안동시 풍산읍 죽전리 652번지  ,,2025-11-25
원이농장,한우,경상북도 안동시 일직면 망호리 210번지  ,경상북도 안동시 일직면 지실들길 64,2025-11-25
금소사슴농장,사슴,경상북도 안동시 임하면 금소리 336번지  ,경상북도 안동시 임하면 금소길 267-14,2025-11-25
학가산 계란,종계/산란계,경상북도 안동시 북후면 물한리 542번지  ,,2025-11-25
태정농장,한우,경상북도 안동시 북후면 옹천리 139번지 2호  ,경상북도 안동시 북후면 감성길 51,2025-11-25
현진농장,한우,경상북도 안동시 서후면 재품리 144번지 1호  ,경상북도 안동시 서후면 백현길 648-1,2025-11-25
방주농장,염소,경상북도 안동시 서후면 광평리 1133번지  ,경상북도 안동시 서후면 개목사길 177-48,2025-11-25
토갓골 농장,염소,경상북도 안동시 일직면 귀미리 200번지 2호  ,,2025-11-25
대운농장,염소,경상북도 안동시 남후면 하아리 72번지  ,경상북도 안동시 남후면 샘수골길 17,2025-11-25
불미골 농장,한우,경상북도 안동시 일직면 귀미리 277번지 1호  ,경상북도 안동시 일직면 일직점곡로 273-11,2025-11-25
김상진2농장,한우,경상북도 안동시 서후면 대두서리 929번지 외 1필지 ,경상북도 안동시 서후면 생명의콩길 54-5,2025-11-25
승부농장,한우,경상북도 안동시 녹전면 신평리 383번지  ,경상북도 안동시 녹전면 신평안흥길 24-22,2025-11-25
조종식 농장,한우,경상북도 안동시 서후면 광평리 748번지  ,경상북도 안동시 서후면 개목사길 48-105,2025-11-25
박찬익 2농장,한우,경상북도 안동시 임동면 고천리 545번지 1호  ,경상북도 안동시 임동면 고천덕강길 132,2025-11-25
이창호 농장,한우,경상북도 안동시 와룡면 주하리 675번지 6호  ,경상북도 안동시 와룡면 태리금산로 301-7,2025-11-25
영남농장,사슴,경상북도 안동시 남후면 개곡리 213번지  ,경상북도 안동시 남후면 남일로 1249-20,2025-11-25
천수농장,한우,경상북도 안동시 임하면 천전리 414번지  ,경상북도 안동시 임하면 반시건능길 178-53,2025-11-25
김래섭 농장,한우,경상북도 안동시 녹전면 원천리 85번지  ,경상북도 안동시 녹전면 원천어란길 13-25,2025-11-25
안동민속한우 2농장,한우,경상북도 안동시 서후면 대두서리 104번지 2호  ,,2025-11-25
농업회사법인(주)민속친한우 권민석B11,한우,경상북도 안동시 서후면 재품리 513번지  ,경상북도 안동시 서후면 백현길 242-20,2025-11-25
진한농장,한우,경상북도 안동시 서후면 대두서리 97번지  ,경상북도 안동시 서후면 생명의콩길 285-17,2025-11-25
김창열 농장,한우,"경상북도 안동시 녹전면 서삼리 566번지 , 566-1 ",경상북도 안동시 녹전면 현삼길 313-5,2025-11-25
단호농장,한우,경상북도 안동시 남후면 단호리 1700번지  ,,2025-11-25
신한우 2농원,한우,경상북도 안동시 북후면 장기리 351번지  ,경상북도 안동시 북후면 토골길 72-34,2025-11-25
류만식 농장,한우,경상북도 안동시 와룡면 가구리 324번지  ,,2025-11-25
오국희 농장,한우,경상북도 안동시 일직면 평팔리 243번지  ,경상북도 안동시 일직면 안평일직길 635-18,2025-11-25
노봉환 농장,한우,경상북도 안동시 북후면 월전리 754번지  ,경상북도 안동시 북후면 납들고개길 46-57,2025-11-25
천정남 농장,한우,경상북도 안동시 풍산읍 오미리 59번지 1호  ,경상북도 안동시 풍산읍 풍산태사로 494-47,2025-11-25
