사업장명칭,주사육업종,사업장소재지(지번),사육두수
이병관농장,한우,전남광주통합특별시 해남군 화산면 연곡리 755번지 7호  ,60
이장배농장,한우,전남광주통합특별시 해남군 화산면 부길리 778번지 1호 외1필지 ,50
에스비팜 해남 농업회사법인 주식회사,돼지,전남광주통합특별시 해남군 마산면 외호리 34번지 외 8필지 ,2000
도은농장,한우,전남광주통합특별시 해남군 마산면 연구리 466번지  ,20
농업회사법인 선푸드주식회사,돼지,전남광주통합특별시 해남군 마산면 용전리 946번지 3호  ,3200
민석홍농장,한우,전남광주통합특별시 해남군 마산면 학의리 142번지  ,20
김양수농장,한우,전남광주통합특별시 해남군 마산면 상등리 87번지  ,25
이병승농장,한우,전남광주통합특별시 해남군 마산면 산막리 158번지  ,20
윤영현농장,한우,전남광주통합특별시 해남군 마산면 화내리 1010번지  ,20
김응달농장,한우,전남광주통합특별시 해남군 계곡면 황죽리 421번지 9호  ,40
장점재농장,한우,전남광주통합특별시 해남군 북평면 이진리 799번지 1호  ,1
황토농장,돼지,전남광주통합특별시 해남군 북평면 오산리 949번지 4호 외 3필지 ,1200
손동수농장,한우,전남광주통합특별시 해남군 북일면 신월리 219번지 1호  ,12
희진농장,한우,전남광주통합특별시 해남군 북일면 용일리 1163번지  ,60
종수농장,한우,전남광주통합특별시 해남군 마산면 학의리 333번지 1호 외 1필지(334-1) ,43
북일농장,돼지,전남광주통합특별시 해남군 북일면 만수리 250번지 2호 외 1필지 및 251-3 외 2필지 ,1000
이형열농장,한우,전남광주통합특별시 해남군 삼산면 송정리 244번지 1호  ,40
하늘닿은농장,한우,전남광주통합특별시 해남군 삼산면 평활리 337번지 23호  ,144
김상록농장,한우,전남광주통합특별시 해남군 산이면 초송리 555번지 12호 외 1필지 ,41
태인한우농장,한우,전남광주통합특별시 해남군 산이면 덕호리 498번지 1호 외 7필지 ,134
진흥농장,한우,"전남광주통합특별시 해남군 문내면 학동리 228번지 ,229 ",44
원동축산,한우,전남광주통합특별시 해남군 문내면 용암리 671번지 1호  ,13
박기만농장,한우,전남광주통합특별시 해남군 문내면 예락리 568번지 2호  ,35
김준식농장,한우,전남광주통합특별시 해남군 현산면 백포리 261번지 2호  ,14
김형열농장,한우,전남광주통합특별시 해남군 현산면 구시리 858번지 18호 외3필지 ,45
주안농장,한우,전남광주통합특별시 해남군 현산면 고현리 1001번지 1호 외 2필지 ,70
이석용농장,한우,전남광주통합특별시 해남군 현산면 조산리 44번지 1호  ,80
선산한우농장,한우,전남광주통합특별시 해남군 현산면 황산리 727번지 1호 외 2필지 ,35
고재형농장,한우,전남광주통합특별시 해남군 현산면 월송리 812번지 1호  ,16
안병석농장,한우,전남광주통합특별시 해남군 현산면 월송리 1233번지 1호  ,50
김준철농장,한우,전남광주통합특별시 해남군 현산면 월송리 1094번지 외 6필지 ,110
향교축산,한우,전남광주통합특별시 해남군 현산면 월송리 1084번지 2호 외4필지 ,220
창대축산,한우,"전남광주통합특별시 해남군 현산면 월송리 668번지 6호 외 2필지(668-1, 668-7) ",100
무지개농장,돼지,전남광주통합특별시 해남군 현산면 황산리 1081번지 8호  ,2500
양지목장,한우,전남광주통합특별시 해남군 옥천면 성산리 254번지  ,130
