제조업체명,사료구분,생산사료명
멍상점,단미,혼합성 단미사료
(주)동우당제약,단미,단미사료/동물성-무기물류(패분)
오복누리,배합,배합사료/그밖의동물어류용 배합사료-애완용동물
시골어부협동조합,단미,혼합성 단미사료
(주)엠텍,보조,아미노산제
농업회사법인 파머스독,단미,"혼합성 단미사료, 동물성 단백질류"
(주)건영이앤씨,보조,미생물제 합제
(주)케이티앤에프,단미,동물성 단백질류
고르다 수제간식,단미,"동물성 단백질류, 혼합성 혼합제"
세컨드플로어,단미,"혼합성 단미사료, 동물성 단백질류"
(주)셀푸드인터내셔널,배합,그밖의동물어류용 배합사료-애완용동물
릴파머,단미,"혼합성 단미사료, 동물성 단백질류"
오마이러드,단미,"혼합성 단미사료, 동물성 단백질류"
(주)어바웃퍼피,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
쓰리데이즈,단미,"동물성 단백질류, 혼합성 혼합제"
쉬었다가개,단미,"혼합성 단미사료,동물성 단백질류"
까미네 아침밥상,단미,"혼합성 단미사료,동물성 단백질류"
대동테크,보조,"혼합제, 보존제, 미생물제, 비타민제"
소소아지,단미,"혼합성 단미사료,동물성 단백질류"
(주)인리치바이오,보조,아미노산제 합제
시원바이오텍,보조,규산염제
농업회사법인 파머스독,보조,키토산
주식회사 티에스케이제약,보조,"비타민제, 보존제, 추출제, 혼합제"
봉화연옥(주),보조,규산염제
(주)케이앤유 친환경농업연구센터,보조,"아미노산제, 미생물제"
농업회사법인 유한회사 아하,보조,"미생물제, 보존제"
개와집,단미,"기타 동물성단백질류, 혼합제(혼합성단미사료)"
댕댕농부,단미,"혼합제(혼합성단미사료), 기타 동물성단백질류"
농업회사법인 에코팜 주식회사,단미,단미사료/동물성-곤충류
진우바이오,보조,"보조사료/혼합제, 규산염제, 미생물제"
가가호호 오도독,단미,혼합성 단미사료
똑독독,단미,"단미사료/기타 동물성단백질류, 혼합성 단미사료"
띵.똥(DDing.DDong),단미,"단미사료/혼합제(혼합성 단미사료), 기타 동물성단백질류"
(주)펫풀,단미,"혼합제, 기타 동물성단백질류, 낙농가공부산물류"
(주)비비프렌드,단미,"기타 동물성단백질류, 곤충류"
멍냥플레이트,단미,"혼합성 단미사료, 기타 동물성단백질류"
왈왈상점,단미,"혼합제(혼합성단미사료), 기타 동물성단백질류"
도그몽 베이커리,단미,"혼합제(혼합성단미사료), 기타 동물성단백질류"
나니이모,단미,"혼합제(혼합성단미사료), 기타 동물성단백질류"
주식회사 피앤피드,보조,보조사료/미생물제
멍파티,단미,"혼합제(혼합성단미사료), 기타 동물성단백질류"
개옹 구미점,단미,혼합제(혼합성단미사료)
성주참외한우영농조합법인,배합,반추동물용 섬유질배합사료
개밥주는고양이,단미,"혼합제(혼합성단미사료), 기타 동물성단백질류"
금농산업사,보조,제올라이트
클레오브라인슈림프,단미,"동물성-플랑크톤류(브라인슈림프), 동물성-단백질류"
댕댕수라상,단미,"혼합제(혼합성단미사료), 기타 동물성단백질류"
영농조합법인 푸루른,단미,단미사료(동물성 단백질류)
대동테크 와촌공장,보조,"혼합제, 보존제, 미생물제, 비타민제"
아진 FnB,단미,"혼합제(혼합성단미사료), 기타 동물성단백질류"
한라식품,단미,동물성 단백질류(어분)
농업회사법인 제이헴프코리아 주식회사,단미,단미사료/식물성-유지류
읍부정미소,단미,단미사료/식물성-강피류
농업회사법인 주식회사 건양,단미,단미사료/식물성-강피류(미강)
두리영농조합법인,단미,단미사료/식물성-강피류(미강)
해평농업협동조합,단미,단미사료/식물성-강피류(미강)
선산농협미곡처리장,단미,단미사료/식물성-강피류(미강)
다사농협미곡종합처리장 분사,단미,단미사료/식물성-강피류(미강)
(주)한가위,단미,단미사료/식물성-강피류(미강)
안성정미소,단미,단미사료/식물성-강피류(미강)
농업회사법인 주식회사 안계미곡처리장,단미,단미사료/식물성-강피류(미강)
안계합동미곡종합처리장,단미,단미사료/식물성-강피류(미강)
남령정미소,단미,단미사료/식물성-강피류(미강)
삼안미곡종합처리장,단미,단미사료/식물성-강피류(미강)
읍부리정미소,단미,단미사료/식물성-강피류(미강)
오상정미소,단미,단미사료/식물성-강피류(미강)
서부정미소,단미,단미사료/식물성-강피류(미강)
현대정미소,단미,단미사료/식물성-강피류(미강)
산학정미소,단미,단미사료/식물성-강피류(미강)
맥섬석지엠(주),단미,동물성 단백질류(혈액가공품)
한울푸드,단미,식물성-서류
경주시농협쌀조합공동사업법인,단미,단미사료/식물성-강피류(미강)
신정정미소,단미,단미사료/식물성-강피류(미강)
동신영농(주),단미,단미사료/식물성-강피류(미강)
대한맥반석,보조,규산염제
예천군농협쌀조합공동사업법인,단미,단미사료/식물성-강피류(미강)
도그먼트,단미,"혼합제(혼합성단미사료), 기타 동물성단백질류"
의성군농협쌀조합공동사업법인,단미,단미사료/식물성-강피류(미강)
(주)유에이치에스,보조,보조사료 혼합제
몽냥이럽,단미,"혼합성 단미사료, 기타 동물성단백질류"
멍냥이네 구멍가게,단미,혼합성 단미사료
주식회사 순하라,단미,"혼합성 단미사료, 기타 동물성단백질류"
몽스어스,단미,"단미사료/기타 동물성단백질류, 혼합성 단미사료"
농협양곡(주) 안동라이스센터,단미,단미사료/식물성-강피류(미강)
안동농협 농산물유통센터,단미,단미사료/식물성-강피류(미강)
에이티 바이오,보조,보조사료/추출제-초목추출물
농업회사법인 (주)시그널케어,배합,배합사료/그밖의 동물·어류용 배합사료
멍이부뚜막,단미,"혼합성 단미사료, 기타 동물성단백질류"
주식회사 바이오텍,단미,"혼합광물질류, 칼슘염류, 다량광물질류"
주식회사 바이오텍,보조,규산염제
까까먹개,단미,"혼합성 단미사료, 기타 동물성단백질류"
조림이네,단미,"혼합제(혼합성단미사료), 기타 동물성단백질류"
멍잇츄,단미,"혼합제(혼합성단미사료), 기타 동물성단백질류"
해피왈츄,단미,"혼합제(혼합성단미사료), 기타 동물성단백질류"
플랜트 & 애니멀,보조,규산염제
브로콜리 펫푸드,단미,"혼합제(혼합성단미사료), 기타 동물성단백질류"
주식회사 멍서당,단미,"혼합제(혼합성단미사료), 기타 동물성단백질류"
멍하니,단미,"혼합제(혼합성단미사료), 기타 동물성단백질류"
케이비티(KBT),보조,아미노산제
퍼피엘르(PUPPIELLE),단미,혼합성 단미사료
위드어스 와이너리,단미,혼합성 단미사료
(주)에스앤에이치바이오텍,보조,"보조사료/혼합제, 향미제"
오복누리 군위공장,단미,혼합성 단미사료
오복누리 군위공장,보조,미생물제
오복누리 군위공장,배합,그밖의 동물어류용 배합사료-애완동물용
까까멍냐옹 수제간식,단미,"혼합제(혼합성 단미사료), 기타 동물성단백질류"
현대바이오,보조,"보조사료/미생물제, 비타민제"
상주양봉원,배합,배합사료/양축용 배합사료-꿀벌
상주중앙양봉원,배합,배합사료/양축용 배합사료-꿀벌
주식회사 쿠치올로,단미,"혼합성 단미사료, 기타 동물성단백질류"
오슬로우,배합,그 밖의 동물어류용 배합사료-애완용동물
킹스 메이커스,배합,배합사료/양축용배합사료-닭
기복이네,단미,"혼합제(혼합성 단미사료), 기타 동물성단백질류"
주식회사 아소,보조,아미노산제
마이리틀퍼피,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
와프와프,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
견생공방,단미,단미사료/혼합성단미사료
(주)유에이치에스,배합,배합사료/그밖의동물어류용 배합사료-애완용동물
(주)유에이치에스,단미,단미사료/혼합성단미사료
오뜨브라인슈림프,단미,단미사료/동물성-플랑크톤류
농업회사법인 (주)시그널케어,단미,"단미사료/혼합성-혼합제, 식물성-서류, 동물성-단백질류,곤충류"
오메가플러스,보조,"보조사료/규산염제, 혼합제"
칠곡양봉영농조합법인,배합,배합사료/양축용 배합사료-꿀벌
