사업장명칭,주사육업종,사육두수,데이터 기준일자
운수목장,젖소,50,2026-04-17
용암농장,한우,80,2026-04-17
소망농장,한우,38,2026-04-17
간재축산,한우,50,2026-04-17
도간목장,한우,55,2026-04-17
*원목장,젖소,85,2026-04-17
장요농장,한우,57,2026-04-17
대봉농장,한우,40,2026-04-17
용연농장,돼지,1400,2026-04-17
성두농장,육계,32000,2026-04-17
팔봉농장,종계/산란계,15000,2026-04-17
*민농장,한우,36,2026-04-17
*주목장,젖소,68,2026-04-17
태양목장,젖소,90,2026-04-17
유길목장,젖소,47,2026-04-17
*우농장,한우,7,2026-04-17
푸짐농장,한우,18,2026-04-17
*동목장,젖소,54,2026-04-17
*원농장,한우,25,2026-04-17
신상농장,한우,70,2026-04-17
*기목장,젖소,50,2026-04-17
애정농장,한우,25,2026-04-17
*주농장,육계,23500,2026-04-17
동막농장,한우,32,2026-04-17
오성목장,한우,132,2026-04-17
도담농장,염소,51,2026-04-17
갈현농장,육계,76000,2026-04-17
신일농장,한우,21,2026-04-17
문일목장,젖소,43,2026-04-17
성우농장,돼지,900,2026-04-17
반장농장,한우,20,2026-04-17
부흥농장,한우,19,2026-04-17
기지농장,한우,3,2026-04-17
CAMP NO.1,돼지,2500,2026-04-17
양천농장,한우,69,2026-04-17
부남농장,한우,30,2026-04-17
장원목장,한우,110,2026-04-17
버글양돈장,돼지,830,2026-04-17
영농장,한우,15,2026-04-17
노현목장,젖소,97,2026-04-17
농협경제지주(주)한우개량사업소,한우,2000,2026-04-17
*철농장,한우,12,2026-04-17
*림목장,젖소,31,2026-04-17
금동농장,한우,20,2026-04-17
성운농장,한우,45,2026-04-17
석일농장,한우,40,2026-04-17
와우농장,한우,60,2026-04-17
사랑목장,한우,100,2026-04-17
고인목장,젖소,60,2026-04-17
대운농장,한우,45,2026-04-17
영우농장,육계,37000,2026-04-17
차리농장,한우,38,2026-04-17
장군농장,한우,200,2026-04-17
부성농장,한우,29,2026-04-17
남양농장,한우,15,2026-04-17
시흥농장,한우,320,2026-04-17
정수농장,돼지,900,2026-04-17
나실목장,한우,13,2026-04-17
정원목장,한우,28,2026-04-17
일등농장,한우,20,2026-04-17
갈산농장,한우,11,2026-04-17
와우농장,한우,25,2026-04-17
천수축산,돼지,3000,2026-04-17
태흥농장,육계,45000,2026-04-17
대흥축산,한우,49,2026-04-17
신성목장,한우,113,2026-04-17
유성목장,한우,33,2026-04-17
청솔목장,젖소,50,2026-04-17
워낭농장,한우,110,2026-04-17
권철농장,한우,20,2026-04-17
농업회사법인(주)현대서산농장,한우,2745,2026-04-17
정진농장,한우,29,2026-04-17
대황농장,돼지,1600,2026-04-17
명*농장,한우,5,2026-04-17
장요농장,한우,15,2026-04-17
해아리농장,육계,80000,2026-04-17
선일농장,돼지,1500,2026-04-17
한성농장,한우,106,2026-04-17
한우농장,한우,45,2026-04-17
원용목장,한우,92,2026-04-17
송이목장,젖소,50,2026-04-17
대호축산,육계,150000,2026-04-17
갈매기농장,한우,150,2026-04-17
수농장,돼지,650,2026-04-17
대흥농장,돼지,1150,2026-04-17
율목농장,한우,35,2026-04-17
분홍농장,한우,17,2026-04-17
서룡양돈 영농법인,돼지,3500,2026-04-17
부광농장,육계,75000,2026-04-17
원벌농장,한우,21,2026-04-17
형제농장,한우,218,2026-04-17
호리마주골농장,한우,30,2026-04-17
민*농장,한우,48,2026-04-17
희망목장,한우,45,2026-04-17
홍천농장,한우,33,2026-04-17
신*농장,한우,20,2026-04-17
농축농장,한우,20,2026-04-17
황락농장,한우,54,2026-04-17
부능목장,한우,22,2026-04-17
유화목장,젖소,50,2026-04-17
*연농장,한우,17,2026-04-17
대수농장,한우,96,2026-04-17
조선농장,한우,101,2026-04-17
전천목장,한우,3,2026-04-17
성호농장,오리,39200,2026-04-17
서산태안축협 생축사업장,한우,126,2026-04-17
승현농장,한우,15,2026-04-17
영전농장,한우,18,2026-04-17
선일농장,한우,40,2026-04-17
두손농장,한우,21,2026-04-17
양천농장,한우,90,2026-04-17
태환농장,한우,15,2026-04-17
수당농장,한우,98,2026-04-17
황금농장,한우,10,2026-04-17
서뜸농장,한우,45,2026-04-17
만성농장,한우,46,2026-04-17
거성농장,한우,41,2026-04-17
명일농장,한우,31,2026-04-17
