연번,시도,시군구,축종,사업장소재지(지번),데이터기준일
234,전라남도,화순군,돼지,전라남도 화순군 동면 운농리 361번지 1호 외3필지 ,2026-01-22
235,전라남도,화순군,한우,전라남도 화순군 화순읍 수만리 638번지 1호  ,2026-01-22
236,전라남도,화순군,종계/산란계,전라남도 화순군 청풍면 대비리 618번지  ,2026-01-22
237,전라남도,화순군,한우,전라남도 화순군 도곡면 덕곡리 666번지 6호  ,2026-01-22
238,전라남도,화순군,한우,전라남도 화순군 도곡면 원화리 24번지  ,2026-01-22
239,전라남도,화순군,한우,전라남도 화순군 도암면 호암리 68번지 1호  ,2026-01-22
240,전라남도,화순군,육계,전라남도 화순군 도암면 우치리 231번지 1호  ,2026-01-22
241,전라남도,화순군,한우,전라남도 화순군 동복면 구암리 605번지 1호  ,2026-01-22
242,전라남도,화순군,한우,전라남도 화순군 이양면 옥리 182번지 외 2필지 ,2026-01-22
243,전라남도,화순군,한우,전라남도 화순군 동복면 구암리 117번지 외 1필지 ,2026-01-22
244,전라남도,화순군,한우,전라남도 화순군 백아면 길성리 488번지 1호  ,2026-01-22
245,전라남도,화순군,한우,전라남도 화순군 동면 오동리 220번지 6호  ,2026-01-22
246,전라남도,화순군,육계,전라남도 화순군 춘양면 용곡리 588번지 외 1필지 ,2026-01-22
247,전라남도,화순군,육우,전라남도 화순군 백아면 방리 462번지  ,2026-01-22
248,전라남도,화순군,한우,전라남도 화순군 한천면 정리 76번지 1호 외 1필지 ,2026-01-22
249,전라남도,화순군,한우,전라남도 화순군 동면 국동리 239번지  ,2026-01-22
250,전라남도,화순군,한우,전라남도 화순군 도곡면 효산리 1254번지 15호  ,2026-01-22
251,전라남도,화순군,한우,전라남도 화순군 능주면 남정리 1167번지 6호  ,2026-01-22
252,전라남도,화순군,한우,전라남도 화순군 도곡면 월곡리 199번지 2호  ,2026-01-22
253,전라남도,화순군,한우,전라남도 화순군 동복면 칠정리 169번지 5호  ,2026-01-22
254,전라남도,화순군,돼지,전라남도 화순군 화순읍 다지리 577번지 7호 577번지14호 ,2026-01-22
255,전라남도,화순군,한우,전라남도 화순군 이양면 송정리 708번지 7호  ,2026-01-22
256,전라남도,화순군,한우,전라남도 화순군 동복면 신율리 1024번지 1호 1024-2 ,2026-01-22
257,전라남도,화순군,한우,"전라남도 화순군 한천면 반곡리 436번지 1호 , 436-2번지 ",2026-01-22
258,전라남도,화순군,종계/산란계,전라남도 화순군 이양면 옥리 176번지 5호  ,2026-01-22
259,전라남도,화순군,한우,전라남도 화순군 이양면 묵곡리 552번지 1호  ,2026-01-22
260,전라남도,화순군,한우,전라남도 화순군 이양면 묵곡리 507번지 2호  ,2026-01-22
261,전라남도,화순군,돼지,전라남도 화순군 사평면 원리 444번지 2호  ,2026-01-22
262,전라남도,화순군,돼지,전라남도 화순군 사평면 다산리 399번지 3호  ,2026-01-22
263,전라남도,화순군,돼지,전라남도 화순군 백아면 와천리 526번지  ,2026-01-22
264,전라남도,화순군,돼지,전라남도 화순군 춘양면 회송리 473번지  ,2026-01-22
265,전라남도,화순군,한우,전라남도 화순군 동복면 신율리 1025번지 1호  ,2026-01-22
266,전라남도,화순군,한우,전라남도 화순군 도암면 우치리 161번지 1호 외 2필지 ,2026-01-22
267,전라남도,화순군,젖소,전라남도 화순군 도암면 도장리 452번지  ,2026-01-22
268,전라남도,화순군,한우,전라남도 화순군 춘양면 월평리 759번지 1호  ,2026-01-22
269,전라남도,화순군,한우,전라남도 화순군 동복면 구암리 600번지 11호  ,2026-01-22
270,전라남도,화순군,한우,전라남도 화순군 도암면 호암리 248번지  ,2026-01-22
271,전라남도,화순군,종계/산란계,전라남도 화순군 화순읍 서태리 1064번지 4호  ,2026-01-22
272,전라남도,화순군,한우,전라남도 화순군 도곡면 덕곡리 644번지 1호  ,2026-01-22
273,전라남도,화순군,한우,전라남도 화순군 이서면 보월리 124번지  ,2026-01-22
274,전라남도,화순군,한우,전라남도 화순군 춘양면 대신리 86번지  ,2026-01-22
275,전라남도,화순군,한우,전라남도 화순군 춘양면 회송리 49번지 1호  ,2026-01-22
276,전라남도,화순군,한우,전라남도 화순군 이양면 송정리 704번지 4호  ,2026-01-22
277,전라남도,화순군,한우,전라남도 화순군 이양면 구례리 304번지  ,2026-01-22
278,전라남도,화순군,한우,전라남도 화순군 동면 언도리 291번지 1호 외 1필지(291-2) ,2026-01-22
279,전라남도,화순군,젖소,전라남도 화순군 도곡면 월곡리 1066번지 11호  ,2026-01-22
280,전라남도,화순군,한우,전라남도 화순군 능주면 백암리 1086번지 10호  ,2026-01-22
281,전라남도,화순군,돼지,전라남도 화순군 능주면 남정리 16번지 17호 외 2필지 ,2026-01-22
282,전라남도,화순군,한우,전라남도 화순군 사평면 검산리 560번지  ,2026-01-22
283,전라남도,화순군,한우,전라남도 화순군 춘양면 대신리 761번지 2호  ,2026-01-22
284,전라남도,화순군,한우,전라남도 화순군 동복면 구암리 480번지 8호  ,2026-01-22
285,전라남도,화순군,한우,전라남도 화순군 한천면 오음리 610번지 12호  ,2026-01-22
286,전라남도,화순군,한우,"전라남도 화순군 동복면 구암리 593번지 13호 593-16,593-17 ",2026-01-22
287,전라남도,화순군,한우,전라남도 화순군 춘양면 대신리 761번지 1호  ,2026-01-22
