시도,시군구,농장명,축종,지번주소,도로명주소,읍면,사육두수,동수,면적,위도,경도,기준일자,원본파일
경상북도,청도군,**조은농장,돼지,경상북도 청도군 이서면 가금리,,,2315,7,1502,,,20251103,경상북도 청도군_양돈농가현황_20251103.csv
경상북도,청도군,**축산,돼지,경상북도 청도군 매전면 하평리,,,2837,6,2058,,,20251103,경상북도 청도군_양돈농가현황_20251103.csv
경상북도,청송군,우*,돼지,경상북도 청송군 주왕산면 부일리,,,2672,,,,,2025-11-10,경상북도 청송군_양돈농가현황_20251110.csv
경상북도,청송군,와*,돼지,경상북도 청송군 안덕면 덕성리,,,2214,,,,,2025-11-10,경상북도 청송군_양돈농가현황_20251110.csv
경상북도,청송군,상*,돼지,경상북도 청송군 안덕면 지소리,,,2418,,,,,2025-11-10,경상북도 청송군_양돈농가현황_20251110.csv
경상북도,청송군,대*,돼지,경상북도 청송군 진보면 기곡리,,,351,,,,,2025-11-10,경상북도 청송군_양돈농가현황_20251110.csv
경상북도,청송군,동*,돼지,경상북도 청송군 진보면 기곡리,,,15741,,,,,2025-11-10,경상북도 청송군_양돈농가현황_20251110.csv
경상북도,청송군,청*,돼지,경상북도 청송군 파천면 황목리,,,3760,,,,,2025-11-10,경상북도 청송군_양돈농가현황_20251110.csv
대구광역시,군위군,대흥종돈장,돼지,대구광역시 군위군 군위읍 도군로 2257-35,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,범일농장,돼지,대구광역시 군위군 군위읍 대북길 62-10,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,외량농장,돼지,대구광역시 군위군 군위읍 내외량길 44,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,대성농장,돼지,대구광역시 군위군 효령면 장기길 339,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,원산농장,돼지,대구광역시 군위군 군위읍 수서사직길 138-55,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,한실축산,돼지,대구광역시 군위군 효령면 한실길 54,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,피그앤팜(본장),돼지,대구광역시 군위군 군위읍 무성2길 31-39,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,신한양농장,돼지,대구광역시 군위군 군위읍 내외량길 288-6,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,이화농장,돼지,대구광역시 군위군 우보면 수서1길 45-117,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,대하농장,돼지,대구광역시 군위군 효령면 장군로 1271-53,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,안심농장,돼지,대구광역시 군위군 효령면 새들길 52,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,율림농장,돼지,대구광역시 군위군 효령면 치산효령로 2061,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,흥진농장,돼지,대구광역시 군위군 효령면 장군로 1271-44,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,피그앤팜(3농장),돼지,대구광역시 군위군 군위읍 외량리 640,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,한양축산,돼지,대구광역시 군위군 군위읍 서금로 777-93,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,영일농장,돼지,대구광역시 군위군 의흥면 가지골길 34-34,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,경일농장,돼지,대구광역시 군위군 군위읍 서금로 745-52,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,신일농장,돼지,대구광역시 군위군 효령면 불로길 73,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,새들농장,돼지,대구광역시 군위군 효령면 새들길 32,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,부광농장,돼지,대구광역시 군위군 효령면 새들길 186,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,대신축산,돼지,대구광역시 군위군 의흥면 원산금양길 600-87,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,이레농장,돼지,대구광역시 군위군 군위읍 도군로 2609-20,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,원산농장,돼지,대구광역시 군위군 의흥면 배태길 236,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,오케이축산,돼지,대구광역시 군위군 군위읍 내외량길 288-31,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,서산농장,돼지,대구광역시 군위군 군위읍 사직1길 21-30,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,우보종돈,돼지,대구광역시 군위군 우보면 선동길 84-25,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,대성농장,돼지,대구광역시 군위군 군위읍 내외량길 288-13,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,봉천농장,돼지,대구광역시 군위군 우보면 수서1길 45-29,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,이화양돈영농조합법인,돼지,대구광역시 군위군 의흥면 배태길 202-27,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,부강농장,돼지,대구광역시 군위군 부계면 치산효령로 989-27,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,농업회사법인 주식회사 명성,돼지,대구광역시 군위군 군위읍 수서사직길 38-45,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,산너머숲속에,돼지,대구광역시 군위군 부계면 치산효령로 989-35,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,대한농장,돼지,대구광역시 군위군 소보면 내의길 201,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,백연농장,돼지,대구광역시 군위군 군위읍 도군로 2577-22,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,골드농장,돼지,대구광역시 군위군 효령면 경북대로 2540-9,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,농업회사법인 주식회사 산수골군위,돼지,대구광역시 군위군 효령면 불곡길 73-4,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,이서팜,돼지,대구광역시 군위군 의흥면 동부로 935-138,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,해금농장,돼지,대구광역시 군위군 소보면 봉내길 367,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,선감농장,돼지,대구광역시 군위군 의흥면 원산금양길 16-23,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,들판에 정원,돼지,대구광역시 군위군 의흥면 동부로 1220,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,피그앤팜(2농장),돼지,대구광역시 군위군 효령면 금매리 408-12,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,㈜한돈농업회사법인,돼지,대구광역시 군위군 삼국유사면 안용아길 135,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
대구광역시,군위군,지호누리팜,돼지,대구광역시 군위군 의흥면 연계지호길 124,,,,,,,,2025-10-29,대구광역시 군위군_양돈농가 현황_20251029.csv
부산광역시,사하구,명진축산,돼지,부산광역시 사하구 장림동 900-6,부산광역시 사하구 보덕포1길 149,,278,,,,,2025-10-31,부산광역시 사하구_양돈농가현황_20251031.csv
부산광역시,사하구,초원축산,돼지,부산광역시 사하구 장림동 959,부산광역시 사하구 하신중앙로3번길 79-3,,600,,,,,2025-10-31,부산광역시 사하구_양돈농가현황_20251031.csv
울산광역시,북구,이영분,돈사,울산광역시 북구 무룡동 810-1번지,,,970,,,,,2025-11-10,울산광역시 북구_양돈농가 현황_20251110.csv
울산광역시,울주군,재남농장,,울산광역시 울주군 삼남읍 상천로 154-36,,,2096,,,,,20251111,울산광역시 울주군_양돈농가 현황_20251111.csv
울산광역시,울주군,서○○,,울산광역시 울주군 상북면 재궁골길 △△△,,,15,,,,,20251111,울산광역시 울주군_양돈농가 현황_20251111.csv
울산광역시,울주군,성신농장,,울산광역시 울주군 삼남읍 신안2길 61-16,,,1250,,,,,20251111,울산광역시 울주군_양돈농가 현황_20251111.csv
울산광역시,울주군,임○○,,울산광역시 울주군 삼남읍 수정가천길 △△△,,,926,,,,,20251111,울산광역시 울주군_양돈농가 현황_20251111.csv
울산광역시,울주군,신○○,,울산광역시 울주군 삼남읍 상천로 △△△,,,995,,,,,20251111,울산광역시 울주군_양돈농가 현황_20251111.csv
울산광역시,울주군,김○○,,울산광역시 울주군 웅촌면 정주권로 △△△,,,700,,,,,20251111,울산광역시 울주군_양돈농가 현황_20251111.csv
울산광역시,울주군,김○○,,울산광역시 울주군 웅촌면 정주권로 △△△,,,900,,,,,20251111,울산광역시 울주군_양돈농가 현황_20251111.csv
울산광역시,울주군,협진농장,,울산광역시 울주군 두서면 구량차리로 116-63,,,7214,,,,,20251111,울산광역시 울주군_양돈농가 현황_20251111.csv
울산광역시,울주군,심○○,,울산광역시 울주군 웅촌면 암곡1길 △△△,,,27,,,,,20251111,울산광역시 울주군_양돈농가 현황_20251111.csv
울산광역시,울주군,남해축산,,울산광역시 울주군 상북면 사광길 32-32,,,761,,,,,20251111,울산광역시 울주군_양돈농가 현황_20251111.csv
울산광역시,울주군,덕원농장,,울산광역시 울주군 언양읍 보림길 25-46,,,16880,,,,,20251111,울산광역시 울주군_양돈농가 현황_20251111.csv
울산광역시,울주군,재남농장,,울산광역시 울주군 삼남읍,,,850,,,,,20251111,울산광역시 울주군_양돈농가 현황_20251111.csv
울산광역시,울주군,전○○,,울산광역시 울주군 두서면 전읍복안로 △△△,,,756,,,,,20251111,울산광역시 울주군_양돈농가 현황_20251111.csv
울산광역시,울주군,대승농장,,울산광역시 울주군 삼남읍 진장길 210-30,,,0,,,,,20251111,울산광역시 울주군_양돈농가 현황_20251111.csv
울산광역시,울주군,울주 아린팜스,,울산광역시 울주군 웅촌면 고연공단4길 10-26,,,883,,,,,20251111,울산광역시 울주군_양돈농가 현황_20251111.csv
인천광역시,강화군,삼우농장,돼지,인천광역시 강화군 불은면 고능리 194번지 7호,,,,,,,,20240315,인천광역시 강화군_양돈농가 현황_20240315.csv
인천광역시,강화군,대산농장,돼지,인천광역시 강화군 강화읍 월곳리 111번지,인천광역시 강화군 강화읍 연미정길36번길 89,,,,,,,20240315,인천광역시 강화군_양돈농가 현황_20240315.csv
인천광역시,강화군,성혜농장,돼지,인천광역시 강화군 불은면 두운리 17번지 2호,,,,,,,,20240315,인천광역시 강화군_양돈농가 현황_20240315.csv
인천광역시,강화군,부성농장,돼지,인천광역시 강화군 불은면 삼동암리 716번지 1호,인천광역시 강화군 불은면 삼동암길 224-116,,,,,,,20240315,인천광역시 강화군_양돈농가 현황_20240315.csv
인천광역시,강화군,성우농장,돼지,인천광역시 강화군 양사면 북성리 826번지 5호,인천광역시 강화군 양사면 전망대로 1157,,,,,,,20240315,인천광역시 강화군_양돈농가 현황_20240315.csv
인천광역시,강화군,피그플러스,돼지,인천광역시 강화군 화도면 내리 1366번지 3호 외 3필지,,,,,,,,20240315,인천광역시 강화군_양돈농가 현황_20240315.csv
인천광역시,강화군,계양농장,돼지,인천광역시 강화군 양도면 길정리 271번지 1호,인천광역시 강화군 양도면 고려왕릉로 335,,,,,,,20240315,인천광역시 강화군_양돈농가 현황_20240315.csv
인천광역시,강화군,양도농장,돼지,인천광역시 강화군 양도면 조산리 467번지,,,,,,,,20240315,인천광역시 강화군_양돈농가 현황_20240315.csv
인천광역시,강화군,소망농장,돼지,인천광역시 강화군 불은면 삼동암리 1074번지 5호,인천광역시 강화군 불은면 불은북로311번길 102,,,,,,,20240315,인천광역시 강화군_양돈농가 현황_20240315.csv
인천광역시,강화군,강화한돈영농조합법인,돼지,인천광역시 강화군 불은면 삼동암리 1072번지 3호,인천광역시 강화군 불은면 불은북로311번길 80,,,,,,,20240315,인천광역시 강화군_양돈농가 현황_20240315.csv
인천광역시,강화군,상록농장,돼지,인천광역시 강화군 내가면 오상리 700번지 2호,,,,,,,,20240315,인천광역시 강화군_양돈농가 현황_20240315.csv
인천광역시,강화군,유수농장,돼지,인천광역시 강화군 하점면 망월리 2533번지,,,,,,,,20240315,인천광역시 강화군_양돈농가 현황_20240315.csv
인천광역시,강화군,재진농장,돼지,인천광역시 강화군 불은면 고능리 912번지 34호,,,,,,,,20240315,인천광역시 강화군_양돈농가 현황_20240315.csv
인천광역시,강화군,에덴팜,돼지,인천광역시 강화군 양사면 인화리 527번지 1호 외 1필지,,,,,,,,20240315,인천광역시 강화군_양돈농가 현황_20240315.csv
제주특별자치도,서귀포시,윤창영농조합법인,,제주특별자치도 서귀포시 대포동,,,5894,5,5377.13,,,2024-05-10,제주특별자치도 서귀포시_양돈 농가 규모_20240510.csv
제주특별자치도,서귀포시,하원농장,,제주특별자치도 서귀포시 구산봉로,,,448,4,403.18,,,2024-05-10,제주특별자치도 서귀포시_양돈 농가 규모_20240510.csv
제주특별자치도,서귀포시,대우축산,,제주특별자치도 서귀포시 중산간서로,,,1594,5,1367.72,,,2024-05-10,제주특별자치도 서귀포시_양돈 농가 규모_20240510.csv
제주특별자치도,서귀포시,삼목농장,,제주특별자치도 서귀포시 소보리당로,,,232,7,1588.98,,,2024-05-10,제주특별자치도 서귀포시_양돈 농가 규모_20240510.csv
제주특별자치도,서귀포시,세길농장,,제주특별자치도 서귀포시 대포동,,,600,3,940.95,,,2024-05-10,제주특별자치도 서귀포시_양돈 농가 규모_20240510.csv
제주특별자치도,서귀포시,우담농장,,제주특별자치도 서귀포시 색달로,,,902,3,1014.3,,,2024-05-10,제주특별자치도 서귀포시_양돈 농가 규모_20240510.csv
제주특별자치도,서귀포시,서흥축산영농조합법인,,제주특별자치도 서귀포시 1100로,,,7179,2,6862,,,2024-05-10,제주특별자치도 서귀포시_양돈 농가 규모_20240510.csv
제주특별자치도,서귀포시,농업회사법인(주)피그랜드 일과지점,,제주특별자치도 서귀포시 대정읍 암반수마농로,,,1544,7,2694.33,,,2024-05-10,제주특별자치도 서귀포시_양돈 농가 규모_20240510.csv
제주특별자치도,서귀포시,성지농장,,제주특별자치도 서귀포시 대정읍 암반수마농로,,,1994,7,2490.64,,,2024-05-10,제주특별자치도 서귀포시_양돈 농가 규모_20240510.csv
제주특별자치도,서귀포시,천미농장,,제주특별자치도 서귀포시 대정읍 암반수마농로,,,2670,6,2886.79,,,2024-05-10,제주특별자치도 서귀포시_양돈 농가 규모_20240510.csv
제주특별자치도,서귀포시,가시악축산,,제주특별자치도 서귀포시 대정읍 대한로,,,1878,7,2132.14,,,2024-05-10,제주특별자치도 서귀포시_양돈 농가 규모_20240510.csv
제주특별자치도,서귀포시,태근농장,,제주특별자치도 서귀포시 대정읍 암반수마농로,,,1478,8,1777,,,2024-05-10,제주특별자치도 서귀포시_양돈 농가 규모_20240510.csv
제주특별자치도,서귀포시,홍우농장,,제주특별자치도 서귀포시 성산읍 신풍하동로,,,3538,10,5337.14,,,2024-05-10,제주특별자치도 서귀포시_양돈 농가 규모_20240510.csv
제주특별자치도,서귀포시,봉영농장,,제주특별자치도 서귀포시 남원읍 태수로,,,1140,10,2113.98,,,2024-05-10,제주특별자치도 서귀포시_양돈 농가 규모_20240510.csv
제주특별자치도,서귀포시,사랑농원,,제주특별자치도 서귀포시 표선면 원님로,,,2818,7,2545.9,,,2024-05-10,제주특별자치도 서귀포시_양돈 농가 규모_20240510.csv
제주특별자치도,서귀포시,자연농장,,제주특별자치도 서귀포시 동홍로,,,213,3,746.2,,,2024-05-10,제주특별자치도 서귀포시_양돈 농가 규모_20240510.csv
제주특별자치도,서귀포시,우남농장,,제주특별자치도 서귀포시 일주서로,,,350,3,656.8,,,2024-05-10,제주특별자치도 서귀포시_양돈 농가 규모_20240510.csv
제주특별자치도,서귀포시,성실농장,,제주특별자치도 서귀포시 소보리당로,,,740,5,1096.4,,,2024-05-10,제주특별자치도 서귀포시_양돈 농가 규모_20240510.csv
